관측소명,날짜,EL
JR노형2,2019-03-06,187.48
JR노형2,2019-03-07,187.31
JR노형2,2019-03-08,187.15
JR노형2,2019-03-09,187.14
JR노형2,2019-03-10,187.35
JR노형2,2019-03-11,187.44
JR노형2,2019-03-12,187.44
JR노형2,2019-03-13,187.42
JR노형2,2019-03-14,187.38
JR노형2,2019-03-15,187.41
JR노형2,2019-03-16,187.45
JR노형2,2019-03-17,187.45
JR노형2,2019-03-18,187.48
JR노형2,2019-03-19,187.43
JR노형2,2019-03-20,187.52
JR노형2,2019-03-21,187.61
JR노형2,2019-03-22,187.49
JR노형2,2019-03-23,187.5
JR노형2,2019-03-24,187.53
JR노형2,2019-03-25,187.59
JR노형2,2019-03-26,187.62
JR노형2,2019-03-27,187.69
JR노형2,2019-03-28,187.73
JR노형2,2019-03-29,187.74
JR노형2,2019-03-30,187.74
JR노형2,2019-03-31,187.68
JR노형2,2019-04-01,187.67
JR노형2,2019-04-02,187.7
JR노형2,2019-04-03,187.73
JR노형2,2019-04-04,187.81
JR노형2,2019-04-05,187.89
JR노형2,2019-04-06,187.9
JR노형2,2019-04-07,187.95
JR노형2,2019-04-08,187.93
JR노형2,2019-04-09,187.96
JR노형2,2019-04-10,187.89
JR노형2,2019-04-11,187.81
JR노형2,2019-04-12,187.79
JR노형2,2019-04-13,187.71
JR노형2,2019-04-14,187.73
JR노형2,2019-04-15,187.75
JR노형2,2019-04-16,187.8
JR노형2,2019-04-17,187.85
JR노형2,2019-04-18,187.86
JR노형2,2019-04-19,187.91
JR노형2,2019-04-20,187.93
JR노형2,2019-04-21,187.91
JR노형2,2019-04-22,187.73
JR노형2,2019-04-23,187.71
JR노형2,2019-04-24,187.82
JR노형2,2019-04-25,187.84
JR노형2,2019-04-26,187.79
JR노형2,2019-04-27,187.7
JR노형2,2019-04-28,187.59
JR노형2,2019-04-29,187.74
JR노형2,2019-04-30,187.79
JR노형2,2019-05-01,187.81
JR노형2,2019-05-02,187.74
JR노형2,2019-05-03,187.56
JR노형2,2019-05-04,187.54
JR노형2,2019-05-05,187.65
JR노형2,2019-05-06,187.68
JR노형2,2019-05-07,187.68
JR노형2,2019-05-08,187.72
JR노형2,2019-05-09,187.75
JR노형2,2019-05-10,187.76
JR노형2,2019-05-11,187.77
JR노형2,2019-05-12,187.77
JR노형2,2019-05-13,187.77
JR노형2,2019-05-14,187.72
JR노형2,2019-05-15,187.67
JR노형2,2019-05-16,187.67
JR노형2,2019-05-17,187.71
JR노형2,2019-05-18,187.82
JR노형2,2019-05-19,187.83
JR노형2,2019-05-20,187.82
JR노형2,2019-05-21,187.82
JR노형2,2019-05-22,187.82
JR노형2,2019-05-23,187.73
JR노형2,2019-05-24,187.66
JR노형2,2019-05-25,187.64
JR노형2,2019-05-26,187.71
JR노형2,2019-05-27,187.79
JR노형2,2019-05-28,187.7
JR노형2,2019-05-29,187.65
JR노형2,2019-05-30,187.64
JR노형2,2019-05-31,187.72
JR노형2,2019-06-01,187.75
JR노형2,2019-06-02,187.8
JR노형2,2019-06-03,187.82
JR노형2,2019-06-04,187.83
JR노형2,2019-06-05,187.81
JR노형2,2019-06-06,187.87
JR노형2,2019-06-07,187.97
JR노형2,2019-06-08,187.96
JR노형2,2019-06-09,188.0
JR노형2,2019-06-10,188.01
JR노형2,2019-06-11,187.99
JR노형2,2019-06-12,187.98
JR노형2,2019-06-13,188.01
JR노형2,2019-06-14,188.07
JR노형2,2019-06-15,188.1
JR노형2,2019-06-16,188.06
JR노형2,2019-06-17,188.03
JR노형2,2019-06-18,188.06
JR노형2,2019-06-19,188.12
JR노형2,2019-06-20,188.13
JR노형2,2019-06-21,188.15
JR노형2,2019-06-22,188.16
JR노형2,2019-06-23,188.15
JR노형2,2019-06-24,188.11
JR노형2,2019-06-25,188.11
JR노형2,2019-06-26,188.19
JR노형2,2019-06-27,188.25
JR노형2,2019-06-28,188.24
JR노형2,2019-06-29,188.3
JR노형2,2019-06-30,188.26
JR노형2,2019-07-01,188.25
JR노형2,2019-07-02,188.26
JR노형2,2019-07-03,188.29
JR노형2,2019-07-04,188.3
JR노형2,2019-07-05,188.34
JR노형2,2019-07-06,188.36
JR노형2,2019-07-07,188.34
JR노형2,2019-07-08,188.34
JR노형2,2019-07-09,188.35
JR노형2,2019-07-10,188.39
JR노형2,2019-07-11,188.34
JR노형2,2019-07-12,188.31
JR노형2,2019-07-13,188.21
JR노형2,2019-07-14,188.09
JR노형2,2019-07-15,188.02
JR노형2,2019-07-16,188.08
JR노형2,2019-07-17,188.11
JR노형2,2019-07-18,188.15
JR노형2,2019-07-19,188.22
JR노형2,2019-07-20,188.32
JR노형2,2019-07-21,188.22
JR노형2,2019-07-22,188.21
