관측소명,날짜,EL
JR상가3,2008-12-10,4.71
JR상가3,2008-12-11,4.7
JR상가3,2008-12-12,4.67
JR상가3,2008-12-13,4.66
JR상가3,2008-12-14,4.66
JR상가3,2008-12-15,4.65
JR상가3,2008-12-16,4.64
JR상가3,2008-12-17,4.64
JR상가3,2008-12-18,4.59
JR상가3,2008-12-19,4.59
JR상가3,2008-12-20,4.67
JR상가3,2008-12-21,4.62
JR상가3,2008-12-22,4.56
JR상가3,2008-12-23,4.59
JR상가3,2008-12-24,4.62
JR상가3,2008-12-25,4.57
JR상가3,2008-12-26,4.51
JR상가3,2008-12-27,4.52
JR상가3,2008-12-28,4.54
JR상가3,2008-12-29,4.58
JR상가3,2008-12-30,4.54
JR상가3,2008-12-31,4.53
JR상가3,2009-01-01,4.5
JR상가3,2009-01-02,4.46
JR상가3,2009-01-03,4.45
JR상가3,2009-01-04,4.46
JR상가3,2009-01-05,4.46
JR상가3,2009-01-06,4.44
JR상가3,2009-01-07,4.45
JR상가3,2009-01-08,4.44
JR상가3,2009-01-09,4.45
JR상가3,2009-01-10,4.4
JR상가3,2009-01-11,4.38
JR상가3,2009-01-12,4.31
JR상가3,2009-01-13,4.29
JR상가3,2009-01-14,4.29
JR상가3,2009-01-15,4.26
JR상가3,2009-01-16,4.27
JR상가3,2009-01-17,4.29
JR상가3,2009-01-18,4.36
JR상가3,2009-01-19,4.29
JR상가3,2009-01-20,4.27
JR상가3,2009-01-21,4.26
JR상가3,2009-01-22,4.26
JR상가3,2009-04-08,3.83
JR상가3,2009-04-09,3.83
JR상가3,2009-04-10,3.83
JR상가3,2009-04-11,3.85
JR상가3,2009-04-12,3.87
JR상가3,2009-04-13,3.92
JR상가3,2009-04-14,3.89
JR상가3,2009-04-15,3.84
JR상가3,2009-04-16,3.82
JR상가3,2009-04-17,3.79
JR상가3,2009-04-18,3.79
JR상가3,2009-04-19,3.83
JR상가3,2009-04-20,3.94
JR상가3,2009-04-21,3.82
JR상가3,2009-04-22,3.75
JR상가3,2009-04-23,3.77
JR상가3,2009-04-25,3.85
JR상가3,2009-04-26,3.81
JR상가3,2009-04-27,3.81
JR상가3,2009-04-28,3.78
JR상가3,2009-04-29,3.79
JR상가3,2009-04-30,3.82
JR상가3,2009-05-01,3.84
JR상가3,2009-05-02,3.89
JR상가3,2009-05-03,3.88
JR상가3,2009-05-04,3.89
JR상가3,2009-05-06,3.9
JR상가3,2009-05-07,3.91
JR상가3,2009-05-08,3.89
JR상가3,2009-05-09,3.88
JR상가3,2009-05-10,3.87
JR상가3,2009-05-11,3.92
JR상가3,2009-05-12,4.03
JR상가3,2009-05-13,4.0
JR상가3,2009-05-14,3.99
JR상가3,2009-05-15,4.01
JR상가3,2009-05-16,4.06
JR상가3,2009-05-17,4.04
JR상가3,2009-05-18,4.02
JR상가3,2009-05-19,4.03
JR상가3,2009-05-20,4.04
JR상가3,2009-05-21,4.1
JR상가3,2009-05-22,4.02
JR상가3,2009-05-23,4.05
JR상가3,2009-05-24,4.05
JR상가3,2009-05-25,4.05
JR상가3,2009-05-26,4.09
JR상가3,2009-05-27,4.11
JR상가3,2009-05-28,4.11
JR상가3,2009-05-29,4.14
JR상가3,2009-05-30,4.16
JR상가3,2009-05-31,4.16
JR상가3,2009-06-01,4.16
JR상가3,2009-06-02,4.17
JR상가3,2009-06-03,4.2
JR상가3,2009-06-04,4.18
JR상가3,2009-06-05,4.18
JR상가3,2009-06-06,4.15
JR상가3,2009-06-07,4.14
JR상가3,2009-06-08,4.14
JR상가3,2009-06-09,4.2
JR상가3,2009-06-10,4.26
JR상가3,2009-06-11,4.22
JR상가3,2009-06-12,4.23
JR상가3,2009-06-13,4.2
JR상가3,2009-06-14,4.18
JR상가3,2009-06-15,4.18
JR상가3,2009-06-16,4.19
JR상가3,2009-06-17,4.2
JR상가3,2009-06-18,4.23
JR상가3,2009-06-19,4.24
JR상가3,2009-06-20,4.26
JR상가3,2009-06-21,4.26
JR상가3,2009-06-22,4.26
JR상가3,2009-06-23,4.23
JR상가3,2009-06-24,4.21
JR상가3,2009-06-25,4.22
JR상가3,2009-06-26,4.23
JR상가3,2009-06-27,4.28
JR상가3,2009-06-28,4.32
JR상가3,2009-06-29,4.33
JR상가3,2009-06-30,4.32
JR상가3,2009-07-01,4.33
JR상가3,2009-07-02,4.34
JR상가3,2009-07-03,4.36
JR상가3,2009-07-04,4.35
JR상가3,2009-07-05,4.36
JR상가3,2009-07-06,4.4
JR상가3,2009-07-07,4.47
JR상가3,2009-07-08,4.48
JR상가3,2009-07-09,4.52
JR상가3,2009-07-10,4.5
JR상가3,2009-07-11,4.51
JR상가3,2009-07-12,4.55
JR상가3,2009-07-13,4.54
JR상가3,2009-07-14,4.59
JR상가3,2009-07-15,4.61
JR상가3,2009-07-16,4.62
JR상가3,2009-07-17,4.63
JR상가3,2009-07-18,4.65
JR상가3,2009-07-19,4.66
JR상가3,2009-07-20,4.7
JR상가3,2009-07-21,4.74
JR상가3,2009-07-22,4.74
JR상가3,2009-07-23,4.73
JR상가3,2009-07-24,4.79
JR상가3,2009-07-25,4.74
JR상가3,2009-07-26,4.75
JR상가3,2009-07-27,4.77
JR상가3,2009-07-28,4.82
JR상가3,2009-07-29,4.81
JR상가3,2009-07-30,4.81
JR상가3,2009-07-31,4.85
JR상가3,2009-08-01,4.9
JR상가3,2009-08-02,4.93
JR상가3,2009-08-03,4.94
JR상가3,2009-08-04,4.96
JR상가3,2009-08-05,4.99
JR상가3,2009-08-06,5.01
JR상가3,2009-08-07,5.03
JR상가3,2009-08-08,5.05
JR상가3,2009-08-09,5.11
JR상가3,2009-08-10,5.12
JR상가3,2009-08-11,5.15
JR상가3,2009-08-12,5.21
JR상가3,2009-08-13,5.17
JR상가3,2009-08-14,5.18
JR상가3,2009-08-15,5.21
JR상가3,2009-08-16,5.22
JR상가3,2009-08-17,5.25
JR상가3,2009-08-18,5.28
JR상가3,2009-08-19,5.3
JR상가3,2009-08-20,5.35
JR상가3,2009-08-21,5.37
JR상가3,2009-08-22,5.37
JR상가3,2009-08-23,5.36
JR상가3,2009-08-24,5.37
JR상가3,2009-08-25,5.39
JR상가3,2009-08-26,5.42
JR상가3,2009-08-27,5.47
JR상가3,2009-08-28,5.45
JR상가3,2009-08-29,5.44
JR상가3,2009-08-30,5.46
JR상가3,2009-08-31,5.48
JR상가3,2009-09-01,5.49
JR상가3,2009-09-02,5.52
JR상가3,2009-09-03,5.56
JR상가3,2009-09-04,5.6
