관측소명,날짜,EL
JR서광3,2008-12-10,98.91
JR서광3,2008-12-11,98.94
JR서광3,2008-12-12,98.97
JR서광3,2008-12-13,98.98
JR서광3,2008-12-14,98.99
JR서광3,2008-12-15,99.0
JR서광3,2008-12-16,99.01
JR서광3,2008-12-17,99.03
JR서광3,2008-12-18,99.03
JR서광3,2008-12-19,99.05
JR서광3,2008-12-20,99.06
JR서광3,2008-12-21,99.07
JR서광3,2008-12-22,99.06
JR서광3,2008-12-23,99.06
JR서광3,2008-12-24,99.08
JR서광3,2008-12-25,99.09
JR서광3,2008-12-26,99.08
JR서광3,2008-12-27,99.09
JR서광3,2008-12-28,99.11
JR서광3,2008-12-29,99.11
JR서광3,2008-12-30,99.11
JR서광3,2008-12-31,99.11
JR서광3,2009-01-01,99.11
JR서광3,2009-01-02,99.1
JR서광3,2009-01-03,99.1
JR서광3,2009-01-04,99.11
JR서광3,2009-01-05,99.11
JR서광3,2009-01-06,99.12
JR서광3,2009-01-07,99.11
JR서광3,2009-01-08,99.11
JR서광3,2009-01-09,99.12
JR서광3,2009-01-10,99.11
JR서광3,2009-01-11,99.11
JR서광3,2009-01-12,99.08
JR서광3,2009-01-13,99.08
JR서광3,2009-01-14,99.07
JR서광3,2009-01-15,99.06
JR서광3,2009-01-16,99.07
JR서광3,2009-01-17,99.07
JR서광3,2009-01-18,99.08
JR서광3,2009-01-19,99.06
JR서광3,2009-01-20,99.05
JR서광3,2009-01-21,99.05
JR서광3,2009-01-22,99.06
JR서광3,2009-04-07,98.33
JR서광3,2009-04-08,98.31
JR서광3,2009-04-09,98.3
JR서광3,2009-04-10,98.3
JR서광3,2009-04-11,98.32
JR서광3,2009-04-12,98.33
JR서광3,2009-04-13,98.35
JR서광3,2009-04-14,98.36
JR서광3,2009-04-15,98.35
JR서광3,2009-04-16,98.34
JR서광3,2009-04-17,98.32
JR서광3,2009-04-18,98.31
JR서광3,2009-04-19,98.32
JR서광3,2009-04-20,98.37
JR서광3,2009-04-21,98.34
JR서광3,2009-04-22,98.33
JR서광3,2009-04-23,98.33
JR서광3,2009-04-24,98.37
JR서광3,2009-04-25,98.38
JR서광3,2009-04-26,98.38
JR서광3,2009-04-27,98.39
JR서광3,2009-04-28,98.39
JR서광3,2009-04-29,98.4
JR서광3,2009-04-30,98.43
JR서광3,2009-05-01,98.46
JR서광3,2009-05-02,98.49
JR서광3,2009-05-03,98.52
JR서광3,2009-05-04,98.55
JR서광3,2009-05-05,98.57
JR서광3,2009-05-06,98.59
JR서광3,2009-05-07,98.61
JR서광3,2009-05-08,98.62
JR서광3,2009-05-09,98.63
JR서광3,2009-05-10,98.64
JR서광3,2009-05-11,98.65
JR서광3,2009-05-12,98.67
JR서광3,2009-05-13,98.67
JR서광3,2009-05-14,98.67
JR서광3,2009-05-15,98.68
JR서광3,2009-05-16,98.71
JR서광3,2009-05-17,98.7
JR서광3,2009-05-18,98.69
JR서광3,2009-05-19,98.7
JR서광3,2009-05-20,98.71
JR서광3,2009-05-21,98.73
JR서광3,2009-05-22,98.71
JR서광3,2009-05-23,98.72
JR서광3,2009-05-24,98.72
JR서광3,2009-05-25,98.71
JR서광3,2009-05-26,98.68
JR서광3,2009-05-27,98.69
JR서광3,2009-05-28,98.69
JR서광3,2009-05-29,98.71
JR서광3,2009-05-30,98.72
JR서광3,2009-05-31,98.73
JR서광3,2009-06-01,98.73
JR서광3,2009-06-02,98.74
JR서광3,2009-06-03,98.77
JR서광3,2009-06-04,98.76
JR서광3,2009-06-05,98.77
JR서광3,2009-06-06,98.76
JR서광3,2009-06-07,98.75
JR서광3,2009-06-08,98.74
JR서광3,2009-06-09,98.75
JR서광3,2009-06-10,98.78
JR서광3,2009-06-11,98.77
JR서광3,2009-06-12,98.78
JR서광3,2009-06-13,98.77
JR서광3,2009-06-14,98.76
JR서광3,2009-06-15,98.76
JR서광3,2009-06-16,98.76
JR서광3,2009-06-17,98.77
JR서광3,2009-06-18,98.79
JR서광3,2009-06-19,98.81
JR서광3,2009-06-20,98.83
JR서광3,2009-06-21,98.84
JR서광3,2009-06-22,98.85
JR서광3,2009-06-23,98.85
JR서광3,2009-06-24,98.84
JR서광3,2009-06-25,98.84
JR서광3,2009-06-26,98.84
JR서광3,2009-06-27,98.85
JR서광3,2009-06-28,98.86
JR서광3,2009-06-29,98.87
JR서광3,2009-06-30,98.87
JR서광3,2009-07-01,98.87
JR서광3,2009-07-02,98.87
JR서광3,2009-07-03,98.9
JR서광3,2009-07-04,98.93
JR서광3,2009-07-05,98.97
JR서광3,2009-07-06,99.02
JR서광3,2009-07-07,99.09
JR서광3,2009-07-08,99.13
JR서광3,2009-07-09,99.18
JR서광3,2009-07-10,99.23
JR서광3,2009-07-11,99.27
JR서광3,2009-07-12,99.33
JR서광3,2009-07-13,99.38
JR서광3,2009-07-14,99.44
JR서광3,2009-07-15,99.48
JR서광3,2009-07-16,99.53
JR서광3,2009-07-17,99.58
JR서광3,2009-07-18,99.62
JR서광3,2009-07-19,99.65
JR서광3,2009-07-20,99.7
JR서광3,2009-07-21,99.75
JR서광3,2009-07-22,99.78
JR서광3,2009-07-23,99.8
JR서광3,2009-07-24,99.83
JR서광3,2009-07-25,99.84
JR서광3,2009-07-26,99.88
JR서광3,2009-07-27,99.93
JR서광3,2009-07-28,100.01
JR서광3,2009-07-29,100.06
JR서광3,2009-07-30,100.11
JR서광3,2009-07-31,100.18
JR서광3,2009-08-01,100.26
JR서광3,2009-08-02,100.34
JR서광3,2009-08-03,100.4
JR서광3,2009-08-04,100.46
JR서광3,2009-08-05,100.52
JR서광3,2009-08-06,100.59
