관측소명,날짜,EL
JR신촌2,2006-01-18,2.66
JR신촌2,2006-01-19,2.68
JR신촌2,2006-01-20,2.71
JR신촌2,2006-01-21,2.72
JR신촌2,2006-01-22,2.7
JR신촌2,2006-01-23,2.68
JR신촌2,2006-01-24,2.67
JR신촌2,2006-01-25,2.65
JR신촌2,2006-01-26,2.64
JR신촌2,2006-01-27,2.64
JR신촌2,2006-01-28,2.65
JR신촌2,2006-01-29,2.67
JR신촌2,2006-01-30,2.7
JR신촌2,2006-01-31,2.72
JR신촌2,2006-02-01,2.73
JR신촌2,2006-02-02,2.72
JR신촌2,2006-02-03,2.7
JR신촌2,2006-02-04,2.66
JR신촌2,2006-02-05,2.63
JR신촌2,2006-02-06,2.62
JR신촌2,2006-02-07,2.63
JR신촌2,2006-02-08,2.61
JR신촌2,2006-02-09,2.6
JR신촌2,2006-02-10,2.6
JR신촌2,2006-02-11,2.59
JR신촌2,2006-02-12,2.6
JR신촌2,2006-02-13,2.6
JR신촌2,2006-02-14,2.61
JR신촌2,2006-02-15,2.63
JR신촌2,2006-02-16,2.65
JR신촌2,2006-02-17,2.64
JR신촌2,2006-02-18,2.62
JR신촌2,2006-02-19,2.6
JR신촌2,2006-02-20,2.6
JR신촌2,2006-02-21,2.59
JR신촌2,2006-02-22,2.58
JR신촌2,2006-02-23,2.57
JR신촌2,2006-02-24,2.57
JR신촌2,2006-02-25,2.58
JR신촌2,2006-02-26,2.6
JR신촌2,2006-02-27,2.62
JR신촌2,2006-02-28,2.65
JR신촌2,2006-03-01,2.68
JR신촌2,2006-03-02,2.7
JR신촌2,2006-03-03,2.71
JR신촌2,2006-03-04,2.72
JR신촌2,2006-03-05,2.73
JR신촌2,2006-03-06,2.71
JR신촌2,2006-03-07,2.7
JR신촌2,2006-03-08,2.69
JR신촌2,2006-03-09,2.69
JR신촌2,2006-03-10,2.7
JR신촌2,2006-03-11,2.7
JR신촌2,2006-03-12,2.69
JR신촌2,2006-03-13,2.67
JR신촌2,2006-03-14,2.66
JR신촌2,2006-03-15,2.65
JR신촌2,2006-03-16,2.66
JR신촌2,2006-03-17,2.68
JR신촌2,2006-03-18,2.7
JR신촌2,2006-03-19,2.72
JR신촌2,2006-03-20,2.72
JR신촌2,2006-03-21,2.72
JR신촌2,2006-03-22,2.73
JR신촌2,2006-03-23,2.74
JR신촌2,2006-03-24,2.74
JR신촌2,2006-03-25,2.74
JR신촌2,2006-03-26,2.74
JR신촌2,2006-03-27,2.75
JR신촌2,2006-03-28,2.76
JR신촌2,2006-03-29,2.78
JR신촌2,2006-03-30,2.78
JR신촌2,2006-03-31,2.8
JR신촌2,2006-04-01,2.82
JR신촌2,2006-04-02,2.81
JR신촌2,2006-04-03,2.79
JR신촌2,2006-04-04,2.78
JR신촌2,2006-04-05,2.8
JR신촌2,2006-04-06,2.8
JR신촌2,2006-04-07,2.78
JR신촌2,2006-04-08,2.77
JR신촌2,2006-04-09,2.77
JR신촌2,2006-04-10,2.79
JR신촌2,2006-04-11,2.83
JR신촌2,2006-04-12,2.87
JR신촌2,2006-04-13,2.91
JR신촌2,2006-04-14,2.93
JR신촌2,2006-04-15,2.95
JR신촌2,2006-04-16,2.94
JR신촌2,2006-04-17,2.93
JR신촌2,2006-04-18,2.93
JR신촌2,2006-04-19,2.94
JR신촌2,2006-04-20,2.92
JR신촌2,2006-04-21,2.91
JR신촌2,2006-04-22,2.92
JR신촌2,2006-04-23,2.93
JR신촌2,2006-04-24,2.93
JR신촌2,2006-04-25,2.92
JR신촌2,2006-04-26,2.92
JR신촌2,2006-04-27,2.93
JR신촌2,2006-04-28,2.93
JR신촌2,2006-04-29,2.94
JR신촌2,2006-04-30,2.96
JR신촌2,2006-05-01,2.97
JR신촌2,2006-05-02,2.96
JR신촌2,2006-05-03,2.97
JR신촌2,2006-05-04,2.94
JR신촌2,2006-05-05,2.92
JR신촌2,2006-05-06,2.92
JR신촌2,2006-05-07,2.93
JR신촌2,2006-05-08,2.95
JR신촌2,2006-05-09,2.96
JR신촌2,2006-05-10,2.97
JR신촌2,2006-05-11,2.99
JR신촌2,2006-05-12,3.01
JR신촌2,2006-05-13,3.02
JR신촌2,2006-05-14,3.03
JR신촌2,2006-05-15,3.03
JR신촌2,2006-05-16,3.05
JR신촌2,2006-05-17,3.06
JR신촌2,2006-05-18,3.07
JR신촌2,2006-05-19,3.18
JR신촌2,2006-05-20,3.49
JR신촌2,2006-05-21,3.75
JR신촌2,2006-05-22,3.91
JR신촌2,2006-05-23,4.01
JR신촌2,2006-05-24,4.06
JR신촌2,2006-05-25,4.1
JR신촌2,2006-05-26,4.14
JR신촌2,2006-05-27,4.17
JR신촌2,2006-05-28,4.18
JR신촌2,2006-05-29,4.18
JR신촌2,2006-05-30,4.18
JR신촌2,2006-05-31,4.18
JR신촌2,2006-06-01,4.17
JR신촌2,2006-06-02,4.17
JR신촌2,2006-06-03,4.17
JR신촌2,2006-06-04,4.17
JR신촌2,2006-06-05,4.17
JR신촌2,2006-06-06,4.18
JR신촌2,2006-06-07,4.19
JR신촌2,2006-06-08,4.21
JR신촌2,2006-06-09,4.25
JR신촌2,2006-06-10,4.29
JR신촌2,2006-06-11,4.31
JR신촌2,2006-06-12,4.33
JR신촌2,2006-06-13,4.33
JR신촌2,2006-06-14,4.35
JR신촌2,2006-06-15,4.38
JR신촌2,2006-06-16,4.4
JR신촌2,2006-06-17,4.41
JR신촌2,2006-06-18,4.42
JR신촌2,2006-06-19,4.41
JR신촌2,2006-06-20,4.4
JR신촌2,2006-06-21,4.4
JR신촌2,2006-06-22,4.4
JR신촌2,2006-06-23,4.42
JR신촌2,2006-06-24,4.44
JR신촌2,2006-06-25,4.49
JR신촌2,2006-06-26,4.54
JR신촌2,2006-06-27,4.57
JR신촌2,2006-06-28,4.6
JR신촌2,2006-06-29,4.61
JR신촌2,2006-06-30,4.73
JR신촌2,2006-07-01,5.35
JR신촌2,2006-07-02,5.92
JR신촌2,2006-07-03,6.34
JR신촌2,2006-07-04,6.6
JR신촌2,2006-07-05,6.74
JR신촌2,2006-07-06,6.8
JR신촌2,2006-07-07,6.82
JR신촌2,2006-07-08,6.81
JR신촌2,2006-07-09,6.93
JR신촌2,2006-07-10,7.48
JR신촌2,2006-07-11,8.63
JR신촌2,2006-07-12,9.37
JR신촌2,2006-07-13,9.81
JR신촌2,2006-07-14,10.05
JR신촌2,2006-07-15,10.16
JR신촌2,2006-07-16,10.19
JR신촌2,2006-07-17,10.22
JR신촌2,2006-07-18,10.24
JR신촌2,2006-07-19,10.26
JR신촌2,2006-07-20,10.29
JR신촌2,2006-07-21,10.31
JR신촌2,2006-07-22,10.33
JR신촌2,2006-07-23,10.34
JR신촌2,2006-07-24,10.35
JR신촌2,2006-07-25,10.34
JR신촌2,2006-07-26,10.33
JR신촌2,2006-07-27,10.32
JR신촌2,2006-07-28,10.3
JR신촌2,2006-07-29,10.28
JR신촌2,2006-07-30,10.25
JR신촌2,2006-07-31,10.23
JR신촌2,2006-08-01,10.2
JR신촌2,2006-08-02,10.17
JR신촌2,2006-08-03,10.13
JR신촌2,2006-08-04,10.1
JR신촌2,2006-08-05,10.07
JR신촌2,2006-08-06,10.06
JR신촌2,2006-08-07,10.03
JR신촌2,2006-08-08,10.01
JR신촌2,2006-08-09,10.0
JR신촌2,2006-08-10,9.97
JR신촌2,2006-08-11,9.93
JR신촌2,2006-08-12,9.91
JR신촌2,2006-08-13,9.88
JR신촌2,2006-08-14,9.85
