관측소명,날짜,EL
JR태흥3,2006-01-17,2.2
JR태흥3,2006-01-18,2.21
JR태흥3,2006-01-19,2.22
JR태흥3,2006-01-20,2.25
JR태흥3,2006-01-21,2.24
JR태흥3,2006-01-22,2.2
JR태흥3,2006-01-23,2.17
JR태흥3,2006-01-24,2.14
JR태흥3,2006-01-25,2.11
JR태흥3,2006-01-26,2.1
JR태흥3,2006-01-27,2.09
JR태흥3,2006-01-28,2.12
JR태흥3,2006-01-29,2.16
JR태흥3,2006-01-30,2.19
JR태흥3,2006-01-31,2.2
JR태흥3,2006-02-01,2.22
JR태흥3,2006-02-02,2.2
JR태흥3,2006-02-03,2.17
JR태흥3,2006-02-04,2.11
JR태흥3,2006-02-05,2.07
JR태흥3,2006-02-06,2.09
JR태흥3,2006-02-07,2.12
JR태흥3,2006-02-08,2.07
JR태흥3,2006-02-09,2.04
JR태흥3,2006-02-10,2.04
JR태흥3,2006-02-11,2.04
JR태흥3,2006-02-12,2.06
JR태흥3,2006-02-13,2.07
JR태흥3,2006-02-14,2.08
JR태흥3,2006-02-15,2.11
JR태흥3,2006-02-16,2.15
JR태흥3,2006-02-17,2.13
JR태흥3,2006-02-18,2.07
JR태흥3,2006-02-19,2.03
JR태흥3,2006-02-20,2.03
JR태흥3,2006-02-21,2.03
JR태흥3,2006-02-22,2.03
JR태흥3,2006-02-23,2.01
JR태흥3,2006-02-24,2.01
JR태흥3,2006-02-25,2.02
JR태흥3,2006-02-26,2.05
JR태흥3,2006-02-27,2.04
JR태흥3,2006-02-28,2.05
JR태흥3,2006-03-01,2.06
JR태흥3,2006-03-02,2.05
JR태흥3,2006-03-03,2.04
JR태흥3,2006-03-04,2.04
JR태흥3,2006-03-05,2.04
JR태흥3,2006-03-06,2.03
JR태흥3,2006-03-07,2.02
JR태흥3,2006-03-08,2.0
JR태흥3,2006-03-09,2.0
JR태흥3,2006-03-10,2.0
JR태흥3,2006-03-11,2.0
JR태흥3,2006-03-12,2.0
JR태흥3,2006-03-13,1.98
JR태흥3,2006-03-14,1.96
JR태흥3,2006-03-15,1.95
