관측소명,날짜,EL
JR하귀1,2005-01-01,9.43
JR하귀1,2005-01-02,9.38
JR하귀1,2005-01-03,9.28
JR하귀1,2005-01-04,9.26
JR하귀1,2005-01-05,9.25
JR하귀1,2005-01-06,9.17
JR하귀1,2005-01-07,9.14
JR하귀1,2005-01-08,9.11
JR하귀1,2005-01-09,9.05
JR하귀1,2005-01-10,9.0
JR하귀1,2005-01-11,8.95
JR하귀1,2005-01-12,8.9
JR하귀1,2005-01-13,8.86
JR하귀1,2005-01-14,8.81
JR하귀1,2005-01-15,8.72
JR하귀1,2005-01-16,8.64
JR하귀1,2005-01-17,8.66
JR하귀1,2005-01-18,8.6
JR하귀1,2005-01-19,8.56
JR하귀1,2005-01-20,8.57
JR하귀1,2005-01-21,8.56
JR하귀1,2005-01-22,8.48
JR하귀1,2005-01-23,8.47
JR하귀1,2005-01-24,8.42
JR하귀1,2005-01-25,8.44
JR하귀1,2005-01-26,8.53
JR하귀1,2005-01-27,8.44
JR하귀1,2005-01-28,8.35
JR하귀1,2005-01-29,8.29
JR하귀1,2005-01-30,8.28
JR하귀1,2005-01-31,8.17
JR하귀1,2005-02-01,8.08
JR하귀1,2005-02-02,8.1
JR하귀1,2005-02-03,8.12
JR하귀1,2005-02-04,8.06
JR하귀1,2005-02-05,8.03
JR하귀1,2005-02-06,8.03
JR하귀1,2005-02-07,7.99
JR하귀1,2005-02-08,7.97
JR하귀1,2005-02-09,7.95
JR하귀1,2005-02-10,7.97
JR하귀1,2005-02-11,7.96
JR하귀1,2005-02-12,7.9
JR하귀1,2005-02-13,7.86
JR하귀1,2005-02-14,7.8
JR하귀1,2005-02-15,7.82
JR하귀1,2005-02-16,7.95
JR하귀1,2005-02-17,7.93
JR하귀1,2005-02-18,8.1
JR하귀1,2005-02-19,8.17
JR하귀1,2005-02-20,8.05
JR하귀1,2005-02-21,8.01
JR하귀1,2005-02-22,7.89
JR하귀1,2005-02-23,7.78
JR하귀1,2005-02-24,7.74
JR하귀1,2005-02-25,7.75
JR하귀1,2005-02-26,7.73
JR하귀1,2005-02-27,7.7
JR하귀1,2005-02-28,7.62
JR하귀1,2005-03-01,7.59
JR하귀1,2005-03-02,7.57
JR하귀1,2005-03-03,7.52
JR하귀1,2005-03-04,7.46
JR하귀1,2005-03-05,7.42
JR하귀1,2005-03-06,7.42
JR하귀1,2005-03-07,7.34
JR하귀1,2005-03-08,7.25
JR하귀1,2005-03-09,7.2
JR하귀1,2005-03-10,7.13
JR하귀1,2005-03-11,7.13
JR하귀1,2005-03-12,7.18
JR하귀1,2005-03-13,7.15
JR하귀1,2005-03-14,7.09
JR하귀1,2005-03-15,7.05
JR하귀1,2005-03-16,7.04
JR하귀1,2005-03-17,7.32
JR하귀1,2005-03-18,7.41
JR하귀1,2005-03-19,7.38
JR하귀1,2005-03-20,7.3
JR하귀1,2005-03-21,7.23
JR하귀1,2005-03-22,7.43
JR하귀1,2005-03-23,7.56
JR하귀1,2005-03-24,7.48
JR하귀1,2005-03-25,7.45
JR하귀1,2005-03-26,7.43
JR하귀1,2005-03-27,7.39
JR하귀1,2005-03-28,7.32
JR하귀1,2005-03-29,7.31
JR하귀1,2005-03-30,7.27
JR하귀1,2005-03-31,7.24
JR하귀1,2005-04-01,7.19
JR하귀1,2005-04-02,7.12
JR하귀1,2005-04-03,7.05
JR하귀1,2005-04-04,7.04
JR하귀1,2005-04-05,6.95
JR하귀1,2005-04-06,6.93
JR하귀1,2005-04-07,6.86
JR하귀1,2005-04-08,6.89
JR하귀1,2005-04-09,6.88
JR하귀1,2005-04-10,6.98
JR하귀1,2005-04-11,7.04
JR하귀1,2005-04-12,7.02
JR하귀1,2005-04-13,6.97
JR하귀1,2005-04-14,6.93
JR하귀1,2005-04-15,6.89
JR하귀1,2005-04-16,6.83
JR하귀1,2005-04-17,6.83
JR하귀1,2005-04-18,6.85
JR하귀1,2005-04-19,6.81
JR하귀1,2005-04-20,6.76
JR하귀1,2005-04-21,6.68
JR하귀1,2005-04-22,6.7
JR하귀1,2005-04-23,6.72
JR하귀1,2005-04-24,6.69
JR하귀1,2005-04-25,6.61
JR하귀1,2005-04-26,6.55
JR하귀1,2005-04-27,6.46
JR하귀1,2005-04-28,6.41
JR하귀1,2005-04-29,6.43
