관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JD삼양2,2005-01-01,S11,7.016,,,,,,,2005-01
JD삼양2,2005-02-01,S11,5.857,,,,,,,2005-02
JD삼양2,2005-03-01,S11,5.378,,,,,,,2005-03
JD삼양2,2005-04-01,S11,5.11,,,,,,,2005-04
JD삼양2,2005-05-01,S11,5.016,,,,,,,2005-05
JD삼양2,2005-06-01,S11,4.957,,,,,,,2005-06
JD삼양2,2005-07-01,S11,4.741,,,,,,,2005-07
JD삼양2,2005-08-01,S11,4.625,,,,,,,2005-08
JD삼양2,2005-09-01,S11,5.071,,,,,,,2005-09
JD삼양2,2005-10-01,S11,4.991,,,,,,,2005-10
JD삼양2,2005-11-01,S11,4.511,,,,,,,2005-11
JD삼양2,2005-12-01,S11,4.07,,,,,,,2005-12
JD삼양2,2006-01-01,S11,3.823,,,,,,,2006-01
JD삼양2,2006-02-01,S11,3.709,,,,,,,2006-02
JD삼양2,2006-03-01,S11,3.768,,,,,,,2006-03
JD삼양2,2006-04-01,S11,3.94,,,,,,,2006-04
JD삼양2,2006-05-01,S11,4.537,,,,,,,2006-05
JD삼양2,2006-06-01,S11,6.232,,,,,,,2006-06
JD삼양2,2006-07-01,S11,11.459,,,,,,,2006-07
JD삼양2,2006-08-01,S11,13.89,,,,,,,2006-08
JD삼양2,2006-09-01,S11,12.125,,,,,,,2006-09
JD삼양2,2006-10-01,S11,11.865,,,,,,,2006-10
JD삼양2,2006-11-01,S11,9.781,,,,,,,2006-11
JD삼양2,2006-12-01,S11,7.722,,,,,,,2006-12
JD삼양2,2007-01-01,S11,6.603,,,,,,,2007-01
JD삼양2,2007-02-01,S11,5.645,,,,,,,2007-02
JD삼양2,2007-03-01,S11,5.496,,,,,,,2007-03
JD삼양2,2007-04-01,S11,5.666,,,,,,,2007-04
JD삼양2,2007-05-01,S11,5.303,,,,,,,2007-05
JD삼양2,2007-06-01,S11,4.823,,,,,,,2007-06
JD삼양2,2007-07-01,S11,6.226,,,,,,,2007-07
JD삼양2,2007-08-01,S11,7.278,,,,,,,2007-08
JD삼양2,2007-09-01,S11,16.652,,,,,,,2007-09
JD삼양2,2007-10-01,S11,25.017,,,,,,,2007-10
JD삼양2,2007-11-01,S11,20.109,,,,,,,2007-11
JD삼양2,2007-12-01,S11,14.534,,,,,,,2007-12
JD삼양2,2008-01-01,S11,10.754,,,,,,,2008-01
JD삼양2,2008-02-01,S11,9.299,,,,,,,2008-02
JD삼양2,2008-03-01,S11,7.519,,,,,,,2008-03
JD삼양2,2008-04-01,S11,6.59,,,,,,,2008-04
JD삼양2,2008-05-01,S11,6.17,,,,,,,2008-05
JD삼양2,2008-06-01,S11,6.573,,,,,,,2008-06
JD삼양2,2008-07-01,S11,8.855,,,,,,,2008-07
JD삼양2,2008-08-01,S11,9.375,,,,,,,2008-08
JD삼양2,2008-09-01,S11,8.443,,,,,,,2008-09
JD삼양2,2008-10-01,S11,7.108,,,,,,,2008-10
JD삼양2,2008-11-01,S11,6.309,,,,,,,2008-11
JD삼양2,2008-12-01,S11,5.228,,,,,,,2008-12
JD삼양2,2009-01-01,S11,4.565,,,,,,,2009-01
JD삼양2,2009-02-01,S11,4.339,,,,,,,2009-02
JD삼양2,2009-03-01,S11,4.703,,,,,,,2009-03
JD삼양2,2009-04-01,S11,4.951,,,,,,,2009-04
JD삼양2,2009-05-01,S11,5.537,,,,,,,2009-05
JD삼양2,2009-06-01,S11,5.595,,,,,,,2009-06
JD삼양2,2009-07-01,S11,5.464,,,,,,,2009-07
JD삼양2,2009-08-01,S11,5.946,,,,,,,2009-08
JD삼양2,2009-09-01,S11,7.472,,,,,,,2009-09
JD삼양2,2009-10-01,S11,8.472,,,,,,,2009-10
JD삼양2,2009-11-01,S11,7.627,,,,,,,2009-11
JD삼양2,2009-12-01,S11,6.683,,,,,,,2009-12
JD삼양2,2010-01-01,S11,5.561,,,,,,,2010-01
JD삼양2,2010-02-01,S11,5.031,,,,,,,2010-02
JD삼양2,2010-03-01,S11,5.757,,,,,,,2010-03
JD삼양2,2010-04-01,S11,7.356,,,,,,,2010-04
JD삼양2,2010-05-01,S11,8.54,,,,,,,2010-05
JD삼양2,2010-06-01,S11,7.921,,,,,,,2010-06
JD삼양2,2010-07-01,S11,9.004,,,,,,,2010-07
JD삼양2,2010-08-01,S11,11.479,,,,,,,2010-08
JD삼양2,2010-09-01,S11,16.984,,,,,,,2010-09
JD삼양2,2010-10-01,S11,17.798,,,,,,,2010-10
JD삼양2,2010-11-01,S11,14.123,,,,,,,2010-11
JD삼양2,2010-12-01,S11,10.336,,,,,,,2010-12
JD삼양2,2011-01-01,S11,7.614,,,,,,,2011-01
JD삼양2,2011-02-01,S11,5.979,,,,,,,2011-02
JD삼양2,2011-03-01,S11,5.089,,,,,,,2011-03
JD삼양2,2011-04-01,S11,4.446,,,,,,,2011-04
JD삼양2,2011-05-01,S11,4.122,,,,,,,2011-05
JD삼양2,2011-06-01,S11,4.627,,,,,,,2011-06
JD삼양2,2011-07-01,S11,8.379,,,,,,,2011-07
JD삼양2,2011-08-01,S11,12.871,,,,,,,2011-08
JD삼양2,2011-09-01,S11,14.671,,,,,,,2011-09
JD삼양2,2011-10-01,S11,12.401,,,,,,,2011-10
