관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JD세화2,2010-01-01,S11,0.833,,,,,,,2010-01
JD세화2,2010-02-01,S11,0.894,,,,,,,2010-02
JD세화2,2010-03-01,S11,1.004,,,,,,,2010-03
JD세화2,2010-04-01,S11,1.223,,,,,,,2010-04
JD세화2,2010-05-01,S11,1.28,,,,,,,2010-05
JD세화2,2010-06-01,S11,1.26,,,,,,,2010-06
JD세화2,2010-07-01,S11,1.616,,,,,,,2010-07
JD세화2,2010-08-01,S11,1.551,,,,,,,2010-08
JD세화2,2010-09-01,S11,1.913,,,,,,,2010-09
JD세화2,2010-10-01,S11,1.474,,,,,,,2010-10
JD세화2,2010-11-01,S11,1.282,,,,,,,2010-11
JD세화2,2010-12-01,S11,1.158,,,,,,,2010-12
JD세화2,2011-01-01,S11,1.084,,,,,,,2011-01
JD세화2,2011-02-01,S11,1.07,,,,,,,2011-02
JD세화2,2011-03-01,S11,1.042,,,,,,,2011-03
JD세화2,2011-04-01,S11,1.057,,,,,,,2011-04
JD세화2,2011-05-01,S11,1.083,,,,,,,2011-05
JD세화2,2011-06-01,S11,1.2,,,,,,,2011-06
JD세화2,2011-07-01,S11,1.266,,,,,,,2011-07
JD세화2,2011-08-01,S11,1.265,,,,,,,2011-08
JD세화2,2011-09-01,S11,1.341,,,,,,,2011-09
JD세화2,2011-10-01,S11,1.283,,,,,,,2011-10
JD세화2,2011-11-01,S11,1.34,,,,,,,2011-11
JD세화2,2011-12-01,S11,1.278,,,,,,,2011-12
JD세화2,2012-01-01,S11,1.224,,,,,,,2012-01
JD세화2,2012-02-01,S11,1.174,,,,,,,2012-02
JD세화2,2012-03-01,S11,1.236,,,,,,,2012-03
JD세화2,2012-04-01,S11,1.32,,,,,,,2012-04
JD세화2,2012-05-01,S11,1.5,,,,,,,2012-05
JD세화2,2012-06-01,S11,1.415,,,,,,,2012-06
JD세화2,2012-07-01,S11,1.415,,,,,,,2012-07
JD세화2,2012-09-01,S11,2.086,,,,,,,2012-09
JD세화2,2012-10-01,S11,1.683,,,,,,,2012-10
JD세화2,2012-11-01,S11,1.402,,,,,,,2012-11
JD세화2,2012-12-01,S11,1.164,,,,,,,2012-12
JD세화2,2013-01-01,S11,1.065,,,,,,,2013-01
JD세화2,2013-02-01,S11,0.999,,,,,,,2013-02
JD세화2,2013-03-01,S11,1.016,,,,,,,2013-03
JD세화2,2013-04-01,S11,1.048,,,,,,,2013-04
JD세화2,2013-05-01,S11,1.109,,,,,,,2013-05
JD세화2,2013-06-01,S11,1.202,,,,,,,2013-06
JD세화2,2013-07-01,S11,1.175,,,,,,,2013-07
JD세화2,2013-08-01,S11,1.107,,,,,,,2013-08
JD세화2,2013-09-01,S11,1.034,,,,,,,2013-09
JD세화2,2013-10-01,S11,1.178,,,,,,,2013-10
JD세화2,2013-11-01,S11,0.924,,,,,,,2013-11
JD세화2,2013-12-01,S11,0.864,,,,,,,2013-12
JD세화2,2014-01-01,S11,0.759,,,,,,,2014-01
JD세화2,2014-02-01,S11,0.848,,,,,,,2014-02
JD세화2,2014-03-01,S11,0.897,,,,,,,2014-03
JD세화2,2014-04-01,S11,0.979,,,,,,,2014-04
JD세화2,2014-05-01,S11,1.173,,,,,,,2014-05
JD세화2,2014-06-01,S11,1.412,,,,,,,2014-06
JD세화2,2014-07-01,S11,1.418,,,,,,,2014-07
JD세화2,2014-08-01,S11,1.651,,,,,,,2014-08
JD세화2,2014-09-01,S11,1.683,,,,,,,2014-09
JD세화2,2014-10-01,S11,1.434,,,,,,,2014-10
JD세화2,2014-11-01,S11,1.224,,,,,,,2014-11
JD세화2,2014-12-01,S11,1.027,,,,,,,2014-12
JD세화2,2015-01-01,S11,0.948,,,,,,,2015-01
JD세화2,2015-02-01,S11,0.894,,,,,,,2015-02
JD세화2,2015-03-01,S11,0.909,,,,,,,2015-03
JD세화2,2015-04-01,S11,1.143,,,,,,,2015-04
JD세화2,2015-05-01,S11,1.416,,,,,,,2015-05
JD세화2,2015-06-01,S11,1.281,,,,,,,2015-06
JD세화2,2015-07-01,S11,1.677,,,,,,,2015-07
JD세화2,2015-08-01,S11,1.431,,,,,,,2015-08
JD세화2,2015-09-01,S11,1.387,,,,,,,2015-09
JD세화2,2015-10-01,S11,1.482,,,,,,,2015-10
JD세화2,2015-11-01,S11,1.275,,,,,,,2015-11
JD세화2,2015-12-01,S11,1.198,,,,,,,2015-12
JD세화2,2016-01-01,S11,1.058,,,,,,,2016-01
JD세화2,2016-02-01,S11,1.016,,,,,,,2016-02
JD세화2,2016-03-01,S11,1.061,,,,,,,2016-03
JD세화2,2016-04-01,S11,1.264,,,,,,,2016-04
JD세화2,2016-05-01,S11,1.42,,,,,,,2016-05
JD세화2,2016-06-01,S11,1.35,,,,,,,2016-06
JD세화2,2016-07-01,S11,1.484,,,,,,,2016-07
JD세화2,2016-08-01,S11,1.295,,,,,,,2016-08
JD세화2,2016-09-01,S11,1.233,,,,,,,2016-09
JD세화2,2016-10-01,S11,1.441,,,,,,,2016-10
JD세화2,2016-11-01,S11,1.22,,,,,,,2016-11
JD세화2,2016-12-01,S11,1.049,,,,,,,2016-12
JD세화2,2017-01-01,S11,0.994,,,,,,,2017-01
JD세화2,2017-02-01,S11,0.917,,,,,,,2017-02
JD세화2,2017-03-01,S11,0.916,,,,,,,2017-03
JD세화2,2017-04-01,S11,0.936,,,,,,,2017-04
JD세화2,2017-05-01,S11,0.87,,,,,,,2017-05
JD세화2,2017-06-01,S11,0.984,,,,,,,2017-06
JD세화2,2017-07-01,S11,0.993,,,,,,,2017-07
JD세화2,2017-08-01,S11,1.255,,,,,,,2017-08
JD세화2,2017-09-01,S11,1.128,,,,,,,2017-09
JD세화2,2017-10-01,S11,1.296,,,,,,,2017-10
JD세화2,2017-11-01,S11,0.887,,,,,,,2017-11
JD세화2,2017-12-01,S11,0.694,,,,,,,2017-12
JD세화2,2018-01-01,S11,0.688,,,,,,,2018-01
JD세화2,2018-02-01,S11,0.62,,,,,,,2018-02
JD세화2,2018-03-01,S11,0.738,,,,,,,2018-03
JD세화2,2018-04-01,S11,0.839,,,,,,,2018-04
JD세화2,2018-05-01,S11,1.141,,,,,,,2018-05
JD세화2,2018-06-01,S11,1.121,,,,,,,2018-06
JD세화2,2018-07-01,S11,1.203,,,,,,,2018-07
JD세화2,2018-08-01,S11,1.105,,,,,,,2018-08
JD세화2,2018-09-01,S11,1.471,,,,,,,2018-09
JD세화2,2018-10-01,S11,1.369,,,,,,,2018-10
JD세화2,2018-11-01,S11,1.091,,,,,,,2018-11
JD세화2,2018-12-01,S11,1.0,,,,,,,2018-12
JD세화2,2019-01-01,S11,0.87,,,,,,,2019-01
JD세화2,2019-02-01,S11,0.758,,,,,,,2019-02
JD세화2,2019-03-01,S11,0.834,,,,,,,2019-03
JD세화2,2019-04-01,S11,0.797,,,,,,,2019-04
JD세화2,2019-05-01,S11,0.925,,,,,,,2019-05
JD세화2,2019-06-01,S11,1.11,,,,,,,2019-06
JD세화2,2019-07-01,S11,1.483,,,,,,,2019-07
JD세화2,2019-08-01,S11,1.433,,,,,,,2019-08
JD세화2,2019-09-01,S11,1.942,,,,,,,2019-09
JD세화2,2019-10-01,S11,2.223,,,,,,,2019-10
JD세화2,2019-11-01,S11,1.464,,,,,,,2019-11
JD세화2,2019-12-01,S11,1.166,,,,,,,2019-12
JD세화2,2020-01-01,S11,1.075,,,,,,,2020-01
JD세화2,2020-02-01,S11,0.97,,,,,,,2020-02
JD세화2,2020-03-01,S11,0.923,,,,,,,2020-03
JD세화2,2020-04-01,S11,0.879,,,,,,,2020-04
JD세화2,2020-05-01,S11,1.039,,,,,,,2020-05
JD세화2,2020-06-01,S11,1.151,,,,,,,2020-06
JD세화2,2020-07-01,S11,1.562,,,,,,,2020-07
JD세화2,2020-08-01,S11,1.232,,,,,,,2020-08
JD세화2,2020-09-01,S11,1.762,,,,,,,2020-09
JD세화2,2020-10-01,S11,1.331,,,,,,,2020-10
JD세화2,2020-11-01,S11,1.009,,,,,,,2020-11
JD세화2,2020-12-01,S11,0.857,,,,,,,2020-12
JD세화2,2021-01-01,S11,0.77,,,,,,,2021-01
JD세화2,2021-02-01,S11,0.724,,,,,,,2021-02
JD세화2,2021-03-01,S11,0.719,,,,,,,2021-03
JD세화2,2021-04-01,S11,0.8,,,,,,,2021-04
JD세화2,2021-05-01,S11,0.934,,,,,,,2021-05
JD세화2,2021-06-01,S11,1.095,,,,,,,2021-06
JD세화2,2021-07-01,S11,1.155,,,,,,,2021-07
JD세화2,2021-08-01,S11,1.222,,,,,,,2021-08
JD세화2,2021-09-01,S11,1.694,,,,,,,2021-09
JD세화2,2021-10-01,S11,1.376,,,,,,,2021-10
JD세화2,2021-11-01,S11,1.073,,,,,,,2021-11
JD세화2,2021-12-01,S11,0.831,,,,,,,2021-12
JD세화2,2022-01-01,S11,0.762,,,,,,,2022-01
JD세화2,2022-02-01,S11,0.723,,,,,,,2022-02
JD세화2,2022-03-01,S11,0.739,,,,,,,2022-03
JD세화2,2022-04-01,S11,0.674,,,,,,,2022-04
JD세화2,2022-05-01,S11,0.725,,,,,,,2022-05
JD세화2,2022-06-01,S11,0.928,,,,,,,2022-06
JD세화2,2022-07-01,S11,0.918,,,,,,,2022-07
JD세화2,2022-08-01,S11,1.027,,,,,,,2022-08
JD세화2,2022-09-01,S11,1.356,,,,,,,2022-09
JD세화2,2022-10-01,S11,0.998,,,,,,,2022-10
JD세화2,2022-11-01,S11,0.94,,,,,,,2022-11
JD세화2,2022-12-01,S11,0.743,,,,,,,2022-12
JD세화2,2023-01-01,S11,0.78,,,,,,,2023-01
JD세화2,2023-02-01,S11,0.783,,,,,,,2023-02
JD세화2,2023-03-01,S11,0.729,,,,,,,2023-03
JD세화2,2023-04-01,S11,0.851,,,,,,,2023-04
JD세화2,2023-05-01,S11,1.312,,,,,,,2023-05
JD세화2,2023-06-01,S11,1.291,,,,,,,2023-06
JD세화2,2023-07-01,S11,1.433,,,,,,,2023-07
JD세화2,2023-08-01,S11,1.386,,,,,,,2023-08
JD세화2,2023-09-01,S11,1.275,,,,,,,2023-09
JD세화2,2023-10-01,S11,1.089,,,,,,,2023-10
JD세화2,2023-11-01,S11,0.919,,,,,,,2023-11
JD세화2,2023-12-01,S11,0.774,,,,,,,2023-12
JD세화2,2024-01-01,S11,0.778,,,,,,,2024-01
JD세화2,2024-02-01,S11,0.909,,,,,,,2024-02
JD세화2,2024-03-01,S11,1.012,,,,,,,2024-03
JD세화2,2024-04-01,S11,1.115,,,,,,,2024-04
JD세화2,2024-05-01,S11,1.192,,,,,,,2024-05
JD세화2,2024-06-01,S11,1.249,,,,,,,2024-06
JD세화2,2024-07-01,S11,1.611,,,,,,,2024-07
JD세화2,2024-08-01,S11,1.296,,,,,,,2024-08
JD세화2,2024-09-01,S11,1.115,,,,,,,2024-09
JD세화2,2024-10-01,S11,1.059,,,,,,,2024-10
JD세화2,2024-11-01,S11,1.276,,,,,,,2024-11
JD세화2,2024-12-01,S11,0.945,,,,,,,2024-12
JD세화2,2025-01-01,S11,0.867,,,,,,,2025-01
JD세화2,2025-02-01,S11,0.705,,,,,,,2025-02
JD세화2,2025-03-01,S11,0.8,,,,,,,2025-03
JD세화2,2025-04-01,S11,0.823,,,,,,,2025-04
JD세화2,2025-05-01,S11,1.089,,,,,,,2025-05
JD세화2,2025-06-01,S11,1.118,,,,,,,2025-06
JD세화2,2025-07-01,S11,1.109,,,,,,,2025-07
JD세화2,2025-08-01,S11,0.897,,,,,,,2025-08
JD세화2,2025-09-01,S11,1.018,,,,,,,2025-09
JD세화2,2025-10-01,S11,1.223,,,,,,,2025-10
JD세화2,2025-11-01,S11,0.985,,,,,,,2025-11
JD세화2,2025-12-01,S11,0.836,,,,,,,2025-12
