관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JD수산4,2005-01-01,S11,2.273,,,,,,,2005-01
JD수산4,2005-02-01,S11,2.167,,,,,,,2005-02
JD수산4,2005-03-01,S11,2.087,,,,,,,2005-03
JD수산4,2005-04-01,S11,2.286,,,,,,,2005-04
JD수산4,2005-05-01,S11,2.574,,,,,,,2005-05
JD수산4,2005-06-01,S11,2.58,,,,,,,2005-06
JD수산4,2005-07-01,S11,2.393,,,,,,,2005-07
JD수산4,2005-08-01,S11,2.545,,,,,,,2005-08
JD수산4,2005-09-01,S11,2.538,,,,,,,2005-09
JD수산4,2005-10-01,S11,2.15,,,,,,,2005-10
JD수산4,2005-11-01,S11,2.0,,,,,,,2005-11
JD수산4,2005-12-01,S11,1.836,,,,,,,2005-12
JD수산4,2006-01-01,S11,1.856,,,,,,,2006-01
JD수산4,2006-02-01,S11,1.859,,,,,,,2006-02
JD수산4,2006-03-01,S11,1.772,,,,,,,2006-03
JD수산4,2006-04-01,S11,2.078,,,,,,,2006-04
JD수산4,2006-05-01,S11,2.299,,,,,,,2006-05
JD수산4,2006-06-01,S11,2.648,,,,,,,2006-06
JD수산4,2006-08-01,S11,3.078,,,,,,,2006-08
JD수산4,2006-09-01,S11,3.48,,,,,,,2006-09
JD수산4,2006-10-01,S11,3.163,,,,,,,2006-10
JD수산4,2006-11-01,S11,2.555,,,,,,,2006-11
JD수산4,2006-12-01,S11,2.284,,,,,,,2006-12
JD수산4,2007-01-01,S11,2.125,,,,,,,2007-01
JD수산4,2007-02-01,S11,2.007,,,,,,,2007-02
JD수산4,2007-03-01,S11,2.045,,,,,,,2007-03
JD수산4,2007-04-01,S11,2.024,,,,,,,2007-04
JD수산4,2007-05-01,S11,1.995,,,,,,,2007-05
JD수산4,2007-06-01,S11,1.999,,,,,,,2007-06
JD수산4,2007-07-01,S11,2.839,,,,,,,2007-07
JD수산4,2007-08-01,S11,3.234,,,,,,,2007-08
JD수산4,2007-09-01,S11,4.331,,,,,,,2007-09
JD수산4,2007-10-01,S11,3.155,,,,,,,2007-10
JD수산4,2007-11-01,S11,2.495,,,,,,,2007-11
JD수산4,2007-12-01,S11,2.405,,,,,,,2007-12
JD수산4,2008-01-01,S11,2.311,,,,,,,2008-01
JD수산4,2008-02-01,S11,2.313,,,,,,,2008-02
JD수산4,2008-03-01,S11,2.22,,,,,,,2008-03
JD수산4,2008-04-01,S11,2.27,,,,,,,2008-04
JD수산4,2008-05-01,S11,2.289,,,,,,,2008-05
JD수산4,2008-06-01,S11,2.38,,,,,,,2008-06
JD수산4,2008-07-01,S11,2.662,,,,,,,2008-07
JD수산4,2008-08-01,S11,2.403,,,,,,,2008-08
JD수산4,2008-09-01,S11,2.935,,,,,,,2008-09
JD수산4,2008-10-01,S11,2.545,,,,,,,2008-10
JD수산4,2008-11-01,S11,2.329,,,,,,,2008-11
JD수산4,2008-12-01,S11,2.094,,,,,,,2008-12
JD수산4,2009-01-01,S11,1.883,,,,,,,2009-01
JD수산4,2009-02-01,S11,1.962,,,,,,,2009-02
JD수산4,2009-03-01,S11,2.223,,,,,,,2009-03
JD수산4,2009-04-01,S11,2.38,,,,,,,2009-04
JD수산4,2009-05-01,S11,2.457,,,,,,,2009-05
JD수산4,2009-06-01,S11,2.373,,,,,,,2009-06
JD수산4,2009-07-01,S11,2.575,,,,,,,2009-07
JD수산4,2009-08-01,S11,3.354,,,,,,,2009-08
JD수산4,2009-09-01,S11,2.893,,,,,,,2009-09
JD수산4,2009-10-01,S11,3.09,,,,,,,2009-10
JD수산4,2009-11-01,S11,2.48,,,,,,,2009-11
JD수산4,2009-12-01,S11,2.16,,,,,,,2009-12
JD수산4,2010-01-01,S11,1.899,,,,,,,2010-01
JD수산4,2010-02-01,S11,1.882,,,,,,,2010-02
JD수산4,2010-03-01,S11,2.32,,,,,,,2010-03
JD수산4,2010-04-01,S11,2.934,,,,,,,2010-04
JD수산4,2010-05-01,S11,3.077,,,,,,,2010-05
JD수산4,2010-06-01,S11,2.676,,,,,,,2010-06
JD수산4,2010-07-01,S11,3.242,,,,,,,2010-07
JD수산4,2010-08-01,S11,3.396,,,,,,,2010-08
JD수산4,2010-09-01,S11,4.684,,,,,,,2010-09
JD수산4,2010-10-01,S11,3.466,,,,,,,2010-10
JD수산4,2010-11-01,S11,2.752,,,,,,,2010-11
JD수산4,2010-12-01,S11,2.394,,,,,,,2010-12
JD수산4,2011-01-01,S11,2.039,,,,,,,2011-01
JD수산4,2011-02-01,S11,1.91,,,,,,,2011-02
JD수산4,2011-03-01,S11,1.831,,,,,,,2011-03
