관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JD신도3,2019-11-01,S11,2.722,,,,,,,2019-11
JD신도3,2019-12-01,S11,2.814,,,,,,,2019-12
JD신도3,2020-01-01,S11,3.045,,,,,,,2020-01
JD신도3,2020-02-01,S11,2.937,,,,,,,2020-02
JD신도3,2020-03-01,S11,3.089,,,,,,,2020-03
JD신도3,2020-04-01,S11,2.901,,,,,,,2020-04
JD신도3,2020-05-01,S11,3.328,,,,,,,2020-05
JD신도3,2020-06-01,S11,3.709,,,,,,,2020-06
JD신도3,2020-07-01,S11,4.21,,,,,,,2020-07
JD신도3,2020-08-01,S11,3.433,,,,,,,2020-08
JD신도3,2020-09-01,S11,3.61,,,,,,,2020-09
JD신도3,2020-10-01,S11,3.071,,,,,,,2020-10
JD신도3,2020-11-01,S11,2.909,,,,,,,2020-11
JD신도3,2020-12-01,S11,2.48,,,,,,,2020-12
JD신도3,2021-01-01,S11,2.747,,,,,,,2021-01
JD신도3,2021-02-01,S11,3.208,,,,,,,2021-02
JD신도3,2021-03-01,S11,3.455,,,,,,,2021-03
JD신도3,2021-04-01,S11,3.811,,,,,,,2021-04
JD신도3,2021-05-01,S11,3.51,,,,,,,2021-05
JD신도3,2021-06-01,S11,3.987,,,,,,,2021-06
JD신도3,2021-07-01,S11,4.141,,,,,,,2021-07
JD신도3,2021-08-01,S11,3.331,,,,,,,2021-08
JD신도3,2021-09-01,S11,3.375,,,,,,,2021-09
JD신도3,2021-10-01,S11,3.231,,,,,,,2021-10
JD신도3,2021-11-01,S11,3.129,,,,,,,2021-11
JD신도3,2021-12-01,S11,3.037,,,,,,,2021-12
JD신도3,2022-01-01,S11,3.295,,,,,,,2022-01
JD신도3,2022-02-01,S11,2.945,,,,,,,2022-02
JD신도3,2022-03-01,S11,2.821,,,,,,,2022-03
JD신도3,2022-04-01,S11,2.788,,,,,,,2022-04
JD신도3,2022-05-01,S11,2.682,,,,,,,2022-05
JD신도3,2022-06-01,S11,2.678,,,,,,,2022-06
JD신도3,2022-07-01,S11,2.989,,,,,,,2022-07
JD신도3,2022-08-01,S11,3.171,,,,,,,2022-08
JD신도3,2022-09-01,S11,3.391,,,,,,,2022-09
JD신도3,2022-10-01,S11,2.564,,,,,,,2022-10
JD신도3,2022-11-01,S11,2.492,,,,,,,2022-11
JD신도3,2022-12-01,S11,2.83,,,,,,,2022-12
JD신도3,2023-01-01,S11,2.5,,,,,,,2023-01
JD신도3,2023-02-01,S11,2.771,,,,,,,2023-02
JD신도3,2023-03-01,S11,2.835,,,,,,,2023-03
JD신도3,2023-04-01,S11,3.134,,,,,,,2023-04
JD신도3,2023-05-01,S11,3.959,,,,,,,2023-05
JD신도3,2023-06-01,S11,4.368,,,,,,,2023-06
JD신도3,2023-07-01,S11,4.558,,,,,,,2023-07
JD신도3,2023-08-01,S11,3.736,,,,,,,2023-08
JD신도3,2023-09-01,S11,3.646,,,,,,,2023-09
JD신도3,2023-10-01,S11,3.113,,,,,,,2023-10
JD신도3,2023-11-01,S11,3.412,,,,,,,2023-11
JD신도3,2023-12-01,S11,3.761,,,,,,,2023-12
JD신도3,2024-01-01,S11,3.714,,,,,,,2024-01
JD신도3,2024-02-01,S11,3.681,,,,,,,2024-02
JD신도3,2024-03-01,S11,3.157,,,,,,,2024-03
JD신도3,2024-04-01,S11,3.234,,,,,,,2024-04
JD신도3,2024-05-01,S11,3.18,,,,,,,2024-05
JD신도3,2024-06-01,S11,3.338,,,,,,,2024-06
JD신도3,2024-07-01,S11,3.888,,,,,,,2024-07
JD신도3,2024-08-01,S11,3.218,,,,,,,2024-08
JD신도3,2024-09-01,S11,2.876,,,,,,,2024-09
JD신도3,2024-10-01,S11,3.002,,,,,,,2024-10
JD신도3,2024-11-01,S11,3.918,,,,,,,2024-11
JD신도3,2024-12-01,S11,3.371,,,,,,,2024-12
JD신도3,2025-01-01,S11,3.415,,,,,,,2025-01
JD신도3,2025-02-01,S11,3.48,,,,,,,2025-02
JD신도3,2025-03-01,S11,3.374,,,,,,,2025-03
JD신도3,2025-04-01,S11,3.238,,,,,,,2025-04
JD신도3,2025-05-01,S11,3.342,,,,,,,2025-05
JD신도3,2025-06-01,S11,3.377,,,,,,,2025-06
JD신도3,2025-07-01,S11,3.039,,,,,,,2025-07
JD신도3,2025-08-01,S11,2.383,,,,,,,2025-08
JD신도3,2025-09-01,S11,2.181,,,,,,,2025-09
JD신도3,2025-10-01,S11,2.26,,,,,,,2025-10
JD신도3,2025-11-01,S11,2.703,,,,,,,2025-11
JD신도3,2025-12-01,S11,2.921,,,,,,,2025-12
JD신도3,2026-01-01,S11,2.781,,,,,,,2026-01
JD신도3,2026-02-01,S11,3.081,,,,,,,2026-02
JD신도3,2026-03-01,S11,3.849,,,,,,,2026-03
JD신도3,2026-04-01,S11,4.25,,,,,,,2026-04
