관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JD영락1,2012-12-01,S11,1.683,,,,,,,2012-12
JD영락1,2013-01-01,S11,1.759,,,,,,,2013-01
JD영락1,2013-02-01,S11,1.429,,,,,,,2013-02
JD영락1,2013-03-01,S11,1.161,,,,,,,2013-03
JD영락1,2013-04-01,S11,0.472,,,,,,,2013-04
JD영락1,2013-05-01,S11,1.124,,,,,,,2013-05
JD영락1,2013-06-01,S11,1.692,,,,,,,2013-06
JD영락1,2013-07-01,S11,1.398,,,,,,,2013-07
JD영락1,2013-08-01,S11,0.619,,,,,,,2013-08
JD영락1,2013-09-01,S11,-0.925,,,,,,,2013-09
JD영락1,2013-10-01,S11,-0.657,,,,,,,2013-10
JD영락1,2013-11-01,S11,-0.159,,,,,,,2013-11
JD영락1,2013-12-01,S11,0.12,,,,,,,2013-12
JD영락1,2014-01-01,S11,-0.198,,,,,,,2014-01
JD영락1,2014-02-01,S11,-0.183,,,,,,,2014-02
JD영락1,2014-03-01,S11,-0.071,,,,,,,2014-03
JD영락1,2014-04-01,S11,0.021,,,,,,,2014-04
JD영락1,2014-05-01,S11,0.729,,,,,,,2014-05
JD영락1,2014-06-01,S11,1.2,,,,,,,2014-06
JD영락1,2014-07-01,S11,2.173,,,,,,,2014-07
JD영락1,2014-08-01,S11,2.505,,,,,,,2014-08
JD영락1,2014-09-01,S11,1.699,,,,,,,2014-09
JD영락1,2014-10-01,S11,0.81,,,,,,,2014-10
JD영락1,2014-11-01,S11,0.605,,,,,,,2014-11
JD영락1,2014-12-01,S11,0.448,,,,,,,2014-12
JD영락1,2015-01-01,S11,0.113,,,,,,,2015-01
JD영락1,2015-02-01,S11,0.009,,,,,,,2015-02
JD영락1,2015-03-01,S11,0.304,,,,,,,2015-03
JD영락1,2015-04-01,S11,1.104,,,,,,,2015-04
JD영락1,2015-05-01,S11,2.758,,,,,,,2015-05
JD영락1,2015-06-01,S11,2.625,,,,,,,2015-06
JD영락1,2015-07-01,S11,3.67,,,,,,,2015-07
JD영락1,2015-08-01,S11,2.555,,,,,,,2015-08
JD영락1,2015-09-01,S11,1.168,,,,,,,2015-09
JD영락1,2015-10-01,S11,1.061,,,,,,,2015-10
JD영락1,2015-11-01,S11,1.393,,,,,,,2015-11
JD영락1,2015-12-01,S11,1.521,,,,,,,2015-12
JD영락1,2016-01-01,S11,0.995,,,,,,,2016-01
JD영락1,2016-02-01,S11,1.089,,,,,,,2016-02
JD영락1,2016-03-01,S11,2.049,,,,,,,2016-03
JD영락1,2016-04-01,S11,2.09,,,,,,,2016-04
JD영락1,2016-05-01,S11,2.478,,,,,,,2016-05
JD영락1,2016-06-01,S11,2.202,,,,,,,2016-06
JD영락1,2016-07-01,S11,3.453,,,,,,,2016-07
JD영락1,2016-08-01,S11,2.102,,,,,,,2016-08
JD영락1,2016-09-01,S11,0.496,,,,,,,2016-09
JD영락1,2016-10-01,S11,1.791,,,,,,,2016-10
JD영락1,2016-11-01,S11,1.389,,,,,,,2016-11
JD영락1,2016-12-01,S11,0.573,,,,,,,2016-12
JD영락1,2017-01-01,S11,0.326,,,,,,,2017-01
JD영락1,2017-02-01,S11,-0.15,,,,,,,2017-02
JD영락1,2017-03-01,S11,-0.533,,,,,,,2017-03
JD영락1,2017-04-01,S11,-0.064,,,,,,,2017-04
JD영락1,2017-05-01,S11,-0.584,,,,,,,2017-05
JD영락1,2017-06-01,S11,-0.409,,,,,,,2017-06
JD영락1,2017-07-01,S11,-0.634,,,,,,,2017-07
JD영락1,2017-08-01,S11,-0.812,,,,,,,2017-08
JD영락1,2017-09-01,S11,-1.288,,,,,,,2017-09
JD영락1,2017-10-01,S11,-0.073,,,,,,,2017-10
JD영락1,2017-11-01,S11,-1.482,,,,,,,2017-11
