관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JD종달5,2005-01-01,S11,2.092,,,,,,,2005-01
JD종달5,2005-02-01,S11,1.958,,,,,,,2005-02
JD종달5,2005-03-01,S11,1.847,,,,,,,2005-03
JD종달5,2005-04-01,S11,1.864,,,,,,,2005-04
JD종달5,2005-05-01,S11,1.999,,,,,,,2005-05
JD종달5,2005-06-01,S11,2.001,,,,,,,2005-06
JD종달5,2005-07-01,S11,1.907,,,,,,,2005-07
JD종달5,2005-08-01,S11,1.874,,,,,,,2005-08
JD종달5,2005-09-01,S11,2.085,,,,,,,2005-09
JD종달5,2005-10-01,S11,1.953,,,,,,,2005-10
JD종달5,2005-11-01,S11,1.851,,,,,,,2005-11
JD종달5,2005-12-01,S11,1.72,,,,,,,2005-12
JD종달5,2006-01-01,S11,1.7,,,,,,,2006-01
JD종달5,2006-02-01,S11,1.702,,,,,,,2006-02
JD종달5,2006-03-01,S11,1.647,,,,,,,2006-03
JD종달5,2006-04-01,S11,1.748,,,,,,,2006-04
JD종달5,2006-05-01,S11,1.927,,,,,,,2006-05
JD종달5,2006-06-01,S11,2.378,,,,,,,2006-06
JD종달5,2006-07-01,S11,3.968,,,,,,,2006-07
JD종달5,2006-08-01,S11,3.111,,,,,,,2006-08
JD종달5,2006-09-01,S11,2.778,,,,,,,2006-09
JD종달5,2006-10-01,S11,2.867,,,,,,,2006-10
JD종달5,2006-11-01,S11,2.367,,,,,,,2006-11
JD종달5,2006-12-01,S11,2.136,,,,,,,2006-12
JD종달5,2007-01-01,S11,1.994,,,,,,,2007-01
JD종달5,2007-02-01,S11,1.873,,,,,,,2007-02
JD종달5,2007-03-01,S11,1.92,,,,,,,2007-03
JD종달5,2007-04-01,S11,1.948,,,,,,,2007-04
JD종달5,2007-05-01,S11,1.913,,,,,,,2007-05
JD종달5,2007-06-01,S11,1.927,,,,,,,2007-06
JD종달5,2007-07-01,S11,2.466,,,,,,,2007-07
JD종달5,2007-08-01,S11,2.855,,,,,,,2007-08
JD종달5,2007-09-01,S11,6.32,,,,,,,2007-09
JD종달5,2007-10-01,S11,5.107,,,,,,,2007-10
JD종달5,2007-11-01,S11,3.274,,,,,,,2007-11
JD종달5,2007-12-01,S11,2.656,,,,,,,2007-12
JD종달5,2008-01-01,S11,2.438,,,,,,,2008-01
JD종달5,2008-02-01,S11,2.557,,,,,,,2008-02
JD종달5,2008-03-01,S11,2.266,,,,,,,2008-03
JD종달5,2008-04-01,S11,2.302,,,,,,,2008-04
JD종달5,2008-05-01,S11,2.305,,,,,,,2008-05
JD종달5,2008-06-01,S11,2.471,,,,,,,2008-06
JD종달5,2008-07-01,S11,3.251,,,,,,,2008-07
JD종달5,2008-08-01,S11,2.917,,,,,,,2008-08
JD종달5,2008-09-01,S11,2.942,,,,,,,2008-09
JD종달5,2008-10-01,S11,2.656,,,,,,,2008-10
JD종달5,2008-11-01,S11,2.353,,,,,,,2008-11
JD종달5,2008-12-01,S11,2.125,,,,,,,2008-12
JD종달5,2009-01-01,S11,1.931,,,,,,,2009-01
JD종달5,2009-02-01,S11,1.876,,,,,,,2009-02
JD종달5,2009-03-01,S11,1.948,,,,,,,2009-03
JD종달5,2009-04-01,S11,2.062,,,,,,,2009-04
JD종달5,2009-05-01,S11,2.223,,,,,,,2009-05
JD종달5,2009-06-01,S11,2.194,,,,,,,2009-06
JD종달5,2009-07-01,S11,2.471,,,,,,,2009-07
JD종달5,2009-08-01,S11,3.114,,,,,,,2009-08
JD종달5,2009-09-01,S11,2.597,,,,,,,2009-09
JD종달5,2009-10-01,S11,2.883,,,,,,,2009-10
JD종달5,2009-11-01,S11,2.41,,,,,,,2009-11
JD종달5,2009-12-01,S11,2.135,,,,,,,2009-12
JD종달5,2010-01-01,S11,1.89,,,,,,,2010-01
JD종달5,2010-02-01,S11,1.842,,,,,,,2010-02
JD종달5,2010-03-01,S11,2.069,,,,,,,2010-03
JD종달5,2010-04-01,S11,2.343,,,,,,,2010-04
JD종달5,2010-05-01,S11,2.547,,,,,,,2010-05
JD종달5,2010-06-01,S11,2.382,,,,,,,2010-06
JD종달5,2010-07-01,S11,2.785,,,,,,,2010-07
JD종달5,2010-08-01,S11,2.931,,,,,,,2010-08
JD종달5,2010-09-01,S11,3.974,,,,,,,2010-09
JD종달5,2010-10-01,S11,3.099,,,,,,,2010-10
JD종달5,2010-11-01,S11,2.689,,,,,,,2010-11
JD종달5,2010-12-01,S11,2.46,,,,,,,2010-12
JD종달5,2011-01-01,S11,2.041,,,,,,,2011-01
JD종달5,2011-02-01,S11,1.869,,,,,,,2011-02
JD종달5,2011-03-01,S11,1.798,,,,,,,2011-03
JD종달5,2011-04-01,S11,1.721,,,,,,,2011-04
JD종달5,2011-05-01,S11,1.787,,,,,,,2011-05
JD종달5,2011-06-01,S11,1.879,,,,,,,2011-06
JD종달5,2011-07-01,S11,2.519,,,,,,,2011-07
JD종달5,2011-08-01,S11,2.611,,,,,,,2011-08
JD종달5,2011-09-01,S11,3.034,,,,,,,2011-09
JD종달5,2011-10-01,S11,2.488,,,,,,,2011-10
JD종달5,2011-11-01,S11,2.85,,,,,,,2011-11
JD종달5,2011-12-01,S11,2.397,,,,,,,2011-12
JD종달5,2012-01-01,S11,1.93,,,,,,,2012-01
JD종달5,2012-02-01,S11,1.262,,,,,,,2012-02
JD종달5,2012-03-01,S11,1.556,,,,,,,2012-03
JD종달5,2012-04-01,S11,1.753,,,,,,,2012-04
JD종달5,2012-05-01,S11,3.113,,,,,,,2012-05
JD종달5,2012-06-01,S11,2.392,,,,,,,2012-06
JD종달5,2012-07-01,S11,2.186,,,,,,,2012-07
JD종달5,2012-08-01,S11,2.423,,,,,,,2012-08
JD종달5,2012-09-01,S11,4.731,,,,,,,2012-09
JD종달5,2012-10-01,S11,4.245,,,,,,,2012-10
JD종달5,2012-11-01,S11,2.905,,,,,,,2012-11
JD종달5,2012-12-01,S11,2.409,,,,,,,2012-12
JD종달5,2013-01-01,S11,2.247,,,,,,,2013-01
JD종달5,2013-02-01,S11,2.132,,,,,,,2013-02
JD종달5,2013-03-01,S11,2.136,,,,,,,2013-03
JD종달5,2013-04-01,S11,2.127,,,,,,,2013-04
JD종달5,2013-05-01,S11,2.109,,,,,,,2013-05
JD종달5,2013-06-01,S11,2.141,,,,,,,2013-06
JD종달5,2013-07-01,S11,2.223,,,,,,,2013-07
JD종달5,2013-08-01,S11,2.162,,,,,,,2013-08
JD종달5,2013-09-01,S11,2.06,,,,,,,2013-09
JD종달5,2013-10-01,S11,2.055,,,,,,,2013-10
JD종달5,2013-11-01,S11,1.866,,,,,,,2013-11
JD종달5,2013-12-01,S11,1.709,,,,,,,2013-12
JD종달5,2014-01-01,S11,1.585,,,,,,,2014-01
JD종달5,2014-02-01,S11,1.589,,,,,,,2014-02
JD종달5,2014-03-01,S11,1.736,,,,,,,2014-03
JD종달5,2014-04-01,S11,1.796,,,,,,,2014-04
JD종달5,2014-05-01,S11,1.885,,,,,,,2014-05
JD종달5,2014-06-01,S11,2.067,,,,,,,2014-06
JD종달5,2014-07-01,S11,2.349,,,,,,,2014-07
JD종달5,2014-08-01,S11,2.954,,,,,,,2014-08
JD종달5,2014-09-01,S11,3.424,,,,,,,2014-09
JD종달5,2014-10-01,S11,2.76,,,,,,,2014-10
JD종달5,2014-11-01,S11,2.374,,,,,,,2014-11
JD종달5,2014-12-01,S11,2.036,,,,,,,2014-12
JD종달5,2015-01-01,S11,1.969,,,,,,,2015-01
JD종달5,2015-02-01,S11,2.11,,,,,,,2015-02
JD종달5,2015-03-01,S11,2.214,,,,,,,2015-03
JD종달5,2015-04-01,S11,2.444,,,,,,,2015-04
JD종달5,2015-05-01,S11,2.815,,,,,,,2015-05
JD종달5,2015-06-01,S11,2.553,,,,,,,2015-06
JD종달5,2015-07-01,S11,3.269,,,,,,,2015-07
JD종달5,2015-08-01,S11,3.231,,,,,,,2015-08
JD종달5,2015-09-01,S11,3.194,,,,,,,2015-09
JD종달5,2015-10-01,S11,3.219,,,,,,,2015-10
JD종달5,2015-11-01,S11,2.778,,,,,,,2015-11
JD종달5,2015-12-01,S11,2.89,,,,,,,2015-12
JD종달5,2016-01-01,S11,2.571,,,,,,,2016-01
JD종달5,2016-02-01,S11,2.537,,,,,,,2016-02
JD종달5,2016-03-01,S11,2.661,,,,,,,2016-03
JD종달5,2016-04-01,S11,2.74,,,,,,,2016-04
JD종달5,2016-05-01,S11,2.981,,,,,,,2016-05
JD종달5,2016-06-01,S11,2.76,,,,,,,2016-06
JD종달5,2016-07-01,S11,3.114,,,,,,,2016-07
JD종달5,2016-08-01,S11,2.922,,,,,,,2016-08
JD종달5,2016-09-01,S11,2.47,,,,,,,2016-09
JD종달5,2016-10-01,S11,3.092,,,,,,,2016-10
JD종달5,2016-11-01,S11,2.752,,,,,,,2016-11
JD종달5,2016-12-01,S11,2.385,,,,,,,2016-12
JD종달5,2017-01-01,S11,2.196,,,,,,,2017-01
JD종달5,2017-02-01,S11,2.064,,,,,,,2017-02
JD종달5,2017-03-01,S11,1.992,,,,,,,2017-03
JD종달5,2017-04-01,S11,1.942,,,,,,,2017-04
JD종달5,2017-05-01,S11,1.842,,,,,,,2017-05
JD종달5,2017-06-01,S11,1.85,,,,,,,2017-06
JD종달5,2017-07-01,S11,1.901,,,,,,,2017-07
JD종달5,2017-08-01,S11,1.974,,,,,,,2017-08
JD종달5,2017-09-01,S11,2.072,,,,,,,2017-09
JD종달5,2017-10-01,S11,2.112,,,,,,,2017-10
JD종달5,2017-11-01,S11,2.016,,,,,,,2017-11
JD종달5,2017-12-01,S11,1.755,,,,,,,2017-12
JD종달5,2018-01-01,S11,1.646,,,,,,,2018-01
JD종달5,2018-02-01,S11,1.549,,,,,,,2018-02
JD종달5,2018-03-01,S11,1.659,,,,,,,2018-03
JD종달5,2018-04-01,S11,1.867,,,,,,,2018-04
JD종달5,2018-05-01,S11,2.133,,,,,,,2018-05
JD종달5,2018-06-01,S11,2.066,,,,,,,2018-06
JD종달5,2018-07-01,S11,2.678,,,,,,,2018-07
JD종달5,2018-08-01,S11,2.357,,,,,,,2018-08
JD종달5,2018-09-01,S11,2.766,,,,,,,2018-09
JD종달5,2018-10-01,S11,3.262,,,,,,,2018-10
JD종달5,2018-11-01,S11,2.133,,,,,,,2018-11
JD종달5,2018-12-01,S11,2.175,,,,,,,2018-12
JD종달5,2019-01-01,S11,1.927,,,,,,,2019-01
JD종달5,2019-02-01,S11,1.725,,,,,,,2019-02
JD종달5,2019-03-01,S11,1.532,,,,,,,2019-03
JD종달5,2019-04-01,S11,1.624,,,,,,,2019-04
JD종달5,2019-05-01,S11,2.006,,,,,,,2019-05
JD종달5,2019-06-01,S11,2.34,,,,,,,2019-06
JD종달5,2019-07-01,S11,3.222,,,,,,,2019-07
JD종달5,2019-08-01,S11,4.053,,,,,,,2019-08
JD종달5,2019-09-01,S11,5.939,,,,,,,2019-09
JD종달5,2019-10-01,S11,7.372,,,,,,,2019-10
JD종달5,2019-11-01,S11,4.763,,,,,,,2019-11
JD종달5,2019-12-01,S11,3.732,,,,,,,2019-12
JD종달5,2020-01-01,S11,3.339,,,,,,,2020-01
JD종달5,2020-02-01,S11,3.138,,,,,,,2020-02
JD종달5,2020-03-01,S11,3.008,,,,,,,2020-03
JD종달5,2020-04-01,S11,2.909,,,,,,,2020-04
JD종달5,2020-05-01,S11,2.907,,,,,,,2020-05
JD종달5,2020-06-01,S11,2.959,,,,,,,2020-06
JD종달5,2020-07-01,S11,3.278,,,,,,,2020-07
JD종달5,2020-08-01,S11,3.123,,,,,,,2020-08
JD종달5,2020-09-01,S11,4.511,,,,,,,2020-09
JD종달5,2020-10-01,S11,3.617,,,,,,,2020-10
JD종달5,2020-11-01,S11,2.812,,,,,,,2020-11
JD종달5,2020-12-01,S11,2.415,,,,,,,2020-12
JD종달5,2021-01-01,S11,2.238,,,,,,,2021-01
JD종달5,2021-02-01,S11,2.139,,,,,,,2021-02
JD종달5,2021-03-01,S11,2.12,,,,,,,2021-03
JD종달5,2021-04-01,S11,2.088,,,,,,,2021-04
JD종달5,2021-05-01,S11,1.995,,,,,,,2021-05
JD종달5,2021-06-01,S11,2.075,,,,,,,2021-06
JD종달5,2021-07-01,S11,2.195,,,,,,,2021-07
JD종달5,2021-08-01,S11,2.392,,,,,,,2021-08
JD종달5,2021-09-01,S11,3.521,,,,,,,2021-09
JD종달5,2021-10-01,S11,3.531,,,,,,,2021-10
JD종달5,2021-11-01,S11,2.603,,,,,,,2021-11
JD종달5,2021-12-01,S11,2.156,,,,,,,2021-12
JD종달5,2022-01-01,S11,1.756,,,,,,,2022-01
JD종달5,2022-03-01,S11,1.844,,,,,,,2022-03
JD종달5,2022-04-01,S11,1.776,,,,,,,2022-04
JD종달5,2022-07-01,S11,2.109,,,,,,,2022-07
JD종달5,2022-08-01,S11,2.469,,,,,,,2022-08
JD종달5,2022-09-01,S11,3.216,,,,,,,2022-09
JD종달5,2022-10-01,S11,2.67,,,,,,,2022-10
JD종달5,2022-11-01,S11,2.299,,,,,,,2022-11
JD종달5,2022-12-01,S11,2.069,,,,,,,2022-12
JD종달5,2023-01-01,S11,1.96,,,,,,,2023-01
JD종달5,2023-02-01,S11,1.702,,,,,,,2023-02
JD종달5,2023-03-01,S11,1.66,,,,,,,2023-03
JD종달5,2023-04-01,S11,1.731,,,,,,,2023-04
JD종달5,2023-05-01,S11,2.386,,,,,,,2023-05
JD종달5,2023-06-01,S11,2.782,,,,,,,2023-06
JD종달5,2023-07-01,S11,3.226,,,,,,,2023-07
JD종달5,2023-08-01,S11,3.131,,,,,,,2023-08
JD종달5,2023-09-01,S11,2.899,,,,,,,2023-09
JD종달5,2023-10-01,S11,2.42,,,,,,,2023-10
JD종달5,2023-11-01,S11,2.259,,,,,,,2023-11
JD종달5,2023-12-01,S11,1.995,,,,,,,2023-12
JD종달5,2024-01-01,S11,1.908,,,,,,,2024-01
JD종달5,2024-02-01,S11,2.232,,,,,,,2024-02
JD종달5,2024-03-01,S11,3.016,,,,,,,2024-03
JD종달5,2024-04-01,S11,2.642,,,,,,,2024-04
JD종달5,2024-05-01,S11,2.628,,,,,,,2024-05
JD종달5,2024-06-01,S11,2.518,,,,,,,2024-06
JD종달5,2024-07-01,S11,3.06,,,,,,,2024-07
JD종달5,2024-08-01,S11,2.937,,,,,,,2024-08
JD종달5,2024-09-01,S11,2.541,,,,,,,2024-09
JD종달5,2024-10-01,S11,2.54,,,,,,,2024-10
JD종달5,2024-11-01,S11,3.468,,,,,,,2024-11
JD종달5,2024-12-01,S11,2.692,,,,,,,2024-12
JD종달5,2025-01-01,S11,2.176,,,,,,,2025-01
JD종달5,2025-02-01,S11,2.119,,,,,,,2025-02
JD종달5,2025-03-01,S11,2.065,,,,,,,2025-03
JD종달5,2025-04-01,S11,2.072,,,,,,,2025-04
JD종달5,2025-05-01,S11,1.974,,,,,,,2025-05
JD종달5,2025-06-01,S11,2.082,,,,,,,2025-06
JD종달5,2025-07-01,S11,2.119,,,,,,,2025-07
JD종달5,2025-08-01,S11,1.975,,,,,,,2025-08
JD종달5,2025-09-01,S11,2.106,,,,,,,2025-09
JD종달5,2025-10-01,S11,2.527,,,,,,,2025-10
JD종달5,2025-11-01,S11,2.394,,,,,,,2025-11
JD종달5,2025-12-01,S11,2.017,,,,,,,2025-12
JD종달5,2026-01-01,S11,1.8,,,,,,,2026-01
JD종달5,2026-02-01,S11,1.662,,,,,,,2026-02
JD종달5,2026-03-01,S11,1.7,,,,,,,2026-03
JD종달5,2026-04-01,S11,1.882,,,,,,,2026-04
