관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JD하천3,2005-01-01,S11,2.361,,,,,,,2005-01
JD하천3,2005-02-01,S11,2.115,,,,,,,2005-02
JD하천3,2005-03-01,S11,1.998,,,,,,,2005-03
JD하천3,2005-04-01,S11,2.241,,,,,,,2005-04
JD하천3,2005-05-01,S11,2.448,,,,,,,2005-05
JD하천3,2005-06-01,S11,2.501,,,,,,,2005-06
JD하천3,2005-07-01,S11,2.19,,,,,,,2005-07
JD하천3,2005-09-01,S11,2.151,,,,,,,2005-09
JD하천3,2005-10-01,S11,1.942,,,,,,,2005-10
JD하천3,2005-11-01,S11,1.754,,,,,,,2005-11
JD하천3,2005-12-01,S11,1.55,,,,,,,2005-12
JD하천3,2006-01-01,S11,1.545,,,,,,,2006-01
JD하천3,2006-02-01,S11,1.492,,,,,,,2006-02
JD하천3,2006-03-01,S11,1.42,,,,,,,2006-03
JD하천3,2006-04-01,S11,1.88,,,,,,,2006-04
JD하천3,2006-05-01,S11,2.055,,,,,,,2006-05
JD하천3,2006-06-01,S11,2.518,,,,,,,2006-06
JD하천3,2006-07-01,S11,4.59,,,,,,,2006-07
JD하천3,2006-08-01,S11,3.327,,,,,,,2006-08
JD하천3,2006-09-01,S11,4.037,,,,,,,2006-09
JD하천3,2006-10-01,S11,3.534,,,,,,,2006-10
JD하천3,2006-11-01,S11,2.839,,,,,,,2006-11
JD하천3,2006-12-01,S11,2.412,,,,,,,2006-12
JD하천3,2007-01-01,S11,2.048,,,,,,,2007-01
JD하천3,2007-02-01,S11,1.794,,,,,,,2007-02
JD하천3,2007-03-01,S11,1.761,,,,,,,2007-03
JD하천3,2007-04-01,S11,1.761,,,,,,,2007-04
JD하천3,2007-05-01,S11,1.722,,,,,,,2007-05
JD하천3,2007-06-01,S11,1.742,,,,,,,2007-06
JD하천3,2007-07-01,S11,2.96,,,,,,,2007-07
JD하천3,2007-08-01,S11,2.642,,,,,,,2007-08
JD하천3,2007-09-01,S11,6.822,,,,,,,2007-09
JD하천3,2007-10-01,S11,4.632,,,,,,,2007-10
JD하천3,2007-11-01,S11,3.512,,,,,,,2007-11
JD하천3,2007-12-01,S11,2.938,,,,,,,2007-12
JD하천3,2008-01-01,S11,2.501,,,,,,,2008-01
JD하천3,2008-02-01,S11,2.291,,,,,,,2008-02
JD하천3,2008-03-01,S11,2.059,,,,,,,2008-03
JD하천3,2008-04-01,S11,2.126,,,,,,,2008-04
JD하천3,2008-05-01,S11,2.01,,,,,,,2008-05
JD하천3,2008-06-01,S11,2.442,,,,,,,2008-06
JD하천3,2008-07-01,S11,3.156,,,,,,,2008-07
JD하천3,2008-08-01,S11,2.912,,,,,,,2008-08
JD하천3,2008-09-01,S11,2.659,,,,,,,2008-09
JD하천3,2008-10-01,S11,2.27,,,,,,,2008-10
JD하천3,2008-11-01,S11,2.03,,,,,,,2008-11
JD하천3,2008-12-01,S11,1.794,,,,,,,2008-12
JD하천3,2009-01-01,S11,1.578,,,,,,,2009-01
JD하천3,2009-02-01,S11,1.607,,,,,,,2009-02
JD하천3,2009-03-01,S11,1.957,,,,,,,2009-03
JD하천3,2009-04-01,S11,2.017,,,,,,,2009-04
JD하천3,2009-05-01,S11,2.029,,,,,,,2009-05
JD하천3,2009-06-01,S11,1.973,,,,,,,2009-06
JD하천3,2009-07-01,S11,2.194,,,,,,,2009-07
JD하천3,2009-08-01,S11,2.83,,,,,,,2009-08
JD하천3,2009-09-01,S11,2.951,,,,,,,2009-09
JD하천3,2009-10-01,S11,2.73,,,,,,,2009-10
JD하천3,2009-11-01,S11,2.273,,,,,,,2009-11
JD하천3,2009-12-01,S11,1.985,,,,,,,2009-12
JD하천3,2010-01-01,S11,1.646,,,,,,,2010-01
JD하천3,2010-02-01,S11,1.583,,,,,,,2010-02
JD하천3,2010-03-01,S11,1.921,,,,,,,2010-03
JD하천3,2010-04-01,S11,2.744,,,,,,,2010-04
JD하천3,2010-05-01,S11,2.776,,,,,,,2010-05
JD하천3,2010-06-01,S11,2.666,,,,,,,2010-06
JD하천3,2010-07-01,S11,3.687,,,,,,,2010-07
JD하천3,2010-08-01,S11,3.493,,,,,,,2010-08
JD하천3,2010-09-01,S11,4.91,,,,,,,2010-09
JD하천3,2010-10-01,S11,3.538,,,,,,,2010-10
JD하천3,2010-11-01,S11,2.935,,,,,,,2010-11
