관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JD한림2,2007-01-01,S11,10.86,48.26,67.35,16.18,122,1053.02,,2007-01
JD한림2,2007-02-01,S11,10.07,49.05,66.56,16.21,124,1046.94,,2007-02
JD한림2,2007-03-01,S11,9.44,49.68,65.93,16.23,124,1044.69,,2007-03
JD한림2,2007-04-01,S11,9.12,50.0,65.61,16.23,124,1043.08,,2007-04
JD한림2,2007-05-01,S11,8.81,50.31,65.3,16.23,123,1035.81,,2007-05
JD한림2,2007-06-01,S11,8.42,50.7,64.91,16.22,123,1034.05,,2007-06
JD한림2,2007-07-01,S11,8.78,50.34,65.27,16.21,158,1029.93,,2007-07
JD한림2,2007-08-01,S11,9.76,49.36,66.25,16.22,134,1034.25,,2007-08
JD한림2,2007-09-01,S11,11.86,47.26,68.35,16.02,203,1036.65,,2007-09
JD한림2,2007-10-01,S11,15.01,44.11,71.5,16.02,149,1045.14,,2007-10
JD한림2,2007-11-01,S11,15.81,43.31,72.3,16.08,115,1049.99,,2007-11
JD한림2,2007-12-01,S11,15.53,43.59,72.02,16.11,115,1048.47,,2007-12
JD한림2,2008-01-01,S11,14.92,44.21,71.41,16.1,117,1051.09,,2008-01
JD한림2,2008-02-01,S11,14.18,44.94,70.67,16.1,118,1052.07,,2008-02
JD한림2,2008-03-01,S11,13.43,45.69,69.92,16.11,120,1045.69,,2008-03
JD한림2,2008-04-01,S11,12.81,46.32,69.3,16.14,121,1031.29,,2008-04
JD한림2,2008-05-01,S11,12.17,46.95,68.66,16.16,122,1016.87,,2008-05
JD한림2,2008-06-01,S11,12.07,47.05,68.56,16.21,132,1014.75,,2008-06
JD한림2,2008-07-01,S11,12.23,46.9,69.07,16.21,126,1014.83,,2008-07
JD한림2,2008-08-01,S11,12.04,47.08,69.06,16.13,121,1014.39,,2008-08
JD한림2,2008-09-01,S11,11.66,47.46,68.69,16.14,122,1019.06,,2008-09
JD한림2,2008-10-01,S11,11.19,47.93,68.21,16.16,123,1025.66,,2008-10
JD한림2,2008-11-01,S11,10.44,48.68,67.47,16.17,125,1029.14,,2008-11
JD한림2,2008-12-01,S11,9.67,49.45,66.7,16.17,127,1030.64,,2008-12
JD한림2,2009-01-01,S11,8.91,50.21,65.93,16.2,128,1031.7,,2009-01
JD한림2,2009-02-01,S11,8.0,51.12,65.03,16.21,138,1026.25,,2009-02
JD한림2,2009-03-01,S11,7.5,51.62,64.53,16.23,140,1026.48,,2009-03
JD한림2,2009-04-01,S11,7.1,52.02,64.13,16.23,140,1024.01,,2009-04
JD한림2,2009-05-01,S11,6.89,52.23,63.92,16.21,143,1020.92,,2009-05
JD한림2,2009-06-01,S11,6.76,52.36,63.48,16.23,132,1013.74,,2009-06
JD한림2,2009-07-01,S11,6.88,52.25,63.6,16.21,137,1013.95,,2009-07
JD한림2,2009-08-01,S11,7.19,51.93,63.91,16.18,136,1016.01,,2009-08
