관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JH회수3,2012-01-01,S11,382.963,,,,,,,2012-01
JH회수3,2012-02-01,S11,380.13,,,,,,,2012-02
JH회수3,2012-03-01,S11,377.757,,,,,,,2012-03
JH회수3,2012-04-01,S11,382.645,,,,,,,2012-04
JH회수3,2012-05-01,S11,386.098,,,,,,,2012-05
JH회수3,2012-06-01,S11,383.081,,,,,,,2012-06
JH회수3,2012-07-01,S11,379.751,,,,,,,2012-07
JH회수3,2012-08-01,S11,384.052,,,,,,,2012-08
JH회수3,2012-09-01,S11,385.681,,,,,,,2012-09
JH회수3,2012-10-01,S11,381.999,,,,,,,2012-10
JH회수3,2012-11-01,S11,376.982,,,,,,,2012-11
JH회수3,2012-12-01,S11,376.376,,,,,,,2012-12
JH회수3,2013-01-01,S11,376.681,,,,,,,2013-01
JH회수3,2013-02-01,S11,377.173,,,,,,,2013-02
JH회수3,2013-03-01,S11,374.492,,,,,,,2013-03
JH회수3,2013-04-01,S11,374.972,,,,,,,2013-04
JH회수3,2013-05-01,S11,375.475,,,,,,,2013-05
JH회수3,2013-06-01,S11,381.025,,,,,,,2013-06
JH회수3,2013-07-01,S11,374.918,,,,,,,2013-07
JH회수3,2013-08-01,S11,374.035,,,,,,,2013-08
JH회수3,2013-09-01,S11,373.371,,,,,,,2013-09
JH회수3,2013-10-01,S11,370.439,,,,,,,2013-10
JH회수3,2013-11-01,S11,367.588,,,,,,,2013-11
JH회수3,2013-12-01,S11,362.823,,,,,,,2013-12
JH회수3,2014-01-01,S11,358.846,,,,,,,2014-01
JH회수3,2014-02-01,S11,355.365,,,,,,,2014-02
JH회수3,2014-03-01,S11,353.777,,,,,,,2014-03
JH회수3,2014-04-01,S11,373.889,,,,,,,2014-04
JH회수3,2014-05-01,S11,373.018,,,,,,,2014-05
JH회수3,2014-06-01,S11,375.966,,,,,,,2014-06
JH회수3,2014-07-01,S11,373.874,,,,,,,2014-07
JH회수3,2014-08-01,S11,378.111,,,,,,,2014-08
JH회수3,2014-09-01,S11,373.312,,,,,,,2014-09
JH회수3,2014-10-01,S11,367.566,,,,,,,2014-10
JH회수3,2014-11-01,S11,367.585,,,,,,,2014-11
JH회수3,2014-12-01,S11,361.339,,,,,,,2014-12
JH회수3,2015-01-01,S11,359.141,,,,,,,2015-01
JH회수3,2015-02-01,S11,357.176,,,,,,,2015-02
JH회수3,2015-03-01,S11,362.304,,,,,,,2015-03
JH회수3,2015-04-01,S11,374.228,,,,,,,2015-04
JH회수3,2015-05-01,S11,379.779,,,,,,,2015-05
JH회수3,2015-06-01,S11,372.471,,,,,,,2015-06
JH회수3,2015-07-01,S11,375.943,,,,,,,2015-07
JH회수3,2015-08-01,S11,373.748,,,,,,,2015-08
JH회수3,2015-09-01,S11,369.929,,,,,,,2015-09
JH회수3,2015-10-01,S11,369.164,,,,,,,2015-10
JH회수3,2015-11-01,S11,368.306,,,,,,,2015-11
JH회수3,2015-12-01,S11,367.22,,,,,,,2015-12
JH회수3,2016-01-01,S11,367.22,,,,,,,2016-01
JH회수3,2016-02-01,S11,371.446,,,,,,,2016-02
JH회수3,2016-03-01,S11,374.04,,,,,,,2016-03
JH회수3,2016-04-01,S11,373.239,,,,,,,2016-04
JH회수3,2016-05-01,S11,379.255,,,,,,,2016-05
JH회수3,2016-06-01,S11,368.089,,,,,,,2016-06
JH회수3,2016-07-01,S11,372.986,,,,,,,2016-07
JH회수3,2016-08-01,S11,363.643,,,,,,,2016-08
JH회수3,2016-09-01,S11,360.297,,,,,,,2016-09
JH회수3,2016-10-01,S11,355.595,,,,,,,2016-10
JH회수3,2016-11-01,S11,354.424,,,,,,,2016-11
JH회수3,2016-12-01,S11,349.762,,,,,,,2016-12
JH회수3,2017-01-01,S11,348.545,,,,,,,2017-01
JH회수3,2017-02-01,S11,347.249,,,,,,,2017-02
JH회수3,2017-03-01,S11,346.343,,,,,,,2017-03
JH회수3,2017-04-01,S11,346.565,,,,,,,2017-04
JH회수3,2017-05-01,S11,350.044,,,,,,,2017-05
JH회수3,2017-06-01,S11,346.514,,,,,,,2017-06
JH회수3,2017-07-01,S11,344.595,,,,,,,2017-07
JH회수3,2017-08-01,S11,343.419,,,,,,,2017-08
JH회수3,2017-09-01,S11,341.883,,,,,,,2017-09
JH회수3,2017-10-01,S11,341.155,,,,,,,2017-10
JH회수3,2017-11-01,S11,340.842,,,,,,,2017-11
JH회수3,2017-12-01,S11,339.029,,,,,,,2017-12
JH회수3,2018-01-01,S11,337.519,,,,,,,2018-01
JH회수3,2018-02-01,S11,336.762,,,,,,,2018-02
JH회수3,2018-03-01,S11,336.31,,,,,,,2018-03
JH회수3,2018-04-01,S11,339.745,,,,,,,2018-04
JH회수3,2018-05-01,S11,345.461,,,,,,,2018-05
JH회수3,2018-06-01,S11,345.032,,,,,,,2018-06
JH회수3,2018-07-01,S11,343.984,,,,,,,2018-07
JH회수3,2018-08-01,S11,340.767,,,,,,,2018-08
JH회수3,2018-09-01,S11,342.61,,,,,,,2018-09
JH회수3,2018-10-01,S11,342.942,,,,,,,2018-10
JH회수3,2018-11-01,S11,340.472,,,,,,,2018-11
JH회수3,2018-12-01,S11,338.319,,,,,,,2018-12
JH회수3,2019-01-01,S11,336.547,,,,,,,2019-01
JH회수3,2019-02-01,S11,335.461,,,,,,,2019-02
JH회수3,2019-03-01,S11,334.804,,,,,,,2019-03
JH회수3,2019-04-01,S11,334.387,,,,,,,2019-04
JH회수3,2019-05-01,S11,333.852,,,,,,,2019-05
JH회수3,2019-06-01,S11,335.527,,,,,,,2019-06
JH회수3,2019-07-01,S11,337.64,,,,,,,2019-07
JH회수3,2019-08-01,S11,339.781,,,,,,,2019-08
JH회수3,2019-09-01,S11,340.732,,,,,,,2019-09
JH회수3,2019-10-01,S11,340.978,,,,,,,2019-10
JH회수3,2019-11-01,S11,340.022,,,,,,,2019-11
JH회수3,2019-12-01,S11,339.204,,,,,,,2019-12
JH회수3,2020-01-01,S11,337.619,,,,,,,2020-01
JH회수3,2020-02-01,S11,336.932,,,,,,,2020-02
JH회수3,2020-03-01,S11,336.517,,,,,,,2020-03
JH회수3,2020-04-01,S11,336.401,,,,,,,2020-04
JH회수3,2020-05-01,S11,337.643,,,,,,,2020-05
JH회수3,2020-06-01,S11,338.874,,,,,,,2020-06
JH회수3,2020-07-01,S11,341.049,,,,,,,2020-07
JH회수3,2020-08-01,S11,341.377,,,,,,,2020-08
