관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JI오등4,2009-12-01,S11,117.119,,,,,,,2009-12
JI오등4,2010-01-01,S11,117.492,,,,,,,2010-01
JI오등4,2010-02-01,S11,118.085,,,,,,,2010-02
JI오등4,2010-03-01,S11,118.768,,,,,,,2010-03
JI오등4,2010-04-01,S11,119.388,,,,,,,2010-04
JI오등4,2010-05-01,S11,119.893,,,,,,,2010-05
JI오등4,2010-06-01,S11,120.107,,,,,,,2010-06
JI오등4,2010-07-01,S11,121.286,,,,,,,2010-07
JI오등4,2010-08-01,S11,126.824,,,,,,,2010-08
JI오등4,2010-09-01,S11,131.485,,,,,,,2010-09
JI오등4,2010-10-01,S11,132.355,,,,,,,2010-10
JI오등4,2010-11-01,S11,131.239,,,,,,,2010-11
JI오등4,2010-12-01,S11,128.953,,,,,,,2010-12
JI오등4,2011-01-01,S11,126.135,,,,,,,2011-01
JI오등4,2011-02-01,S11,124.965,,,,,,,2011-02
JI오등4,2011-03-01,S11,124.603,,,,,,,2011-03
JI오등4,2011-04-01,S11,123.979,,,,,,,2011-04
JI오등4,2011-05-01,S11,123.931,,,,,,,2011-05
JI오등4,2011-06-01,S11,124.368,,,,,,,2011-06
JI오등4,2011-07-01,S11,129.096,,,,,,,2011-07
JI오등4,2011-08-01,S11,131.003,,,,,,,2011-08
JI오등4,2011-09-01,S11,131.823,,,,,,,2011-09
JI오등4,2011-10-01,S11,129.832,,,,,,,2011-10
JI오등4,2011-11-01,S11,128.656,,,,,,,2011-11
JI오등4,2011-12-01,S11,127.757,,,,,,,2011-12
JI오등4,2012-01-01,S11,125.34,,,,,,,2012-01
JI오등4,2012-02-01,S11,124.939,,,,,,,2012-02
JI오등4,2012-03-01,S11,124.745,,,,,,,2012-03
JI오등4,2012-04-01,S11,125.342,,,,,,,2012-04
JI오등4,2012-05-01,S11,128.288,,,,,,,2012-05
JI오등4,2012-06-01,S11,126.845,,,,,,,2012-06
JI오등4,2012-07-01,S11,126.574,,,,,,,2012-07
JI오등4,2012-08-01,S11,128.145,,,,,,,2012-08
JI오등4,2012-09-01,S11,133.571,,,,,,,2012-09
JI오등4,2012-10-01,S11,132.906,,,,,,,2012-10
JI오등4,2012-11-01,S11,129.747,,,,,,,2012-11
JI오등4,2012-12-01,S11,126.678,,,,,,,2012-12
JI오등4,2013-01-01,S11,124.801,,,,,,,2013-01
JI오등4,2013-02-01,S11,123.884,,,,,,,2013-02
JI오등4,2013-03-01,S11,123.597,,,,,,,2013-03
JI오등4,2013-04-01,S11,123.738,,,,,,,2013-04
JI오등4,2013-05-01,S11,123.268,,,,,,,2013-05
JI오등4,2013-06-01,S11,123.421,,,,,,,2013-06
JI오등4,2013-07-01,S11,122.603,,,,,,,2013-07
JI오등4,2013-08-01,S11,121.896,,,,,,,2013-08
JI오등4,2013-09-01,S11,121.739,,,,,,,2013-09
JI오등4,2013-10-01,S11,121.593,,,,,,,2013-10
JI오등4,2013-11-01,S11,121.111,,,,,,,2013-11
JI오등4,2013-12-01,S11,121.123,,,,,,,2013-12
JI오등4,2014-01-01,S11,120.795,,,,,,,2014-01
JI오등4,2014-02-01,S11,120.468,,,,,,,2014-02
JI오등4,2014-03-01,S11,120.848,,,,,,,2014-03
JI오등4,2014-04-01,S11,120.397,,,,,,,2014-04
JI오등4,2014-05-01,S11,120.391,,,,,,,2014-05
