관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JM낙천,2016-01-01,S11,23.994,,,,,,,2016-01
JM낙천,2016-02-01,S11,23.847,,,,,,,2016-02
JM낙천,2016-03-01,S11,24.547,,,,,,,2016-03
JM낙천,2016-04-01,S11,24.163,,,,,,,2016-04
JM낙천,2016-05-01,S11,24.723,,,,,,,2016-05
JM낙천,2016-06-01,S11,24.584,,,,,,,2016-06
JM낙천,2016-07-01,S11,25.509,,,,,,,2016-07
JM낙천,2016-08-01,S11,23.84,,,,,,,2016-08
JM낙천,2016-09-01,S11,23.868,,,,,,,2016-09
JM낙천,2016-10-01,S11,25.032,,,,,,,2016-10
JM낙천,2016-11-01,S11,25.271,,,,,,,2016-11
JM낙천,2016-12-01,S11,24.715,,,,,,,2016-12
JM낙천,2017-01-01,S11,24.513,,,,,,,2017-01
JM낙천,2017-02-01,S11,23.839,,,,,,,2017-02
JM낙천,2017-03-01,S11,22.793,,,,,,,2017-03
JM낙천,2017-04-01,S11,22.462,,,,,,,2017-04
JM낙천,2017-05-01,S11,21.142,,,,,,,2017-05
JM낙천,2017-06-01,S11,20.508,,,,,,,2017-06
JM낙천,2017-07-01,S11,19.885,,,,,,,2017-07
JM낙천,2017-08-01,S11,19.324,,,,,,,2017-08
JM낙천,2017-09-01,S11,18.062,,,,,,,2017-09
JM낙천,2017-10-01,S11,19.273,,,,,,,2017-10
JM낙천,2017-11-01,S11,17.658,,,,,,,2017-11
JM낙천,2017-12-01,S11,18.483,,,,,,,2017-12
JM낙천,2018-01-01,S11,18.458,,,,,,,2018-01
JM낙천,2018-02-01,S11,17.892,,,,,,,2018-02
JM낙천,2018-03-01,S11,17.906,,,,,,,2018-03
JM낙천,2018-04-01,S11,17.624,,,,,,,2018-04
JM낙천,2018-05-01,S11,19.218,,,,,,,2018-05
JM낙천,2018-06-01,S11,19.071,,,,,,,2018-06
JM낙천,2018-07-01,S11,18.138,,,,,,,2018-07
JM낙천,2018-08-01,S11,16.971,,,,,,,2018-08
JM낙천,2018-09-01,S11,19.3,,,,,,,2018-09
JM낙천,2018-10-01,S11,17.915,,,,,,,2018-10
JM낙천,2018-11-01,S11,18.406,,,,,,,2018-11
JM낙천,2018-12-01,S11,20.199,,,,,,,2018-12
JM낙천,2019-01-01,S11,19.565,,,,,,,2019-01
JM낙천,2019-02-01,S11,19.24,,,,,,,2019-02
JM낙천,2019-03-01,S11,18.335,,,,,,,2019-03
JM낙천,2019-04-01,S11,16.7,,,,,,,2019-04
JM낙천,2019-05-01,S11,15.261,,,,,,,2019-05
JM낙천,2019-06-01,S11,17.052,,,,,,,2019-06
JM낙천,2019-07-01,S11,18.457,,,,,,,2019-07
JM낙천,2019-08-01,S11,18.093,,,,,,,2019-08
JM낙천,2019-09-01,S11,21.8,,,,,,,2019-09
JM낙천,2019-10-01,S11,19.84,,,,,,,2019-10
