관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JM용흥,2016-01-01,S11,34.05,,,,,,,2016-01
JM용흥,2016-02-01,S11,33.834,,,,,,,2016-02
JM용흥,2016-03-01,S11,35.491,,,,,,,2016-03
JM용흥,2016-04-01,S11,36.012,,,,,,,2016-04
JM용흥,2016-05-01,S11,37.864,,,,,,,2016-05
JM용흥,2016-06-01,S11,38.759,,,,,,,2016-06
JM용흥,2016-07-01,S11,39.361,,,,,,,2016-07
JM용흥,2016-08-01,S11,40.559,,,,,,,2016-08
JM용흥,2016-09-01,S11,37.713,,,,,,,2016-09
JM용흥,2016-10-01,S11,36.27,,,,,,,2016-10
JM용흥,2016-11-01,S11,35.446,,,,,,,2016-11
JM용흥,2016-12-01,S11,33.949,,,,,,,2016-12
JM용흥,2017-01-01,S11,32.675,,,,,,,2017-01
JM용흥,2017-02-01,S11,31.708,,,,,,,2017-02
JM용흥,2017-03-01,S11,30.423,,,,,,,2017-03
JM용흥,2017-04-01,S11,30.178,,,,,,,2017-04
JM용흥,2017-05-01,S11,30.697,,,,,,,2017-05
JM용흥,2017-06-01,S11,30.435,,,,,,,2017-06
JM용흥,2017-07-01,S11,28.926,,,,,,,2017-07
JM용흥,2017-08-01,S11,28.385,,,,,,,2017-08
JM용흥,2017-09-01,S11,28.017,,,,,,,2017-09
JM용흥,2017-10-01,S11,29.537,,,,,,,2017-10
JM용흥,2017-11-01,S11,30.459,,,,,,,2017-11
JM용흥,2017-12-01,S11,29.263,,,,,,,2017-12
JM용흥,2018-01-01,S11,28.115,,,,,,,2018-01
JM용흥,2018-02-01,S11,26.96,,,,,,,2018-02
JM용흥,2018-03-01,S11,26.707,,,,,,,2018-03
JM용흥,2018-04-01,S11,28.066,,,,,,,2018-04
JM용흥,2018-05-01,S11,34.343,,,,,,,2018-05
JM용흥,2018-06-01,S11,38.812,,,,,,,2018-06
JM용흥,2018-07-01,S11,38.175,,,,,,,2018-07
JM용흥,2018-08-01,S11,36.637,,,,,,,2018-08
JM용흥,2018-09-01,S11,36.685,,,,,,,2018-09
JM용흥,2018-10-01,S11,39.568,,,,,,,2018-10
JM용흥,2018-11-01,S11,38.816,,,,,,,2018-11
JM용흥,2018-12-01,S11,36.102,,,,,,,2018-12
JM용흥,2019-01-01,S11,33.386,,,,,,,2019-01
JM용흥,2019-02-01,S11,31.398,,,,,,,2019-02
JM용흥,2019-03-01,S11,29.478,,,,,,,2019-03
JM용흥,2019-04-01,S11,27.839,,,,,,,2019-04
JM용흥,2019-05-01,S11,27.144,,,,,,,2019-05
JM용흥,2019-06-01,S11,29.618,,,,,,,2019-06
JM용흥,2019-07-01,S11,32.027,,,,,,,2019-07
JM용흥,2019-08-01,S11,38.554,,,,,,,2019-08
JM용흥,2019-09-01,S11,43.638,,,,,,,2019-09
JM용흥,2019-10-01,S11,47.185,,,,,,,2019-10
JM용흥,2019-11-01,S11,44.448,,,,,,,2019-11
JM용흥,2019-12-01,S11,39.455,,,,,,,2019-12
JM용흥,2020-01-01,S11,36.214,,,,,,,2020-01
JM용흥,2020-02-01,S11,34.002,,,,,,,2020-02
JM용흥,2020-03-01,S11,32.556,,,,,,,2020-03
JM용흥,2020-04-01,S11,31.71,,,,,,,2020-04
JM용흥,2020-05-01,S11,32.735,,,,,,,2020-05
JM용흥,2020-06-01,S11,35.857,,,,,,,2020-06
JM용흥,2020-07-01,S11,41.706,,,,,,,2020-07
JM용흥,2020-08-01,S11,45.745,,,,,,,2020-08
JM용흥,2020-09-01,S11,47.31,,,,,,,2020-09
JM용흥,2020-10-01,S11,46.996,,,,,,,2020-10
JM용흥,2020-11-01,S11,41.681,,,,,,,2020-11
JM용흥,2020-12-01,S11,37.752,,,,,,,2020-12
JM용흥,2021-01-01,S11,34.918,,,,,,,2021-01
JM용흥,2021-02-01,S11,32.798,,,,,,,2021-02
JM용흥,2021-03-01,S11,31.482,,,,,,,2021-03
JM용흥,2021-04-01,S11,31.603,,,,,,,2021-04
JM용흥,2021-05-01,S11,33.862,,,,,,,2021-05
