관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JM이도2,2016-01-01,S11,15.045,,,,,,,2016-01
JM이도2,2016-02-01,S11,14.192,,,,,,,2016-02
JM이도2,2016-03-01,S11,14.355,,,,,,,2016-03
JM이도2,2016-04-01,S11,14.482,,,,,,,2016-04
JM이도2,2016-05-01,S11,14.239,,,,,,,2016-05
JM이도2,2016-06-01,S11,13.847,,,,,,,2016-06
JM이도2,2016-07-01,S11,14.602,,,,,,,2016-07
JM이도2,2016-08-01,S11,14.607,,,,,,,2016-08
JM이도2,2016-09-01,S11,13.576,,,,,,,2016-09
JM이도2,2016-10-01,S11,16.098,,,,,,,2016-10
JM이도2,2016-11-01,S11,16.499,,,,,,,2016-11
JM이도2,2016-12-01,S11,14.345,,,,,,,2016-12
JM이도2,2017-01-01,S11,12.715,,,,,,,2017-01
JM이도2,2017-02-01,S11,11.509,,,,,,,2017-02
JM이도2,2017-03-01,S11,10.408,,,,,,,2017-03
JM이도2,2017-04-01,S11,9.736,,,,,,,2017-04
JM이도2,2017-05-01,S11,9.234,,,,,,,2017-05
JM이도2,2017-06-01,S11,8.693,,,,,,,2017-06
JM이도2,2017-07-01,S11,8.305,,,,,,,2017-07
JM이도2,2017-08-01,S11,7.904,,,,,,,2017-08
JM이도2,2017-09-01,S11,7.667,,,,,,,2017-09
JM이도2,2017-10-01,S11,7.748,,,,,,,2017-10
JM이도2,2017-11-01,S11,7.33,,,,,,,2017-11
JM이도2,2017-12-01,S11,6.765,,,,,,,2017-12
JM이도2,2018-01-01,S11,6.438,,,,,,,2018-01
JM이도2,2018-02-01,S11,6.314,,,,,,,2018-02
JM이도2,2018-03-01,S11,7.376,,,,,,,2018-03
JM이도2,2018-04-01,S11,9.068,,,,,,,2018-04
JM이도2,2018-05-01,S11,9.472,,,,,,,2018-05
JM이도2,2018-06-01,S11,9.426,,,,,,,2018-06
JM이도2,2018-07-01,S11,10.812,,,,,,,2018-07
JM이도2,2018-08-01,S11,11.322,,,,,,,2018-08
JM이도2,2018-09-01,S11,17.193,,,,,,,2018-09
JM이도2,2018-10-01,S11,22.429,,,,,,,2018-10
JM이도2,2018-11-01,S11,22.516,,,,,,,2018-11
JM이도2,2018-12-01,S11,18.638,,,,,,,2018-12
JM이도2,2019-01-01,S11,14.846,,,,,,,2019-01
JM이도2,2019-02-01,S11,12.32,,,,,,,2019-02
JM이도2,2019-03-01,S11,10.893,,,,,,,2019-03
JM이도2,2019-04-01,S11,9.873,,,,,,,2019-04
JM이도2,2019-05-01,S11,9.001,,,,,,,2019-05
JM이도2,2019-06-01,S11,8.703,,,,,,,2019-06
JM이도2,2019-07-01,S11,10.5,,,,,,,2019-07
JM이도2,2019-08-01,S11,15.6,,,,,,,2019-08
JM이도2,2019-09-01,S11,21.886,,,,,,,2019-09
JM이도2,2019-10-01,S11,33.194,,,,,,,2019-10
JM이도2,2019-11-01,S11,31.856,,,,,,,2019-11
JM이도2,2019-12-01,S11,25.134,,,,,,,2019-12
JM이도2,2020-01-01,S11,19.797,,,,,,,2020-01
JM이도2,2020-02-01,S11,16.669,,,,,,,2020-02
JM이도2,2020-03-01,S11,14.785,,,,,,,2020-03
JM이도2,2020-04-01,S11,13.312,,,,,,,2020-04
JM이도2,2020-05-01,S11,12.026,,,,,,,2020-05
JM이도2,2020-06-01,S11,11.103,,,,,,,2020-06
JM이도2,2020-07-01,S11,11.925,,,,,,,2020-07
JM이도2,2020-08-01,S11,12.787,,,,,,,2020-08
JM이도2,2020-09-01,S11,21.826,,,,,,,2020-09
JM이도2,2020-10-01,S11,26.056,,,,,,,2020-10
JM이도2,2020-11-01,S11,22.327,,,,,,,2020-11
JM이도2,2020-12-01,S11,17.868,,,,,,,2020-12
JM이도2,2021-01-01,S11,14.458,,,,,,,2021-01
JM이도2,2021-02-01,S11,12.972,,,,,,,2021-02
JM이도2,2021-03-01,S11,12.255,,,,,,,2021-03
JM이도2,2021-04-01,S11,11.674,,,,,,,2021-04
JM이도2,2021-05-01,S11,11.178,,,,,,,2021-05
JM이도2,2021-06-01,S11,11.103,,,,,,,2021-06
JM이도2,2021-07-01,S11,10.975,,,,,,,2021-07
JM이도2,2021-08-01,S11,12.173,,,,,,,2021-08
JM이도2,2021-09-01,S11,17.863,,,,,,,2021-09
JM이도2,2021-10-01,S11,24.713,,,,,,,2021-10
JM이도2,2021-11-01,S11,22.906,,,,,,,2021-11
JM이도2,2021-12-01,S11,18.881,,,,,,,2021-12
JM이도2,2022-01-01,S11,15.2,,,,,,,2022-01
JM이도2,2022-02-01,S11,12.759,,,,,,,2022-02
JM이도2,2022-03-01,S11,11.229,,,,,,,2022-03
JM이도2,2022-04-01,S11,10.984,,,,,,,2022-04
JM이도2,2022-05-01,S11,10.662,,,,,,,2022-05
JM이도2,2022-06-01,S11,10.057,,,,,,,2022-06
JM이도2,2022-07-01,S11,9.634,,,,,,,2022-07
JM이도2,2022-08-01,S11,10.29,,,,,,,2022-08
JM이도2,2022-09-01,S11,14.814,,,,,,,2022-09
JM이도2,2022-10-01,S11,16.545,,,,,,,2022-10
JM이도2,2022-11-01,S11,14.806,,,,,,,2022-11
JM이도2,2022-12-01,S11,12.801,,,,,,,2022-12
JM이도2,2023-01-01,S11,11.101,,,,,,,2023-01
JM이도2,2023-02-01,S11,10.614,,,,,,,2023-02
JM이도2,2023-03-01,S11,10.372,,,,,,,2023-03
JM이도2,2023-04-01,S11,9.942,,,,,,,2023-04
JM이도2,2023-05-01,S11,11.657,,,,,,,2023-05
JM이도2,2023-06-01,S11,13.325,,,,,,,2023-06
JM이도2,2023-07-01,S11,14.864,,,,,,,2023-07
JM이도2,2023-08-01,S11,16.319,,,,,,,2023-08
JM이도2,2023-09-01,S11,17.475,,,,,,,2023-09
JM이도2,2023-10-01,S11,17.111,,,,,,,2023-10
JM이도2,2023-11-01,S11,15.135,,,,,,,2023-11
JM이도2,2023-12-01,S11,13.325,,,,,,,2023-12
JM이도2,2024-01-01,S11,12.257,,,,,,,2024-01
JM이도2,2024-02-01,S11,13.021,,,,,,,2024-02
JM이도2,2024-03-01,S11,14.858,,,,,,,2024-03
JM이도2,2024-04-01,S11,14.675,,,,,,,2024-04
JM이도2,2024-05-01,S11,14.083,,,,,,,2024-05
JM이도2,2024-06-01,S11,13.359,,,,,,,2024-06
JM이도2,2024-07-01,S11,14.603,,,,,,,2024-07
JM이도2,2024-08-01,S11,14.16,,,,,,,2024-08
JM이도2,2024-09-01,S11,13.228,,,,,,,2024-09
JM이도2,2024-10-01,S11,15.043,,,,,,,2024-10
JM이도2,2024-11-01,S11,20.004,,,,,,,2024-11
JM이도2,2024-12-01,S11,20.119,,,,,,,2024-12
JM이도2,2025-01-01,S11,17.091,,,,,,,2025-01
JM이도2,2025-02-01,S11,14.425,,,,,,,2025-02
JM이도2,2025-03-01,S11,12.841,,,,,,,2025-03
JM이도2,2025-04-01,S11,11.915,,,,,,,2025-04
JM이도2,2025-05-01,S11,11.151,,,,,,,2025-05
JM이도2,2025-06-01,S11,10.677,,,,,,,2025-06
JM이도2,2025-07-01,S11,10.455,,,,,,,2025-07
JM이도2,2025-08-01,S11,10.51,,,,,,,2025-08
JM이도2,2025-09-01,S11,10.583,,,,,,,2025-09
JM이도2,2025-10-01,S11,12.347,,,,,,,2025-10
JM이도2,2025-11-01,S11,11.52,,,,,,,2025-11
JM이도2,2025-12-01,S11,10.17,,,,,,,2025-12
JM이도2,2026-01-01,S11,9.092,,,,,,,2026-01
JM이도2,2026-02-01,S11,8.347,,,,,,,2026-02
JM이도2,2026-03-01,S11,8.581,,,,,,,2026-03
JM이도2,2026-04-01,S11,9.074,,,,,,,2026-04
