관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JQ고산1,2019-09-01,S11,15.258,,,,,,,2019-09
JQ고산1,2019-10-01,S11,15.698,,,,,,,2019-10
JQ고산1,2019-11-01,S11,14.112,,,,,,,2019-11
JQ고산1,2019-12-01,S11,13.068,,,,,,,2019-12
JQ고산1,2020-01-01,S11,11.367,,,,,,,2020-01
JQ고산1,2020-02-01,S11,10.171,,,,,,,2020-02
JQ고산1,2020-03-01,S11,9.223,,,,,,,2020-03
JQ고산1,2020-04-01,S11,8.115,,,,,,,2020-04
JQ고산1,2020-05-01,S11,7.599,,,,,,,2020-05
JQ고산1,2020-06-01,S11,8.651,,,,,,,2020-06
JQ고산1,2020-07-01,S11,13.095,,,,,,,2020-07
JQ고산1,2020-08-01,S11,13.853,,,,,,,2020-08
JQ고산1,2020-09-01,S11,15.007,,,,,,,2020-09
JQ고산1,2020-10-01,S11,14.275,,,,,,,2020-10
JQ고산1,2020-11-01,S11,13.041,,,,,,,2020-11
JQ고산1,2020-12-01,S11,11.284,,,,,,,2020-12
JQ고산1,2021-01-01,S11,9.696,,,,,,,2021-01
JQ고산1,2021-02-01,S11,8.916,,,,,,,2021-02
JQ고산1,2021-03-01,S11,8.385,,,,,,,2021-03
JQ고산1,2021-04-01,S11,8.963,,,,,,,2021-04
JQ고산1,2021-05-01,S11,9.649,,,,,,,2021-05
JQ고산1,2021-06-01,S11,10.501,,,,,,,2021-06
JQ고산1,2021-07-01,S11,11.462,,,,,,,2021-07
JQ고산1,2021-08-01,S11,11.576,,,,,,,2021-08
JQ고산1,2021-09-01,S11,13.489,,,,,,,2021-09
JQ고산1,2021-10-01,S11,13.188,,,,,,,2021-10
JQ고산1,2021-11-01,S11,11.623,,,,,,,2021-11
JQ고산1,2021-12-01,S11,10.064,,,,,,,2021-12
JQ고산1,2022-01-01,S11,8.426,,,,,,,2022-01
JQ고산1,2022-02-01,S11,6.756,,,,,,,2022-02
JQ고산1,2022-03-01,S11,5.442,,,,,,,2022-03
JQ고산1,2022-04-01,S11,5.626,,,,,,,2022-04
JQ고산1,2022-05-01,S11,5.488,,,,,,,2022-05
JQ고산1,2022-06-01,S11,5.25,,,,,,,2022-06
JQ고산1,2022-07-01,S11,6.828,,,,,,,2022-07
JQ고산1,2022-08-01,S11,9.307,,,,,,,2022-08
JQ고산1,2022-09-01,S11,11.665,,,,,,,2022-09
JQ고산1,2022-10-01,S11,11.074,,,,,,,2022-10
JQ고산1,2022-11-01,S11,9.127,,,,,,,2022-11
JQ고산1,2022-12-01,S11,7.729,,,,,,,2022-12
JQ고산1,2023-01-01,S11,6.361,,,,,,,2023-01
JQ고산1,2023-02-01,S11,5.746,,,,,,,2023-02
JQ고산1,2023-03-01,S11,5.03,,,,,,,2023-03
JQ고산1,2023-04-01,S11,5.863,,,,,,,2023-04
JQ고산1,2023-05-01,S11,9.559,,,,,,,2023-05
JQ고산1,2023-06-01,S11,12.837,,,,,,,2023-06
JQ고산1,2023-07-01,S11,14.541,,,,,,,2023-07
JQ고산1,2023-08-01,S11,14.582,,,,,,,2023-08
JQ고산1,2023-09-01,S11,14.608,,,,,,,2023-09
JQ고산1,2023-10-01,S11,13.234,,,,,,,2023-10
JQ고산1,2023-11-01,S11,11.522,,,,,,,2023-11
JQ고산1,2023-12-01,S11,10.212,,,,,,,2023-12
JQ고산1,2024-01-01,S11,9.008,,,,,,,2024-01
JQ고산1,2024-02-01,S11,8.319,,,,,,,2024-02
JQ고산1,2024-03-01,S11,8.016,,,,,,,2024-03
JQ고산1,2024-04-01,S11,8.356,,,,,,,2024-04
JQ고산1,2024-05-01,S11,10.105,,,,,,,2024-05
JQ고산1,2024-06-01,S11,11.084,,,,,,,2024-06
JQ고산1,2024-07-01,S11,13.788,,,,,,,2024-07
JQ고산1,2024-08-01,S11,13.615,,,,,,,2024-08
JQ고산1,2024-09-01,S11,12.742,,,,,,,2024-09
JQ고산1,2024-10-01,S11,11.832,,,,,,,2024-10
JQ고산1,2024-11-01,S11,12.715,,,,,,,2024-11
JQ고산1,2024-12-01,S11,12.147,,,,,,,2024-12
JQ고산1,2025-01-01,S11,10.51,,,,,,,2025-01
JQ고산1,2025-02-01,S11,9.342,,,,,,,2025-02
JQ고산1,2025-03-01,S11,8.526,,,,,,,2025-03
JQ고산1,2025-04-01,S11,7.654,,,,,,,2025-04
JQ고산1,2025-05-01,S11,8.839,,,,,,,2025-05
JQ고산1,2025-06-01,S11,10.195,,,,,,,2025-06
JQ고산1,2025-07-01,S11,10.432,,,,,,,2025-07
JQ고산1,2025-08-01,S11,9.833,,,,,,,2025-08
JQ고산1,2025-09-01,S11,9.727,,,,,,,2025-09
JQ고산1,2025-10-01,S11,10.151,,,,,,,2025-10
JQ고산1,2025-11-01,S11,8.871,,,,,,,2025-11
JQ고산1,2025-12-01,S11,7.091,,,,,,,2025-12
JQ고산1,2026-01-01,S11,5.406,,,,,,,2026-01
JQ고산1,2026-02-01,S11,3.974,,,,,,,2026-02
JQ고산1,2026-03-01,S11,3.855,,,,,,,2026-03
JQ고산1,2026-04-01,S11,5.61,,,,,,,2026-04
