관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JQ금악61,2005-01-01,S11,24.152,,,,,,,2005-01
JQ금악61,2005-02-01,S11,23.841,,,,,,,2005-02
JQ금악61,2005-03-01,S11,23.651,,,,,,,2005-03
JQ금악61,2005-04-01,S11,23.318,,,,,,,2005-04
JQ금악61,2005-05-01,S11,22.858,,,,,,,2005-05
JQ금악61,2005-06-01,S11,22.314,,,,,,,2005-06
JQ금악61,2005-07-01,S11,21.925,,,,,,,2005-07
JQ금악61,2005-08-01,S11,22.052,,,,,,,2005-08
JQ금악61,2005-09-01,S11,18.669,,,,,,,2005-09
JQ금악61,2005-10-01,S11,18.15,,,,,,,2005-10
JQ금악61,2005-11-01,S11,20.25,,,,,,,2005-11
JQ금악61,2005-12-01,S11,20.026,,,,,,,2005-12
JQ금악61,2006-01-01,S11,19.778,,,,,,,2006-01
JQ금악61,2006-02-01,S11,19.261,,,,,,,2006-02
JQ금악61,2006-03-01,S11,19.041,,,,,,,2006-03
JQ금악61,2006-04-01,S11,19.516,,,,,,,2006-04
JQ금악61,2006-05-01,S11,20.05,,,,,,,2006-05
JQ금악61,2006-06-01,S11,20.37,,,,,,,2006-06
JQ금악61,2006-07-01,S11,22.813,,,,,,,2006-07
JQ금악61,2006-08-01,S11,22.172,,,,,,,2006-08
JQ금악61,2006-09-01,S11,21.961,,,,,,,2006-09
JQ금악61,2006-10-01,S11,19.612,,,,,,,2006-10
JQ금악61,2006-11-01,S11,22.033,,,,,,,2006-11
JQ금악61,2006-12-01,S11,22.344,,,,,,,2006-12
JQ금악61,2007-01-01,S11,22.112,,,,,,,2007-01
JQ금악61,2007-02-01,S11,21.75,,,,,,,2007-02
JQ금악61,2007-03-01,S11,21.552,,,,,,,2007-03
JQ금악61,2007-04-01,S11,20.795,,,,,,,2007-04
JQ금악61,2007-05-01,S11,20.428,,,,,,,2007-05
JQ금악61,2007-06-01,S11,20.239,,,,,,,2007-06
JQ금악61,2007-07-01,S11,21.94,,,,,,,2007-07
JQ금악61,2007-08-01,S11,21.994,,,,,,,2007-08
JQ금악61,2007-09-01,S11,23.429,,,,,,,2007-09
JQ금악61,2007-10-01,S11,21.526,,,,,,,2007-10
JQ금악61,2007-11-01,S11,21.982,,,,,,,2007-11
JQ금악61,2007-12-01,S11,22.422,,,,,,,2007-12
JQ금악61,2008-01-01,S11,22.782,,,,,,,2008-01
JQ금악61,2008-02-01,S11,22.553,,,,,,,2008-02
JQ금악61,2008-03-01,S11,22.403,,,,,,,2008-03
JQ금악61,2008-04-01,S11,22.245,,,,,,,2008-04
JQ금악61,2008-05-01,S11,21.155,,,,,,,2008-05
JQ금악61,2008-06-01,S11,22.659,,,,,,,2008-06
JQ금악61,2008-07-01,S11,22.985,,,,,,,2008-07
JQ금악61,2008-08-01,S11,22.009,,,,,,,2008-08
JQ금악61,2008-09-01,S11,21.685,,,,,,,2008-09
JQ금악61,2008-10-01,S11,20.962,,,,,,,2008-10
JQ금악61,2008-11-01,S11,21.532,,,,,,,2008-11
JQ금악61,2008-12-01,S11,21.372,,,,,,,2008-12
JQ금악61,2009-01-01,S11,20.639,,,,,,,2009-01
JQ금악61,2009-02-01,S11,20.261,,,,,,,2009-02
JQ금악61,2009-03-01,S11,20.57,,,,,,,2009-03
JQ금악61,2009-04-01,S11,19.637,,,,,,,2009-04
JQ금악61,2009-05-01,S11,18.903,,,,,,,2009-05
JQ금악61,2009-06-01,S11,19.403,,,,,,,2009-06
JQ금악61,2009-07-01,S11,20.89,,,,,,,2009-07
JQ금악61,2009-08-01,S11,20.557,,,,,,,2009-08
JQ금악61,2009-09-01,S11,19.536,,,,,,,2009-09
JQ금악61,2009-10-01,S11,19.411,,,,,,,2009-10
JQ금악61,2009-11-01,S11,20.197,,,,,,,2009-11
JQ금악61,2009-12-01,S11,20.599,,,,,,,2009-12
JQ금악61,2010-01-01,S11,20.075,,,,,,,2010-01
JQ금악61,2010-02-01,S11,19.95,,,,,,,2010-02
JQ금악61,2010-03-01,S11,20.104,,,,,,,2010-03
JQ금악61,2010-04-01,S11,21.026,,,,,,,2010-04
JQ금악61,2010-05-01,S11,20.575,,,,,,,2010-05
JQ금악61,2010-06-01,S11,20.227,,,,,,,2010-06
JQ금악61,2010-07-01,S11,22.667,,,,,,,2010-07
JQ금악61,2010-08-01,S11,22.501,,,,,,,2010-08
JQ금악61,2010-09-01,S11,23.949,,,,,,,2010-09
JQ금악61,2010-10-01,S11,23.457,,,,,,,2010-10
JQ금악61,2010-11-01,S11,22.709,,,,,,,2010-11
JQ금악61,2010-12-01,S11,23.59,,,,,,,2010-12
JQ금악61,2011-01-01,S11,23.559,,,,,,,2011-01
JQ금악61,2011-02-01,S11,22.909,,,,,,,2011-02
JQ금악61,2011-03-01,S11,22.245,,,,,,,2011-03
JQ금악61,2011-04-01,S11,21.834,,,,,,,2011-04
JQ금악61,2011-05-01,S11,21.457,,,,,,,2011-05
JQ금악61,2011-06-01,S11,21.689,,,,,,,2011-06
JQ금악61,2011-07-01,S11,22.718,,,,,,,2011-07
JQ금악61,2011-08-01,S11,22.995,,,,,,,2011-08
JQ금악61,2011-09-01,S11,20.43,,,,,,,2011-09
JQ금악61,2011-10-01,S11,18.538,,,,,,,2011-10
JQ금악61,2011-11-01,S11,22.25,,,,,,,2011-11
JQ금악61,2011-12-01,S11,22.609,,,,,,,2011-12
JQ금악61,2012-01-01,S11,21.383,,,,,,,2012-01
JQ금악61,2012-02-01,S11,21.506,,,,,,,2012-02
JQ금악61,2012-03-01,S11,21.263,,,,,,,2012-03
JQ금악61,2012-04-01,S11,21.956,,,,,,,2012-04
JQ금악61,2012-05-01,S11,21.651,,,,,,,2012-05
JQ금악61,2012-06-01,S11,21.265,,,,,,,2012-06
JQ금악61,2012-07-01,S11,22.412,,,,,,,2012-07
JQ금악61,2012-08-01,S11,20.835,,,,,,,2012-08
JQ금악61,2012-09-01,S11,24.271,,,,,,,2012-09
JQ금악61,2012-10-01,S11,20.183,,,,,,,2012-10
JQ금악61,2012-11-01,S11,23.755,,,,,,,2012-11
JQ금악61,2012-12-01,S11,24.46,,,,,,,2012-12
JQ금악61,2013-01-01,S11,24.542,,,,,,,2013-01
JQ금악61,2013-02-01,S11,24.555,,,,,,,2013-02
JQ금악61,2013-03-01,S11,24.223,,,,,,,2013-03
JQ금악61,2013-04-01,S11,23.648,,,,,,,2013-04
JQ금악61,2013-05-01,S11,23.044,,,,,,,2013-05
JQ금악61,2013-06-01,S11,23.9,,,,,,,2013-06
JQ금악61,2013-07-01,S11,22.702,,,,,,,2013-07
JQ금악61,2013-08-01,S11,20.748,,,,,,,2013-08
JQ금악61,2013-09-01,S11,19.479,,,,,,,2013-09
JQ금악61,2013-10-01,S11,19.45,,,,,,,2013-10
JQ금악61,2013-11-01,S11,19.651,,,,,,,2013-11
JQ금악61,2013-12-01,S11,20.259,,,,,,,2013-12
JQ금악61,2014-01-01,S11,19.934,,,,,,,2014-01
JQ금악61,2014-02-01,S11,19.554,,,,,,,2014-02
JQ금악61,2014-03-01,S11,19.249,,,,,,,2014-03
JQ금악61,2014-04-01,S11,19.058,,,,,,,2014-04
JQ금악61,2014-05-01,S11,19.27,,,,,,,2014-05
JQ금악61,2014-06-01,S11,19.922,,,,,,,2014-06
JQ금악61,2014-07-01,S11,21.01,,,,,,,2014-07
JQ금악61,2014-08-01,S11,21.902,,,,,,,2014-08
JQ금악61,2014-09-01,S11,21.236,,,,,,,2014-09
JQ금악61,2014-10-01,S11,20.641,,,,,,,2014-10
JQ금악61,2014-11-01,S11,20.994,,,,,,,2014-11
JQ금악61,2014-12-01,S11,21.751,,,,,,,2014-12
JQ금악61,2015-01-01,S11,21.577,,,,,,,2015-01
JQ금악61,2015-02-01,S11,21.35,,,,,,,2015-02
JQ금악61,2015-03-01,S11,21.193,,,,,,,2015-03
JQ금악61,2015-04-01,S11,21.57,,,,,,,2015-04
JQ금악61,2015-05-01,S11,22.622,,,,,,,2015-05
JQ금악61,2015-06-01,S11,22.922,,,,,,,2015-06
JQ금악61,2015-07-01,S11,24.139,,,,,,,2015-07
JQ금악61,2015-08-01,S11,23.587,,,,,,,2015-08
JQ금악61,2015-09-01,S11,23.162,,,,,,,2015-09
JQ금악61,2015-10-01,S11,22.456,,,,,,,2015-10
JQ금악61,2015-11-01,S11,24.07,,,,,,,2015-11
JQ금악61,2015-12-01,S11,24.62,,,,,,,2015-12
JQ금악61,2021-12-01,S11,174.472,,,,,,,2021-12
JQ금악61,2022-01-01,S11,173.839,,,,,,,2022-01
JQ금악61,2022-02-01,S11,173.811,,,,,,,2022-02
JQ금악61,2022-03-01,S11,171.418,,,,,,,2022-03
JQ금악61,2022-04-01,S11,170.052,,,,,,,2022-04
JQ금악61,2022-05-01,S11,169.136,,,,,,,2022-05
JQ금악61,2022-06-01,S11,169.699,,,,,,,2022-06
JQ금악61,2022-07-01,S11,169.589,,,,,,,2022-07
JQ금악61,2022-08-01,S11,170.592,,,,,,,2022-08
JQ금악61,2022-09-01,S11,170.095,,,,,,,2022-09
JQ금악61,2022-10-01,S11,168.803,,,,,,,2022-10
JQ금악61,2022-11-01,S11,168.264,,,,,,,2022-11
JQ금악61,2022-12-01,S11,169.226,,,,,,,2022-12
JQ금악61,2023-01-01,S11,169.48,,,,,,,2023-01
JQ금악61,2023-02-01,S11,168.956,,,,,,,2023-02
JQ금악61,2023-03-01,S11,168.397,,,,,,,2023-03
JQ금악61,2023-04-01,S11,169.623,,,,,,,2023-04
JQ금악61,2023-05-01,S11,169.861,,,,,,,2023-05
JQ금악61,2023-06-01,S11,169.829,,,,,,,2023-06
JQ금악61,2023-07-01,S11,170.016,,,,,,,2023-07
JQ금악61,2023-08-01,S11,169.692,,,,,,,2023-08
JQ금악61,2023-09-01,S11,169.866,,,,,,,2023-09
JQ금악61,2023-10-01,S11,169.788,,,,,,,2023-10
JQ금악61,2023-11-01,S11,170.459,,,,,,,2023-11
JQ금악61,2023-12-01,S11,170.819,,,,,,,2023-12
JQ금악61,2024-01-01,S11,170.789,,,,,,,2024-01
JQ금악61,2024-02-01,S11,170.844,,,,,,,2024-02
JQ금악61,2024-03-01,S11,170.838,,,,,,,2024-03
JQ금악61,2024-04-01,S11,170.842,,,,,,,2024-04
JQ금악61,2024-05-01,S11,170.274,,,,,,,2024-05
JQ금악61,2024-06-01,S11,170.036,,,,,,,2024-06
JQ금악61,2024-07-01,S11,169.961,,,,,,,2024-07
JQ금악61,2024-08-01,S11,170.02,,,,,,,2024-08
JQ금악61,2024-09-01,S11,170.176,,,,,,,2024-09
JQ금악61,2024-10-01,S11,169.935,,,,,,,2024-10
JQ금악61,2024-11-01,S11,170.22,,,,,,,2024-11
JQ금악61,2024-12-01,S11,170.156,,,,,,,2024-12
JQ금악61,2025-01-01,S11,169.887,,,,,,,2025-01
JQ금악61,2025-02-01,S11,169.825,,,,,,,2025-02
JQ금악61,2025-03-01,S11,169.829,,,,,,,2025-03
JQ금악61,2025-04-01,S11,169.862,,,,,,,2025-04
JQ금악61,2025-05-01,S11,169.871,,,,,,,2025-05
JQ금악61,2025-06-01,S11,169.826,,,,,,,2025-06
JQ금악61,2025-07-01,S11,169.889,,,,,,,2025-07
JQ금악61,2025-08-01,S11,169.98,,,,,,,2025-08
JQ금악61,2025-09-01,S11,169.958,,,,,,,2025-09
JQ금악61,2025-10-01,S11,169.928,,,,,,,2025-10
JQ금악61,2025-11-01,S11,170.047,,,,,,,2025-11
JQ금악61,2025-12-01,S11,170.103,,,,,,,2025-12
JQ금악61,2026-01-01,S11,169.892,,,,,,,2026-01
JQ금악61,2026-02-01,S11,170.235,,,,,,,2026-02
JQ금악61,2026-03-01,S11,169.893,,,,,,,2026-03
JQ금악61,2026-04-01,S11,169.917,,,,,,,2026-04
