관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JQ덕수1,2005-01-01,S11,11.501,,,,,,,2005-01
JQ덕수1,2005-02-01,S11,10.949,,,,,,,2005-02
JQ덕수1,2005-03-01,S11,10.583,,,,,,,2005-03
JQ덕수1,2005-04-01,S11,10.605,,,,,,,2005-04
JQ덕수1,2005-05-01,S11,10.55,,,,,,,2005-05
JQ덕수1,2005-06-01,S11,10.354,,,,,,,2005-06
JQ덕수1,2005-07-01,S11,9.994,,,,,,,2005-07
JQ덕수1,2005-08-01,S11,9.848,,,,,,,2005-08
JQ덕수1,2005-09-01,S11,9.581,,,,,,,2005-09
JQ덕수1,2005-10-01,S11,8.982,,,,,,,2005-10
JQ덕수1,2005-11-01,S11,8.589,,,,,,,2005-11
JQ덕수1,2005-12-01,S11,8.355,,,,,,,2005-12
JQ덕수1,2006-01-01,S11,8.121,,,,,,,2006-01
JQ덕수1,2006-02-01,S11,7.918,,,,,,,2006-02
JQ덕수1,2006-03-01,S11,7.767,,,,,,,2006-03
JQ덕수1,2006-04-01,S11,8.03,,,,,,,2006-04
JQ덕수1,2006-05-01,S11,8.91,,,,,,,2006-05
JQ덕수1,2006-06-01,S11,9.729,,,,,,,2006-06
JQ덕수1,2006-07-01,S11,14.02,,,,,,,2006-07
JQ덕수1,2006-08-01,S11,14.902,,,,,,,2006-08
JQ덕수1,2006-09-01,S11,14.253,,,,,,,2006-09
JQ덕수1,2006-10-01,S11,13.779,,,,,,,2006-10
JQ덕수1,2006-11-01,S11,12.259,,,,,,,2006-11
JQ덕수1,2006-12-01,S11,11.514,,,,,,,2006-12
JQ덕수1,2007-01-01,S11,10.793,,,,,,,2007-01
JQ덕수1,2007-02-01,S11,10.284,,,,,,,2007-02
JQ덕수1,2007-03-01,S11,10.035,,,,,,,2007-03
JQ덕수1,2007-04-01,S11,9.933,,,,,,,2007-04
JQ덕수1,2007-05-01,S11,9.561,,,,,,,2007-05
JQ덕수1,2007-06-01,S11,9.22,,,,,,,2007-06
JQ덕수1,2007-07-01,S11,11.062,,,,,,,2007-07
JQ덕수1,2007-08-01,S11,12.366,,,,,,,2007-08
JQ덕수1,2007-09-01,S11,15.152,,,,,,,2007-09
JQ덕수1,2007-10-01,S11,16.503,,,,,,,2007-10
JQ덕수1,2007-11-01,S11,14.81,,,,,,,2007-11
JQ덕수1,2007-12-01,S11,13.539,,,,,,,2007-12
JQ덕수1,2008-01-01,S11,12.409,,,,,,,2008-01
JQ덕수1,2008-02-01,S11,11.764,,,,,,,2008-02
JQ덕수1,2008-03-01,S11,11.19,,,,,,,2008-03
JQ덕수1,2008-04-01,S11,10.877,,,,,,,2008-04
JQ덕수1,2008-05-01,S11,10.466,,,,,,,2008-05
JQ덕수1,2008-06-01,S11,11.05,,,,,,,2008-06
JQ덕수1,2008-07-01,S11,13.269,,,,,,,2008-07
JQ덕수1,2008-08-01,S11,12.601,,,,,,,2008-08
JQ덕수1,2008-09-01,S11,11.621,,,,,,,2008-09
JQ덕수1,2008-10-01,S11,10.921,,,,,,,2008-10
JQ덕수1,2008-11-01,S11,10.257,,,,,,,2008-11
JQ덕수1,2008-12-01,S11,9.946,,,,,,,2008-12
JQ덕수1,2009-01-01,S11,8.873,,,,,,,2009-01
JQ덕수1,2009-02-01,S11,8.544,,,,,,,2009-02
JQ덕수1,2009-03-01,S11,8.686,,,,,,,2009-03
JQ덕수1,2009-04-01,S11,8.652,,,,,,,2009-04
JQ덕수1,2009-05-01,S11,8.834,,,,,,,2009-05
JQ덕수1,2009-06-01,S11,9.065,,,,,,,2009-06
JQ덕수1,2009-07-01,S11,9.801,,,,,,,2009-07
JQ덕수1,2009-08-01,S11,10.57,,,,,,,2009-08
JQ덕수1,2009-09-01,S11,10.141,,,,,,,2009-09
JQ덕수1,2009-10-01,S11,9.891,,,,,,,2009-10
JQ덕수1,2009-11-01,S11,9.371,,,,,,,2009-11
JQ덕수1,2009-12-01,S11,9.0,,,,,,,2009-12
JQ덕수1,2010-01-01,S11,8.44,,,,,,,2010-01
JQ덕수1,2010-02-01,S11,8.218,,,,,,,2010-02
JQ덕수1,2010-03-01,S11,8.387,,,,,,,2010-03
JQ덕수1,2010-04-01,S11,9.593,,,,,,,2010-04
JQ덕수1,2010-05-01,S11,10.21,,,,,,,2010-05
JQ덕수1,2010-06-01,S11,9.893,,,,,,,2010-06
JQ덕수1,2010-07-01,S11,12.288,,,,,,,2010-07
JQ덕수1,2010-08-01,S11,13.288,,,,,,,2010-08
JQ덕수1,2010-09-01,S11,15.565,,,,,,,2010-09
JQ덕수1,2010-10-01,S11,14.63,,,,,,,2010-10
JQ덕수1,2010-11-01,S11,13.234,,,,,,,2010-11
JQ덕수1,2010-12-01,S11,12.204,,,,,,,2010-12
JQ덕수1,2011-01-01,S11,11.341,,,,,,,2011-01
JQ덕수1,2011-02-01,S11,10.661,,,,,,,2011-02
JQ덕수1,2011-03-01,S11,10.082,,,,,,,2011-03
JQ덕수1,2011-04-01,S11,9.65,,,,,,,2011-04
JQ덕수1,2011-05-01,S11,9.418,,,,,,,2011-05
JQ덕수1,2011-06-01,S11,9.374,,,,,,,2011-06
JQ덕수1,2011-07-01,S11,11.228,,,,,,,2011-07
JQ덕수1,2011-08-01,S11,11.827,,,,,,,2011-08
JQ덕수1,2011-09-01,S11,11.703,,,,,,,2011-09
JQ덕수1,2011-10-01,S11,10.919,,,,,,,2011-10
JQ덕수1,2011-11-01,S11,10.667,,,,,,,2011-11
JQ덕수1,2011-12-01,S11,11.662,,,,,,,2011-12
JQ덕수1,2012-01-01,S11,10.844,,,,,,,2012-01
JQ덕수1,2012-02-01,S11,10.151,,,,,,,2012-02
JQ덕수1,2012-03-01,S11,9.893,,,,,,,2012-03
JQ덕수1,2012-04-01,S11,10.507,,,,,,,2012-04
JQ덕수1,2012-05-01,S11,12.771,,,,,,,2012-05
JQ덕수1,2012-06-01,S11,12.123,,,,,,,2012-06
JQ덕수1,2012-07-01,S11,11.783,,,,,,,2012-07
JQ덕수1,2012-08-01,S11,12.255,,,,,,,2012-08
JQ덕수1,2012-09-01,S11,15.994,,,,,,,2012-09
JQ덕수1,2012-10-01,S11,16.339,,,,,,,2012-10
JQ덕수1,2012-11-01,S11,14.733,,,,,,,2012-11
JQ덕수1,2012-12-01,S11,13.753,,,,,,,2012-12
JQ덕수1,2013-01-01,S11,13.201,,,,,,,2013-01
JQ덕수1,2013-02-01,S11,12.661,,,,,,,2013-02
JQ덕수1,2013-03-01,S11,12.249,,,,,,,2013-03
JQ덕수1,2013-04-01,S11,11.953,,,,,,,2013-04
