관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JQ송당1,2020-07-01,S11,2.583,,,,,,,2020-07
JQ송당1,2020-08-01,S11,2.247,,,,,,,2020-08
JQ송당1,2020-09-01,S11,4.417,,,,,,,2020-09
JQ송당1,2020-10-01,S11,2.634,,,,,,,2020-10
JQ송당1,2020-11-01,S11,1.574,,,,,,,2020-11
JQ송당1,2020-12-01,S11,1.097,,,,,,,2020-12
JQ송당1,2021-01-01,S11,0.903,,,,,,,2021-01
JQ송당1,2021-02-01,S11,0.804,,,,,,,2021-02
JQ송당1,2021-03-01,S11,0.8,,,,,,,2021-03
JQ송당1,2021-04-01,S11,0.838,,,,,,,2021-04
JQ송당1,2021-05-01,S11,0.925,,,,,,,2021-05
JQ송당1,2021-06-01,S11,0.997,,,,,,,2021-06
JQ송당1,2021-07-01,S11,1.152,,,,,,,2021-07
JQ송당1,2021-08-01,S11,1.536,,,,,,,2021-08
JQ송당1,2021-09-01,S11,3.08,,,,,,,2021-09
JQ송당1,2021-10-01,S11,2.928,,,,,,,2021-10
JQ송당1,2021-11-01,S11,1.608,,,,,,,2021-11
JQ송당1,2021-12-01,S11,1.093,,,,,,,2021-12
JQ송당1,2022-01-01,S11,0.915,,,,,,,2022-01
JQ송당1,2022-02-01,S11,0.83,,,,,,,2022-02
JQ송당1,2022-03-01,S11,0.783,,,,,,,2022-03
JQ송당1,2022-04-01,S11,0.862,,,,,,,2022-04
JQ송당1,2022-05-01,S11,0.876,,,,,,,2022-05
JQ송당1,2022-06-01,S11,0.965,,,,,,,2022-06
JQ송당1,2022-07-01,S11,1.042,,,,,,,2022-07
JQ송당1,2022-08-01,S11,1.25,,,,,,,2022-08
JQ송당1,2022-09-01,S11,2.04,,,,,,,2022-09
JQ송당1,2022-10-01,S11,1.242,,,,,,,2022-10
JQ송당1,2022-11-01,S11,0.738,,,,,,,2022-11
JQ송당1,2022-12-01,S11,0.47,,,,,,,2022-12
JQ송당1,2023-01-01,S11,0.362,,,,,,,2023-01
JQ송당1,2023-02-01,S11,0.371,,,,,,,2023-02
JQ송당1,2023-03-01,S11,0.321,,,,,,,2023-03
JQ송당1,2023-04-01,S11,0.361,,,,,,,2023-04
JQ송당1,2023-05-01,S11,1.189,,,,,,,2023-05
JQ송당1,2023-06-01,S11,1.828,,,,,,,2023-06
JQ송당1,2023-07-01,S11,2.274,,,,,,,2023-07
JQ송당1,2023-08-01,S11,2.094,,,,,,,2023-08
JQ송당1,2023-09-01,S11,1.666,,,,,,,2023-09
JQ송당1,2023-10-01,S11,1.27,,,,,,,2023-10
JQ송당1,2023-11-01,S11,1.142,,,,,,,2023-11
JQ송당1,2023-12-01,S11,0.843,,,,,,,2023-12
JQ송당1,2024-01-01,S11,0.749,,,,,,,2024-01
JQ송당1,2024-02-01,S11,1.111,,,,,,,2024-02
JQ송당1,2024-03-01,S11,2.179,,,,,,,2024-03
JQ송당1,2024-04-01,S11,1.697,,,,,,,2024-04
JQ송당1,2024-05-01,S11,1.658,,,,,,,2024-05
JQ송당1,2024-06-01,S11,1.491,,,,,,,2024-06
JQ송당1,2024-07-01,S11,2.205,,,,,,,2024-07
JQ송당1,2024-08-01,S11,2.053,,,,,,,2024-08
JQ송당1,2024-09-01,S11,1.427,,,,,,,2024-09
JQ송당1,2024-10-01,S11,1.517,,,,,,,2024-10
JQ송당1,2024-11-01,S11,2.77,,,,,,,2024-11
JQ송당1,2024-12-01,S11,1.759,,,,,,,2024-12
JQ송당1,2025-01-01,S11,1.202,,,,,,,2025-01
JQ송당1,2025-02-01,S11,0.89,,,,,,,2025-02
JQ송당1,2025-03-01,S11,0.839,,,,,,,2025-03
JQ송당1,2025-04-01,S11,0.867,,,,,,,2025-04
JQ송당1,2025-05-01,S11,0.925,,,,,,,2025-05
JQ송당1,2025-06-01,S11,1.055,,,,,,,2025-06
JQ송당1,2025-07-01,S11,1.092,,,,,,,2025-07
JQ송당1,2025-08-01,S11,0.903,,,,,,,2025-08
JQ송당1,2025-09-01,S11,1.085,,,,,,,2025-09
JQ송당1,2025-10-01,S11,1.605,,,,,,,2025-10
JQ송당1,2025-11-01,S11,1.473,,,,,,,2025-11
JQ송당1,2025-12-01,S11,0.988,,,,,,,2025-12
JQ송당1,2026-01-01,S11,0.746,,,,,,,2026-01
JQ송당1,2026-02-01,S11,0.601,,,,,,,2026-02
JQ송당1,2026-03-01,S11,0.655,,,,,,,2026-03
JQ송당1,2026-04-01,S11,0.874,,,,,,,2026-04
