관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JQ위미41,2023-02-01,S11,95.152,,,,,,,2023-02
JQ위미41,2023-03-01,S11,95.147,,,,,,,2023-03
JQ위미41,2023-04-01,S11,94.99,,,,,,,2023-04
JQ위미41,2023-05-01,S11,94.819,,,,,,,2023-05
JQ위미41,2023-06-01,S11,94.537,,,,,,,2023-06
JQ위미41,2023-07-01,S11,94.511,,,,,,,2023-07
JQ위미41,2023-08-01,S11,94.276,,,,,,,2023-08
JQ위미41,2023-09-01,S11,94.392,,,,,,,2023-09
JQ위미41,2023-10-01,S11,94.531,,,,,,,2023-10
JQ위미41,2023-11-01,S11,94.32,,,,,,,2023-11
JQ위미41,2023-12-01,S11,94.224,,,,,,,2023-12
JQ위미41,2024-01-01,S11,94.153,,,,,,,2024-01
JQ위미41,2024-02-01,S11,94.182,,,,,,,2024-02
JQ위미41,2024-03-01,S11,94.283,,,,,,,2024-03
JQ위미41,2024-04-01,S11,94.338,,,,,,,2024-04
JQ위미41,2024-05-01,S11,94.435,,,,,,,2024-05
JQ위미41,2024-06-01,S11,94.352,,,,,,,2024-06
JQ위미41,2024-07-01,S11,94.48,,,,,,,2024-07
JQ위미41,2024-08-01,S11,94.259,,,,,,,2024-08
JQ위미41,2024-09-01,S11,94.273,,,,,,,2024-09
JQ위미41,2024-10-01,S11,94.296,,,,,,,2024-10
JQ위미41,2024-11-01,S11,94.285,,,,,,,2024-11
JQ위미41,2024-12-01,S11,94.284,,,,,,,2024-12
JQ위미41,2025-01-01,S11,94.291,,,,,,,2025-01
JQ위미41,2025-02-01,S11,94.319,,,,,,,2025-02
JQ위미41,2025-03-01,S11,94.274,,,,,,,2025-03
JQ위미41,2025-04-01,S11,94.236,,,,,,,2025-04
JQ위미41,2025-05-01,S11,94.323,,,,,,,2025-05
JQ위미41,2025-06-01,S11,94.323,,,,,,,2025-06
JQ위미41,2025-07-01,S11,94.296,,,,,,,2025-07
JQ위미41,2025-08-01,S11,94.257,,,,,,,2025-08
JQ위미41,2025-09-01,S11,94.266,,,,,,,2025-09
JQ위미41,2025-10-01,S11,94.385,,,,,,,2025-10
JQ위미41,2025-11-01,S11,94.591,,,,,,,2025-11
JQ위미41,2025-12-01,S11,94.555,,,,,,,2025-12
JQ위미41,2026-01-01,S11,94.498,,,,,,,2026-01
JQ위미41,2026-02-01,S11,94.489,,,,,,,2026-02
JQ위미41,2026-03-01,S11,94.518,,,,,,,2026-03
JQ위미41,2026-04-01,S11,94.518,,,,,,,2026-04
