관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JQ유수암1,2020-07-01,S11,10.05,,,,,,,2020-07
JQ유수암1,2020-08-01,S11,10.669,,,,,,,2020-08
JQ유수암1,2020-09-01,S11,14.102,,,,,,,2020-09
JQ유수암1,2020-10-01,S11,18.997,,,,,,,2020-10
JQ유수암1,2020-11-01,S11,18.809,,,,,,,2020-11
JQ유수암1,2020-12-01,S11,16.947,,,,,,,2020-12
JQ유수암1,2021-01-01,S11,14.712,,,,,,,2021-01
JQ유수암1,2021-02-01,S11,12.876,,,,,,,2021-02
JQ유수암1,2021-03-01,S11,11.43,,,,,,,2021-03
JQ유수암1,2021-04-01,S11,10.114,,,,,,,2021-04
JQ유수암1,2021-05-01,S11,9.102,,,,,,,2021-05
JQ유수암1,2021-06-01,S11,8.731,,,,,,,2021-06
JQ유수암1,2021-07-01,S11,8.755,,,,,,,2021-07
JQ유수암1,2021-08-01,S11,8.807,,,,,,,2021-08
JQ유수암1,2021-09-01,S11,10.014,,,,,,,2021-09
JQ유수암1,2021-10-01,S11,12.346,,,,,,,2021-10
JQ유수암1,2021-11-01,S11,12.354,,,,,,,2021-11
JQ유수암1,2021-12-01,S11,11.273,,,,,,,2021-12
JQ유수암1,2022-01-01,S11,9.968,,,,,,,2022-01
JQ유수암1,2022-02-01,S11,8.638,,,,,,,2022-02
JQ유수암1,2022-03-01,S11,7.466,,,,,,,2022-03
JQ유수암1,2022-04-01,S11,6.937,,,,,,,2022-04
JQ유수암1,2022-05-01,S11,6.417,,,,,,,2022-05
JQ유수암1,2022-06-01,S11,5.771,,,,,,,2022-06
JQ유수암1,2022-07-01,S11,5.667,,,,,,,2022-07
JQ유수암1,2022-08-01,S11,5.233,,,,,,,2022-08
JQ유수암1,2022-09-01,S11,5.686,,,,,,,2022-09
JQ유수암1,2022-10-01,S11,6.725,,,,,,,2022-10
JQ유수암1,2022-11-01,S11,6.822,,,,,,,2022-11
JQ유수암1,2022-12-01,S11,6.595,,,,,,,2022-12
JQ유수암1,2023-01-01,S11,5.939,,,,,,,2023-01
JQ유수암1,2023-02-01,S11,5.54,,,,,,,2023-02
JQ유수암1,2023-03-01,S11,5.282,,,,,,,2023-03
JQ유수암1,2023-04-01,S11,5.078,,,,,,,2023-04
JQ유수암1,2023-05-01,S11,6.07,,,,,,,2023-05
JQ유수암1,2023-06-01,S11,8.015,,,,,,,2023-06
JQ유수암1,2023-07-01,S11,9.779,,,,,,,2023-07
JQ유수암1,2023-08-01,S11,12.299,,,,,,,2023-08
JQ유수암1,2023-09-01,S11,13.202,,,,,,,2023-09
JQ유수암1,2023-10-01,S11,13.58,,,,,,,2023-10
JQ유수암1,2023-11-01,S11,13.371,,,,,,,2023-11
JQ유수암1,2023-12-01,S11,12.445,,,,,,,2023-12
JQ유수암1,2024-01-01,S11,10.999,,,,,,,2024-01
JQ유수암1,2024-02-01,S11,9.924,,,,,,,2024-02
JQ유수암1,2024-03-01,S11,9.492,,,,,,,2024-03
JQ유수암1,2024-04-01,S11,9.292,,,,,,,2024-04
JQ유수암1,2024-05-01,S11,9.005,,,,,,,2024-05
JQ유수암1,2024-06-01,S11,9.067,,,,,,,2024-06
JQ유수암1,2024-07-01,S11,10.275,,,,,,,2024-07
JQ유수암1,2024-08-01,S11,10.872,,,,,,,2024-08
JQ유수암1,2024-09-01,S11,10.595,,,,,,,2024-09
JQ유수암1,2024-10-01,S11,11.012,,,,,,,2024-10
JQ유수암1,2024-11-01,S11,12.139,,,,,,,2024-11
JQ유수암1,2024-12-01,S11,12.548,,,,,,,2024-12
JQ유수암1,2025-01-01,S11,11.718,,,,,,,2025-01
JQ유수암1,2025-02-01,S11,10.52,,,,,,,2025-02
JQ유수암1,2025-03-01,S11,9.363,,,,,,,2025-03
JQ유수암1,2025-04-01,S11,8.325,,,,,,,2025-04
JQ유수암1,2025-05-01,S11,7.539,,,,,,,2025-05
JQ유수암1,2025-06-01,S11,7.071,,,,,,,2025-06
JQ유수암1,2025-07-01,S11,6.855,,,,,,,2025-07
JQ유수암1,2025-08-01,S11,6.623,,,,,,,2025-08
JQ유수암1,2025-09-01,S11,6.491,,,,,,,2025-09
JQ유수암1,2025-10-01,S11,7.5,,,,,,,2025-10
JQ유수암1,2025-11-01,S11,7.585,,,,,,,2025-11
JQ유수암1,2025-12-01,S11,6.913,,,,,,,2025-12
JQ유수암1,2026-01-01,S11,6.017,,,,,,,2026-01
JQ유수암1,2026-02-01,S11,5.228,,,,,,,2026-02
JQ유수암1,2026-03-01,S11,4.676,,,,,,,2026-03
JQ유수암1,2026-04-01,S11,4.386,,,,,,,2026-04
