관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JQ청수2,2021-02-01,S11,25.097,,,,,,,2021-02
JQ청수2,2021-03-01,S11,23.127,,,,,,,2021-03
JQ청수2,2021-04-01,S11,23.095,,,,,,,2021-04
JQ청수2,2021-05-01,S11,22.562,,,,,,,2021-05
JQ청수2,2021-06-01,S11,22.227,,,,,,,2021-06
JQ청수2,2021-07-01,S11,22.378,,,,,,,2021-07
JQ청수2,2021-08-01,S11,21.944,,,,,,,2021-08
JQ청수2,2021-09-01,S11,23.325,,,,,,,2021-09
JQ청수2,2021-10-01,S11,23.92,,,,,,,2021-10
JQ청수2,2021-11-01,S11,22.968,,,,,,,2021-11
JQ청수2,2021-12-01,S11,21.99,,,,,,,2021-12
JQ청수2,2022-01-01,S11,20.836,,,,,,,2022-01
JQ청수2,2022-02-01,S11,19.69,,,,,,,2022-02
JQ청수2,2022-03-01,S11,18.471,,,,,,,2022-03
JQ청수2,2022-04-01,S11,17.656,,,,,,,2022-04
JQ청수2,2022-05-01,S11,16.935,,,,,,,2022-05
JQ청수2,2022-06-01,S11,16.05,,,,,,,2022-06
JQ청수2,2022-07-01,S11,16.418,,,,,,,2022-07
JQ청수2,2022-08-01,S11,17.452,,,,,,,2022-08
JQ청수2,2022-09-01,S11,18.952,,,,,,,2022-09
JQ청수2,2022-10-01,S11,18.656,,,,,,,2022-10
JQ청수2,2022-11-01,S11,16.9,,,,,,,2022-11
JQ청수2,2022-12-01,S11,16.18,,,,,,,2022-12
JQ청수2,2023-01-01,S11,15.437,,,,,,,2023-01
JQ청수2,2023-02-01,S11,14.796,,,,,,,2023-02
JQ청수2,2023-03-01,S11,14.088,,,,,,,2023-03
JQ청수2,2023-04-01,S11,14.482,,,,,,,2023-04
JQ청수2,2023-05-01,S11,16.958,,,,,,,2023-05
JQ청수2,2023-06-01,S11,19.412,,,,,,,2023-06
JQ청수2,2023-07-01,S11,21.42,,,,,,,2023-07
JQ청수2,2023-08-01,S11,22.809,,,,,,,2023-08
JQ청수2,2023-09-01,S11,25.3,,,,,,,2023-09
JQ청수2,2023-10-01,S11,25.991,,,,,,,2023-10
JQ청수2,2023-11-01,S11,25.592,,,,,,,2023-11
JQ청수2,2023-12-01,S11,25.025,,,,,,,2023-12
JQ청수2,2024-01-01,S11,24.153,,,,,,,2024-01
JQ청수2,2024-02-01,S11,23.031,,,,,,,2024-02
JQ청수2,2024-03-01,S11,21.788,,,,,,,2024-03
JQ청수2,2024-04-01,S11,20.865,,,,,,,2024-04
JQ청수2,2024-05-01,S11,21.273,,,,,,,2024-05
JQ청수2,2024-06-01,S11,21.552,,,,,,,2024-06
JQ청수2,2024-07-01,S11,24.374,,,,,,,2024-07
JQ청수2,2024-08-01,S11,24.783,,,,,,,2024-08
JQ청수2,2024-09-01,S11,24.428,,,,,,,2024-09
JQ청수2,2024-10-01,S11,23.938,,,,,,,2024-10
JQ청수2,2024-11-01,S11,24.221,,,,,,,2024-11
JQ청수2,2024-12-01,S11,23.851,,,,,,,2024-12
JQ청수2,2025-01-01,S11,22.48,,,,,,,2025-01
JQ청수2,2025-02-01,S11,21.233,,,,,,,2025-02
JQ청수2,2025-03-01,S11,20.254,,,,,,,2025-03
JQ청수2,2025-04-01,S11,19.19,,,,,,,2025-04
JQ청수2,2025-05-01,S11,19.519,,,,,,,2025-05
JQ청수2,2025-06-01,S11,19.86,,,,,,,2025-06
JQ청수2,2025-07-01,S11,19.479,,,,,,,2025-07
JQ청수2,2025-08-01,S11,18.605,,,,,,,2025-08
JQ청수2,2025-09-01,S11,17.937,,,,,,,2025-09
JQ청수2,2025-10-01,S11,17.484,,,,,,,2025-10
JQ청수2,2025-11-01,S11,16.211,,,,,,,2025-11
JQ청수2,2025-12-01,S11,15.223,,,,,,,2025-12
JQ청수2,2026-01-01,S11,14.432,,,,,,,2026-01
JQ청수2,2026-02-01,S11,13.648,,,,,,,2026-02
JQ청수2,2026-03-01,S11,13.239,,,,,,,2026-03
JQ청수2,2026-04-01,S11,13.755,,,,,,,2026-04
