관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JR금악2,2005-01-01,S11,73.124,,,,,,,2005-01
JR금악2,2005-02-01,S11,72.178,,,,,,,2005-02
JR금악2,2005-03-01,S11,70.87,,,,,,,2005-03
JR금악2,2005-04-01,S11,69.808,,,,,,,2005-04
JR금악2,2005-05-01,S11,69.062,,,,,,,2005-05
JR금악2,2005-06-01,S11,69.212,,,,,,,2005-06
JR금악2,2005-07-01,S11,69.568,,,,,,,2005-07
JR금악2,2005-08-01,S11,69.135,,,,,,,2005-08
JR금악2,2005-09-01,S11,68.746,,,,,,,2005-09
JR금악2,2005-10-01,S11,68.36,,,,,,,2005-10
JR금악2,2005-11-01,S11,67.842,,,,,,,2005-11
JR금악2,2005-12-01,S11,66.785,,,,,,,2005-12
JR금악2,2006-01-01,S11,63.435,,,,,,,2006-01
JR금악2,2006-02-01,S11,58.005,,,,,,,2006-02
JR금악2,2006-03-01,S11,54.565,,,,,,,2006-03
JR금악2,2006-04-01,S11,53.198,,,,,,,2006-04
JR금악2,2006-05-01,S11,59.66,,,,,,,2006-05
JR금악2,2006-06-01,S11,66.024,,,,,,,2006-06
JR금악2,2006-07-01,S11,70.383,,,,,,,2006-07
JR금악2,2006-08-01,S11,73.385,,,,,,,2006-08
JR금악2,2006-09-01,S11,74.218,,,,,,,2006-09
JR금악2,2006-10-01,S11,73.874,,,,,,,2006-10
JR금악2,2006-11-01,S11,73.057,,,,,,,2006-11
JR금악2,2006-12-01,S11,72.097,,,,,,,2006-12
JR금악2,2007-01-01,S11,71.073,,,,,,,2007-01
JR금악2,2007-02-01,S11,69.736,,,,,,,2007-02
JR금악2,2007-03-01,S11,68.737,,,,,,,2007-03
JR금악2,2007-04-01,S11,68.178,,,,,,,2007-04
JR금악2,2007-05-01,S11,67.893,,,,,,,2007-05
JR금악2,2007-06-01,S11,67.23,,,,,,,2007-06
JR금악2,2007-07-01,S11,67.248,,,,,,,2007-07
JR금악2,2007-08-01,S11,69.295,,,,,,,2007-08
JR금악2,2007-09-01,S11,71.747,,,,,,,2007-09
JR금악2,2007-10-01,S11,73.571,,,,,,,2007-10
JR금악2,2007-11-01,S11,74.37,,,,,,,2007-11
JR금악2,2007-12-01,S11,73.845,,,,,,,2007-12
JR금악2,2008-01-01,S11,72.67,,,,,,,2008-01
JR금악2,2008-02-01,S11,71.467,,,,,,,2008-02
JR금악2,2008-03-01,S11,70.275,,,,,,,2008-03
JR금악2,2008-04-01,S11,69.181,,,,,,,2008-04
JR금악2,2008-05-01,S11,68.175,,,,,,,2008-05
JR금악2,2008-06-01,S11,67.863,,,,,,,2008-06
JR금악2,2008-07-01,S11,68.338,,,,,,,2008-07
JR금악2,2008-08-01,S11,70.196,,,,,,,2008-08
JR금악2,2008-09-01,S11,70.097,,,,,,,2008-09
JR금악2,2008-10-01,S11,69.075,,,,,,,2008-10
JR금악2,2008-11-01,S11,67.923,,,,,,,2008-11
JR금악2,2008-12-01,S11,66.976,,,,,,,2008-12
JR금악2,2009-01-01,S11,65.594,,,,,,,2009-01
JR금악2,2009-02-01,S11,59.22,,,,,,,2009-02
JR금악2,2009-03-01,S11,52.804,,,,,,,2009-03
JR금악2,2009-04-01,S11,51.662,,,,,,,2009-04
JR금악2,2009-05-01,S11,54.323,,,,,,,2009-05
JR금악2,2009-06-01,S11,61.095,,,,,,,2009-06
JR금악2,2009-07-01,S11,64.052,,,,,,,2009-07
JR금악2,2009-08-01,S11,64.852,,,,,,,2009-08
JR금악2,2009-09-01,S11,66.218,,,,,,,2009-09
JR금악2,2009-10-01,S11,67.222,,,,,,,2009-10
JR금악2,2009-11-01,S11,67.589,,,,,,,2009-11
JR금악2,2009-12-01,S11,66.861,,,,,,,2009-12
