관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JR상예3,2008-12-01,S11,218.9,,,,,,,2008-12
JR상예3,2009-01-01,S11,218.886,,,,,,,2009-01
JR상예3,2009-04-01,S11,218.53,,,,,,,2009-04
JR상예3,2009-05-01,S11,218.767,,,,,,,2009-05
JR상예3,2009-06-01,S11,218.945,,,,,,,2009-06
JR상예3,2009-07-01,S11,219.225,,,,,,,2009-07
JR상예3,2009-08-01,S11,219.857,,,,,,,2009-08
JR상예3,2009-09-01,S11,219.908,,,,,,,2009-09
JR상예3,2009-10-01,S11,219.737,,,,,,,2009-10
JR상예3,2009-11-01,S11,219.547,,,,,,,2009-11
JR상예3,2009-12-01,S11,219.37,,,,,,,2009-12
JR상예3,2010-01-01,S11,219.203,,,,,,,2010-01
JR상예3,2010-02-01,S11,219.057,,,,,,,2010-02
JR상예3,2010-03-01,S11,218.988,,,,,,,2010-03
JR상예3,2010-04-01,S11,219.36,,,,,,,2010-04
JR상예3,2010-05-01,S11,219.698,,,,,,,2010-05
JR상예3,2010-06-01,S11,219.992,,,,,,,2010-06
JR상예3,2010-07-01,S11,220.37,,,,,,,2010-07
JR상예3,2010-08-01,S11,220.729,,,,,,,2010-08
JR상예3,2010-09-01,S11,221.229,,,,,,,2010-09
JR상예3,2010-10-01,S11,221.011,,,,,,,2010-10
JR상예3,2010-11-01,S11,220.671,,,,,,,2010-11
JR상예3,2010-12-01,S11,220.362,,,,,,,2010-12
JR상예3,2011-01-01,S11,220.057,,,,,,,2011-01
JR상예3,2011-02-01,S11,219.812,,,,,,,2011-02
JR상예3,2011-03-01,S11,219.598,,,,,,,2011-03
JR상예3,2011-04-01,S11,219.408,,,,,,,2011-04
JR상예3,2011-05-01,S11,219.389,,,,,,,2011-05
JR상예3,2011-06-01,S11,219.539,,,,,,,2011-06
JR상예3,2011-07-01,S11,220.134,,,,,,,2011-07
JR상예3,2011-08-01,S11,220.638,,,,,,,2011-08
JR상예3,2011-09-01,S11,220.702,,,,,,,2011-09
JR상예3,2011-10-01,S11,220.37,,,,,,,2011-10
JR상예3,2011-11-01,S11,220.06,,,,,,,2011-11
JR상예3,2011-12-01,S11,219.877,,,,,,,2011-12
JR상예3,2012-01-01,S11,219.721,,,,,,,2012-01
JR상예3,2012-02-01,S11,219.536,,,,,,,2012-02
JR상예3,2012-03-01,S11,219.368,,,,,,,2012-03
