관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JR서광1,2008-01-01,S11,32.245,,,,,,,2008-01
JR서광1,2008-02-01,S11,31.394,,,,,,,2008-02
JR서광1,2008-03-01,S11,30.083,,,,,,,2008-03
JR서광1,2008-04-01,S11,29.088,,,,,,,2008-04
JR서광1,2008-05-01,S11,27.605,,,,,,,2008-05
JR서광1,2008-06-01,S11,28.929,,,,,,,2008-06
JR서광1,2008-07-01,S11,31.232,,,,,,,2008-07
JR서광1,2008-08-01,S11,30.324,,,,,,,2008-08
JR서광1,2008-09-01,S11,29.466,,,,,,,2008-09
JR서광1,2008-10-01,S11,28.029,,,,,,,2008-10
JR서광1,2008-11-01,S11,26.863,,,,,,,2008-11
JR서광1,2008-12-01,S11,25.633,,,,,,,2008-12
JR서광1,2009-01-01,S11,24.328,,,,,,,2009-01
JR서광1,2009-02-01,S11,23.7,,,,,,,2009-02
JR서광1,2009-03-01,S11,24.405,,,,,,,2009-03
JR서광1,2009-04-01,S11,23.888,,,,,,,2009-04
JR서광1,2009-05-01,S11,24.032,,,,,,,2009-05
JR서광1,2009-06-01,S11,24.071,,,,,,,2009-06
JR서광1,2009-07-01,S11,26.416,,,,,,,2009-07
JR서광1,2009-08-01,S11,27.235,,,,,,,2009-08
JR서광1,2009-09-01,S11,26.392,,,,,,,2009-09
JR서광1,2009-10-01,S11,26.412,,,,,,,2009-10
JR서광1,2009-11-01,S11,26.178,,,,,,,2009-11
JR서광1,2009-12-01,S11,25.225,,,,,,,2009-12
JR서광1,2010-01-01,S11,23.996,,,,,,,2010-01
JR서광1,2010-02-01,S11,23.382,,,,,,,2010-02
JR서광1,2010-03-01,S11,23.573,,,,,,,2010-03
JR서광1,2010-04-01,S11,25.231,,,,,,,2010-04
JR서광1,2010-05-01,S11,25.567,,,,,,,2010-05
JR서광1,2010-06-01,S11,25.737,,,,,,,2010-06
JR서광1,2010-07-01,S11,30.189,,,,,,,2010-07
JR서광1,2010-08-01,S11,32.407,,,,,,,2010-08
JR서광1,2010-09-01,S11,37.442,,,,,,,2010-09
JR서광1,2010-10-01,S11,37.597,,,,,,,2010-10
JR서광1,2010-11-01,S11,36.997,,,,,,,2010-11
JR서광1,2010-12-01,S11,35.543,,,,,,,2010-12
JR서광1,2011-01-01,S11,33.693,,,,,,,2011-01
JR서광1,2011-02-01,S11,31.845,,,,,,,2011-02
JR서광1,2011-03-01,S11,30.095,,,,,,,2011-03
JR서광1,2011-04-01,S11,28.635,,,,,,,2011-04
JR서광1,2011-05-01,S11,27.351,,,,,,,2011-05
JR서광1,2011-06-01,S11,27.894,,,,,,,2011-06
JR서광1,2011-07-01,S11,30.723,,,,,,,2011-07
