관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JR신촌2,2006-01-01,S11,2.678,,,,,,,2006-01
JR신촌2,2006-02-01,S11,2.621,,,,,,,2006-02
JR신촌2,2006-03-01,S11,2.715,,,,,,,2006-03
JR신촌2,2006-04-01,S11,2.878,,,,,,,2006-04
JR신촌2,2006-05-01,S11,3.396,,,,,,,2006-05
JR신촌2,2006-06-01,S11,4.364,,,,,,,2006-06
JR신촌2,2006-07-01,S11,8.98,,,,,,,2006-07
JR신촌2,2006-08-01,S11,9.66,,,,,,,2006-08
JR신촌2,2006-09-01,S11,8.62,,,,,,,2006-09
JR신촌2,2006-10-01,S11,8.314,,,,,,,2006-10
JR신촌2,2006-11-01,S11,6.594,,,,,,,2006-11
JR신촌2,2006-12-01,S11,5.222,,,,,,,2006-12
JR신촌2,2007-01-01,S11,4.556,,,,,,,2007-01
JR신촌2,2007-02-01,S11,3.865,,,,,,,2007-02
JR신촌2,2007-03-01,S11,3.925,,,,,,,2007-03
JR신촌2,2007-04-01,S11,3.923,,,,,,,2007-04
JR신촌2,2007-05-01,S11,3.66,,,,,,,2007-05
JR신촌2,2007-06-01,S11,3.378,,,,,,,2007-06
JR신촌2,2007-07-01,S11,4.868,,,,,,,2007-07
JR신촌2,2007-08-01,S11,5.318,,,,,,,2007-08
JR신촌2,2007-09-01,S11,13.757,,,,,,,2007-09
JR신촌2,2007-10-01,S11,17.757,,,,,,,2007-10
JR신촌2,2007-11-01,S11,13.814,,,,,,,2007-11
JR신촌2,2007-12-01,S11,10.162,,,,,,,2007-12
JR신촌2,2008-01-01,S11,7.894,,,,,,,2008-01
JR신촌2,2008-02-01,S11,7.165,,,,,,,2008-02
JR신촌2,2008-03-01,S11,4.661,,,,,,,2008-03
JR신촌2,2008-04-01,S11,4.358,,,,,,,2008-04
JR신촌2,2008-05-01,S11,4.031,,,,,,,2008-05
JR신촌2,2008-06-01,S11,4.636,,,,,,,2008-06
JR신촌2,2008-07-01,S11,6.271,,,,,,,2008-07
JR신촌2,2008-08-01,S11,5.816,,,,,,,2008-08
JR신촌2,2008-10-01,S11,4.377,,,,,,,2008-10
JR신촌2,2008-11-01,S11,3.777,,,,,,,2008-11
JR신촌2,2008-12-01,S11,3.295,,,,,,,2008-12
JR신촌2,2009-01-01,S11,2.811,,,,,,,2009-01
JR신촌2,2009-02-01,S11,2.809,,,,,,,2009-02
JR신촌2,2009-03-01,S11,3.129,,,,,,,2009-03
JR신촌2,2009-04-01,S11,3.199,,,,,,,2009-04
JR신촌2,2009-05-01,S11,3.625,,,,,,,2009-05
JR신촌2,2009-06-01,S11,3.541,,,,,,,2009-06
JR신촌2,2009-07-01,S11,3.587,,,,,,,2009-07
JR신촌2,2009-08-01,S11,4.115,,,,,,,2009-08
JR신촌2,2009-09-01,S11,5.045,,,,,,,2009-09
JR신촌2,2009-10-01,S11,5.699,,,,,,,2009-10
JR신촌2,2009-11-01,S11,4.93,,,,,,,2009-11
JR신촌2,2009-12-01,S11,4.211,,,,,,,2009-12
JR신촌2,2010-01-01,S11,3.419,,,,,,,2010-01
JR신촌2,2010-02-01,S11,3.15,,,,,,,2010-02
JR신촌2,2010-03-01,S11,3.939,,,,,,,2010-03
JR신촌2,2010-04-01,S11,4.974,,,,,,,2010-04
JR신촌2,2010-05-01,S11,5.505,,,,,,,2010-05
JR신촌2,2010-06-01,S11,4.947,,,,,,,2010-06
JR신촌2,2010-07-01,S11,6.249,,,,,,,2010-07
JR신촌2,2010-08-01,S11,7.739,,,,,,,2010-08
JR신촌2,2010-09-01,S11,11.726,,,,,,,2010-09
JR신촌2,2010-10-01,S11,11.646,,,,,,,2010-10
JR신촌2,2010-11-01,S11,9.158,,,,,,,2010-11
JR신촌2,2010-12-01,S11,6.485,,,,,,,2010-12
JR신촌2,2011-01-01,S11,4.559,,,,,,,2011-01
JR신촌2,2011-02-01,S11,3.478,,,,,,,2011-02
JR신촌2,2011-03-01,S11,2.917,,,,,,,2011-03
JR신촌2,2011-04-01,S11,2.674,,,,,,,2011-04
JR신촌2,2011-05-01,S11,2.589,,,,,,,2011-05
JR신촌2,2011-06-01,S11,3.251,,,,,,,2011-06
JR신촌2,2011-07-01,S11,5.859,,,,,,,2011-07
JR신촌2,2011-08-01,S11,8.927,,,,,,,2011-08
JR신촌2,2011-09-01,S11,10.032,,,,,,,2011-09
JR신촌2,2011-10-01,S11,8.218,,,,,,,2011-10
JR신촌2,2011-11-01,S11,6.664,,,,,,,2011-11
JR신촌2,2011-12-01,S11,6.611,,,,,,,2011-12
JR신촌2,2012-01-01,S11,4.74,,,,,,,2012-01
JR신촌2,2012-02-01,S11,4.276,,,,,,,2012-02
JR신촌2,2012-03-01,S11,4.673,,,,,,,2012-03
JR신촌2,2012-04-01,S11,4.883,,,,,,,2012-04
JR신촌2,2012-05-01,S11,7.49,,,,,,,2012-05
JR신촌2,2012-06-01,S11,7.424,,,,,,,2012-06
JR신촌2,2012-07-01,S11,6.653,,,,,,,2012-07
JR신촌2,2012-08-01,S11,6.616,,,,,,,2012-08
JR신촌2,2012-09-01,S11,14.389,,,,,,,2012-09
JR신촌2,2012-10-01,S11,16.166,,,,,,,2012-10
JR신촌2,2012-11-01,S11,12.185,,,,,,,2012-11
JR신촌2,2012-12-01,S11,8.59,,,,,,,2012-12
JR신촌2,2013-01-01,S11,6.423,,,,,,,2013-01
JR신촌2,2013-10-01,S11,3.676,,,,,,,2013-10
JR신촌2,2013-11-01,S11,3.451,,,,,,,2013-11
JR신촌2,2014-02-01,S11,2.779,,,,,,,2014-02
JR신촌2,2014-03-01,S11,3.372,,,,,,,2014-03
JR신촌2,2014-04-01,S11,3.251,,,,,,,2014-04
JR신촌2,2014-05-01,S11,3.062,,,,,,,2014-05
JR신촌2,2014-06-01,S11,3.032,,,,,,,2014-06
JR신촌2,2014-07-01,S11,4.384,,,,,,,2014-07
JR신촌2,2014-08-01,S11,6.776,,,,,,,2014-08
JR신촌2,2014-10-01,S11,9.178,,,,,,,2014-10
JR신촌2,2014-11-01,S11,7.768,,,,,,,2014-11
JR신촌2,2014-12-01,S11,6.474,,,,,,,2014-12
JR신촌2,2015-01-01,S11,5.233,,,,,,,2015-01
JR신촌2,2015-02-01,S11,4.803,,,,,,,2015-02
JR신촌2,2015-03-01,S11,3.868,,,,,,,2015-03
JR신촌2,2015-04-01,S11,3.888,,,,,,,2015-04
JR신촌2,2015-05-01,S11,4.555,,,,,,,2015-05
JR신촌2,2015-06-01,S11,5.195,,,,,,,2015-06
JR신촌2,2015-07-01,S11,8.416,,,,,,,2015-07
JR신촌2,2015-08-01,S11,9.909,,,,,,,2015-08
JR신촌2,2015-09-01,S11,9.351,,,,,,,2015-09
JR신촌2,2015-10-01,S11,8.599,,,,,,,2015-10
JR신촌2,2015-11-01,S11,7.431,,,,,,,2015-11
JR신촌2,2015-12-01,S11,7.049,,,,,,,2015-12
JR신촌2,2016-01-01,S11,5.891,,,,,,,2016-01
JR신촌2,2016-02-01,S11,5.535,,,,,,,2016-02
JR신촌2,2016-03-01,S11,5.625,,,,,,,2016-03
JR신촌2,2016-04-01,S11,5.847,,,,,,,2016-04
JR신촌2,2016-05-01,S11,5.821,,,,,,,2016-05
JR신촌2,2016-06-01,S11,5.642,,,,,,,2016-06
JR신촌2,2016-07-01,S11,6.337,,,,,,,2016-07
JR신촌2,2016-08-01,S11,5.729,,,,,,,2016-08
JR신촌2,2016-09-01,S11,5.158,,,,,,,2016-09
JR신촌2,2016-10-01,S11,8.203,,,,,,,2016-10
JR신촌2,2016-11-01,S11,7.845,,,,,,,2016-11
JR신촌2,2016-12-01,S11,6.102,,,,,,,2016-12
JR신촌2,2017-01-01,S11,4.818,,,,,,,2017-01
JR신촌2,2017-02-01,S11,3.871,,,,,,,2017-02
JR신촌2,2017-03-01,S11,3.318,,,,,,,2017-03
