관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JR어음1,2007-12-01,S11,5.975,,,,,,,2007-12
JR어음1,2008-01-01,S11,5.608,,,,,,,2008-01
JR어음1,2008-02-01,S11,5.147,,,,,,,2008-02
JR어음1,2008-03-01,S11,4.691,,,,,,,2008-03
JR어음1,2008-04-01,S11,4.34,,,,,,,2008-04
JR어음1,2008-05-01,S11,4.01,,,,,,,2008-05
JR어음1,2008-06-01,S11,4.137,,,,,,,2008-06
JR어음1,2008-07-01,S11,4.467,,,,,,,2008-07
JR어음1,2008-08-01,S11,4.381,,,,,,,2008-08
JR어음1,2008-09-01,S11,4.199,,,,,,,2008-09
JR어음1,2008-10-01,S11,3.601,,,,,,,2008-10
JR어음1,2008-11-01,S11,3.371,,,,,,,2008-11
JR어음1,2008-12-01,S11,3.085,,,,,,,2008-12
JR어음1,2009-01-01,S11,2.783,,,,,,,2009-01
JR어음1,2009-02-01,S11,2.631,,,,,,,2009-02
JR어음1,2009-03-01,S11,2.587,,,,,,,2009-03
JR어음1,2009-04-01,S11,2.54,,,,,,,2009-04
JR어음1,2009-05-01,S11,2.613,,,,,,,2009-05
JR어음1,2009-06-01,S11,2.771,,,,,,,2009-06
JR어음1,2009-07-01,S11,3.048,,,,,,,2009-07
JR어음1,2009-08-01,S11,3.19,,,,,,,2009-08
JR어음1,2009-09-01,S11,3.279,,,,,,,2009-09
JR어음1,2009-10-01,S11,3.45,,,,,,,2009-10
JR어음1,2009-11-01,S11,3.286,,,,,,,2009-11
JR어음1,2009-12-01,S11,3.079,,,,,,,2009-12
JR어음1,2010-01-01,S11,2.772,,,,,,,2010-01
JR어음1,2010-02-01,S11,2.674,,,,,,,2010-02
JR어음1,2010-03-01,S11,2.704,,,,,,,2010-03
JR어음1,2010-04-01,S11,3.132,,,,,,,2010-04
JR어음1,2010-05-01,S11,3.35,,,,,,,2010-05
JR어음1,2010-06-01,S11,3.437,,,,,,,2010-06
JR어음1,2010-07-01,S11,4.168,,,,,,,2010-07
JR어음1,2010-08-01,S11,4.485,,,,,,,2010-08
JR어음1,2010-09-01,S11,5.778,,,,,,,2010-09
JR어음1,2010-10-01,S11,6.061,,,,,,,2010-10
JR어음1,2010-11-01,S11,5.815,,,,,,,2010-11
JR어음1,2010-12-01,S11,5.369,,,,,,,2010-12
JR어음1,2011-01-01,S11,4.764,,,,,,,2011-01
JR어음1,2011-02-01,S11,4.228,,,,,,,2011-02
JR어음1,2011-03-01,S11,3.719,,,,,,,2011-03
JR어음1,2011-04-01,S11,3.363,,,,,,,2011-04
JR어음1,2011-05-01,S11,3.143,,,,,,,2011-05
JR어음1,2011-06-01,S11,3.232,,,,,,,2011-06
JR어음1,2011-07-01,S11,3.588,,,,,,,2011-07
JR어음1,2011-08-01,S11,4.099,,,,,,,2011-08
JR어음1,2011-09-01,S11,4.397,,,,,,,2011-09
JR어음1,2011-10-01,S11,4.363,,,,,,,2011-10
JR어음1,2011-11-01,S11,4.497,,,,,,,2011-11
JR어음1,2011-12-01,S11,4.366,,,,,,,2011-12
