관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JR장전1,2005-01-01,S11,12.348,,,,,,,2005-01
JR장전1,2005-02-01,S11,11.135,,,,,,,2005-02
JR장전1,2005-03-01,S11,10.233,,,,,,,2005-03
JR장전1,2005-04-01,S11,9.71,,,,,,,2005-04
JR장전1,2005-05-01,S11,9.324,,,,,,,2005-05
JR장전1,2005-06-01,S11,8.965,,,,,,,2005-06
JR장전1,2005-07-01,S11,8.523,,,,,,,2005-07
JR장전1,2005-08-01,S11,8.107,,,,,,,2005-08
JR장전1,2005-09-01,S11,7.588,,,,,,,2005-09
JR장전1,2005-10-01,S11,6.977,,,,,,,2005-10
JR장전1,2005-11-01,S11,6.611,,,,,,,2005-11
JR장전1,2005-12-01,S11,6.354,,,,,,,2005-12
JR장전1,2006-01-01,S11,6.117,,,,,,,2006-01
JR장전1,2006-02-01,S11,5.942,,,,,,,2006-02
JR장전1,2006-03-01,S11,5.845,,,,,,,2006-03
JR장전1,2006-04-01,S11,5.886,,,,,,,2006-04
JR장전1,2006-05-01,S11,6.321,,,,,,,2006-05
JR장전1,2006-06-01,S11,7.41,,,,,,,2006-06
JR장전1,2006-08-01,S11,13.578,,,,,,,2006-08
JR장전1,2006-09-01,S11,13.946,,,,,,,2006-09
JR장전1,2006-10-01,S11,14.339,,,,,,,2006-10
JR장전1,2006-11-01,S11,13.755,,,,,,,2006-11
JR장전1,2006-12-01,S11,12.588,,,,,,,2006-12
JR장전1,2007-01-01,S11,11.244,,,,,,,2007-01
JR장전1,2007-02-01,S11,10.43,,,,,,,2007-02
JR장전1,2007-03-01,S11,9.216,,,,,,,2007-03
JR장전1,2007-04-01,S11,9.041,,,,,,,2007-04
JR장전1,2007-05-01,S11,8.619,,,,,,,2007-05
JR장전1,2007-06-01,S11,8.031,,,,,,,2007-06
JR장전1,2007-07-01,S11,8.461,,,,,,,2007-07
JR장전1,2007-08-01,S11,9.886,,,,,,,2007-08
JR장전1,2007-09-01,S11,12.43,,,,,,,2007-09
JR장전1,2007-10-01,S11,17.491,,,,,,,2007-10
JR장전1,2007-11-01,S11,17.853,,,,,,,2007-11
JR장전1,2007-12-01,S11,16.608,,,,,,,2007-12
JR장전1,2008-01-01,S11,15.013,,,,,,,2008-01
JR장전1,2008-02-01,S11,13.57,,,,,,,2008-02
JR장전1,2008-03-01,S11,12.071,,,,,,,2008-03
JR장전1,2008-04-01,S11,10.858,,,,,,,2008-04
JR장전1,2008-05-01,S11,9.9,,,,,,,2008-05
JR장전1,2008-06-01,S11,9.512,,,,,,,2008-06
JR장전1,2008-07-01,S11,10.53,,,,,,,2008-07
JR장전1,2008-08-01,S11,10.844,,,,,,,2008-08
JR장전1,2008-09-01,S11,10.223,,,,,,,2008-09
JR장전1,2008-10-01,S11,9.303,,,,,,,2008-10
JR장전1,2008-11-01,S11,8.386,,,,,,,2008-11
JR장전1,2008-12-01,S11,7.615,,,,,,,2008-12
JR장전1,2009-01-01,S11,6.864,,,,,,,2009-01
JR장전1,2009-02-01,S11,6.321,,,,,,,2009-02
JR장전1,2009-03-01,S11,6.282,,,,,,,2009-03
JR장전1,2009-04-01,S11,6.175,,,,,,,2009-04
JR장전1,2009-05-01,S11,6.311,,,,,,,2009-05
JR장전1,2009-06-01,S11,6.539,,,,,,,2009-06
JR장전1,2009-07-01,S11,7.091,,,,,,,2009-07
JR장전1,2009-08-01,S11,7.809,,,,,,,2009-08
JR장전1,2009-09-01,S11,8.435,,,,,,,2009-09
JR장전1,2009-10-01,S11,8.892,,,,,,,2009-10
JR장전1,2009-11-01,S11,8.761,,,,,,,2009-11
JR장전1,2009-12-01,S11,8.196,,,,,,,2009-12
JR장전1,2010-01-01,S11,7.495,,,,,,,2010-01
JR장전1,2010-02-01,S11,6.903,,,,,,,2010-02
JR장전1,2010-03-01,S11,6.964,,,,,,,2010-03
JR장전1,2010-04-01,S11,7.997,,,,,,,2010-04
JR장전1,2010-05-01,S11,9.064,,,,,,,2010-05
JR장전1,2010-06-01,S11,9.092,,,,,,,2010-06
JR장전1,2010-07-01,S11,9.912,,,,,,,2010-07
JR장전1,2010-08-01,S11,11.694,,,,,,,2010-08
JR장전1,2010-09-01,S11,14.798,,,,,,,2010-09
JR장전1,2010-10-01,S11,16.993,,,,,,,2010-10
JR장전1,2010-11-01,S11,16.493,,,,,,,2010-11
JR장전1,2010-12-01,S11,15.074,,,,,,,2010-12
JR장전1,2011-01-01,S11,13.289,,,,,,,2011-01
JR장전1,2011-02-01,S11,11.559,,,,,,,2011-02
JR장전1,2011-03-01,S11,10.089,,,,,,,2011-03
JR장전1,2011-04-01,S11,8.906,,,,,,,2011-04
JR장전1,2011-05-01,S11,8.074,,,,,,,2011-05
JR장전1,2011-06-01,S11,7.82,,,,,,,2011-06
JR장전1,2011-07-01,S11,9.318,,,,,,,2011-07
JR장전1,2011-08-01,S11,11.222,,,,,,,2011-08
JR장전1,2011-09-01,S11,12.835,,,,,,,2011-09
JR장전1,2011-10-01,S11,12.647,,,,,,,2011-10
JR장전1,2011-11-01,S11,12.061,,,,,,,2011-11
JR장전1,2011-12-01,S11,11.949,,,,,,,2011-12
JR장전1,2012-01-01,S11,11.195,,,,,,,2012-01
JR장전1,2012-02-01,S11,10.207,,,,,,,2012-02
JR장전1,2012-03-01,S11,9.67,,,,,,,2012-03
JR장전1,2012-04-01,S11,9.607,,,,,,,2012-04
JR장전1,2012-05-01,S11,10.709,,,,,,,2012-05
JR장전1,2012-06-01,S11,11.267,,,,,,,2012-06
JR장전1,2012-07-01,S11,11.101,,,,,,,2012-07
JR장전1,2012-08-01,S11,11.389,,,,,,,2012-08
JR장전1,2012-09-01,S11,15.208,,,,,,,2012-09
JR장전1,2012-10-01,S11,20.229,,,,,,,2012-10
JR장전1,2012-11-01,S11,20.079,,,,,,,2012-11
JR장전1,2012-12-01,S11,18.291,,,,,,,2012-12
JR장전1,2013-01-01,S11,16.476,,,,,,,2013-01
JR장전1,2013-02-01,S11,14.799,,,,,,,2013-02
JR장전1,2013-03-01,S11,13.436,,,,,,,2013-03
JR장전1,2013-04-01,S11,12.479,,,,,,,2013-04
JR장전1,2013-05-01,S11,11.531,,,,,,,2013-05
JR장전1,2013-06-01,S11,10.713,,,,,,,2013-06
JR장전1,2013-07-01,S11,10.371,,,,,,,2013-07
JR장전1,2013-08-01,S11,9.629,,,,,,,2013-08
JR장전1,2013-09-01,S11,8.792,,,,,,,2013-09
JR장전1,2013-10-01,S11,8.064,,,,,,,2013-10
JR장전1,2013-11-01,S11,7.277,,,,,,,2013-11
JR장전1,2013-12-01,S11,6.768,,,,,,,2013-12
JR장전1,2014-01-01,S11,6.347,,,,,,,2014-01
JR장전1,2014-02-01,S11,6.082,,,,,,,2014-02
JR장전1,2014-03-01,S11,6.243,,,,,,,2014-03
JR장전1,2014-04-01,S11,6.296,,,,,,,2014-04
JR장전1,2014-05-01,S11,6.167,,,,,,,2014-05
JR장전1,2014-06-01,S11,6.2,,,,,,,2014-06
JR장전1,2014-07-01,S11,6.885,,,,,,,2014-07
JR장전1,2014-08-01,S11,9.504,,,,,,,2014-08
JR장전1,2014-09-01,S11,13.215,,,,,,,2014-09
JR장전1,2014-10-01,S11,13.97,,,,,,,2014-10
JR장전1,2014-11-01,S11,13.565,,,,,,,2014-11
JR장전1,2014-12-01,S11,12.721,,,,,,,2014-12
JR장전1,2015-01-01,S11,11.747,,,,,,,2015-01
JR장전1,2015-02-01,S11,11.16,,,,,,,2015-02
JR장전1,2015-04-01,S11,9.332,,,,,,,2015-04
JR장전1,2015-05-01,S11,9.637,,,,,,,2015-05
JR장전1,2015-06-01,S11,10.604,,,,,,,2015-06
JR장전1,2015-07-01,S11,12.074,,,,,,,2015-07
JR장전1,2015-08-01,S11,14.235,,,,,,,2015-08
JR장전1,2015-09-01,S11,14.709,,,,,,,2015-09
JR장전1,2015-10-01,S11,14.17,,,,,,,2015-10
JR장전1,2015-11-01,S11,13.324,,,,,,,2015-11
JR장전1,2015-12-01,S11,12.416,,,,,,,2015-12
JR장전1,2016-01-01,S11,11.567,,,,,,,2016-01
JR장전1,2016-02-01,S11,10.751,,,,,,,2016-02
JR장전1,2016-03-01,S11,10.532,,,,,,,2016-03
JR장전1,2016-04-01,S11,10.974,,,,,,,2016-04
JR장전1,2016-05-01,S11,11.396,,,,,,,2016-05
JR장전1,2016-06-01,S11,11.6,,,,,,,2016-06
JR장전1,2016-07-01,S11,11.894,,,,,,,2016-07
JR장전1,2016-08-01,S11,12.175,,,,,,,2016-08
JR장전1,2016-09-01,S11,11.873,,,,,,,2016-09
JR장전1,2016-10-01,S11,12.12,,,,,,,2016-10
JR장전1,2016-11-01,S11,12.779,,,,,,,2016-11
JR장전1,2016-12-01,S11,12.184,,,,,,,2016-12
JR장전1,2017-01-01,S11,11.186,,,,,,,2017-01
JR장전1,2017-02-01,S11,10.14,,,,,,,2017-02
JR장전1,2017-03-01,S11,9.145,,,,,,,2017-03
JR장전1,2017-04-01,S11,8.408,,,,,,,2017-04
JR장전1,2017-05-01,S11,7.937,,,,,,,2017-05
JR장전1,2017-06-01,S11,7.397,,,,,,,2017-06
JR장전1,2017-07-01,S11,6.832,,,,,,,2017-07
JR장전1,2017-08-01,S11,6.218,,,,,,,2017-08
JR장전1,2017-09-01,S11,5.913,,,,,,,2017-09
JR장전1,2017-10-01,S11,5.844,,,,,,,2017-10
JR장전1,2017-11-01,S11,5.645,,,,,,,2017-11
JR장전1,2017-12-01,S11,5.167,,,,,,,2017-12
JR장전1,2018-01-01,S11,4.765,,,,,,,2018-01
JR장전1,2018-02-01,S11,4.446,,,,,,,2018-02
JR장전1,2018-03-01,S11,4.569,,,,,,,2018-03
JR장전1,2018-04-01,S11,5.116,,,,,,,2018-04
JR장전1,2018-05-01,S11,5.812,,,,,,,2018-05
JR장전1,2018-06-01,S11,6.667,,,,,,,2018-06
JR장전1,2018-07-01,S11,7.452,,,,,,,2018-07
JR장전1,2018-08-01,S11,7.783,,,,,,,2018-08
JR장전1,2018-09-01,S11,9.895,,,,,,,2018-09
JR장전1,2018-10-01,S11,12.808,,,,,,,2018-10
JR장전1,2018-11-01,S11,14.346,,,,,,,2018-11
JR장전1,2018-12-01,S11,13.644,,,,,,,2018-12
JR장전1,2019-01-01,S11,12.204,,,,,,,2019-01
JR장전1,2019-02-01,S11,10.819,,,,,,,2019-02
JR장전1,2019-03-01,S11,9.462,,,,,,,2019-03
JR장전1,2019-04-01,S11,8.172,,,,,,,2019-04
JR장전1,2019-05-01,S11,7.036,,,,,,,2019-05
JR장전1,2019-06-01,S11,6.302,,,,,,,2019-06
JR장전1,2019-07-01,S11,6.451,,,,,,,2019-07
JR장전1,2019-08-01,S11,8.85,,,,,,,2019-08
JR장전1,2019-09-01,S11,12.321,,,,,,,2019-09
JR장전1,2019-10-01,S11,19.853,,,,,,,2019-10
JR장전1,2019-11-01,S11,22.185,,,,,,,2019-11
JR장전1,2019-12-01,S11,20.524,,,,,,,2019-12
JR장전1,2020-01-01,S11,18.128,,,,,,,2020-01
JR장전1,2020-02-01,S11,16.172,,,,,,,2020-02
JR장전1,2020-03-01,S11,14.332,,,,,,,2020-03
JR장전1,2020-04-01,S11,12.788,,,,,,,2020-04
JR장전1,2020-05-01,S11,11.472,,,,,,,2020-05
JR장전1,2020-06-01,S11,10.395,,,,,,,2020-06
JR장전1,2020-07-01,S11,10.982,,,,,,,2020-07
JR장전1,2020-08-01,S11,12.125,,,,,,,2020-08
JR장전1,2020-09-01,S11,15.544,,,,,,,2020-09
JR장전1,2020-10-01,S11,20.206,,,,,,,2020-10
JR장전1,2020-11-01,S11,19.922,,,,,,,2020-11
JR장전1,2020-12-01,S11,18.066,,,,,,,2020-12
JR장전1,2021-01-01,S11,15.846,,,,,,,2021-01
JR장전1,2021-02-01,S11,14.06,,,,,,,2021-02
JR장전1,2021-03-01,S11,12.555,,,,,,,2021-03
JR장전1,2021-04-01,S11,11.347,,,,,,,2021-04
JR장전1,2021-05-01,S11,10.454,,,,,,,2021-05
JR장전1,2021-06-01,S11,10.137,,,,,,,2021-06
JR장전1,2021-07-01,S11,10.159,,,,,,,2021-07
JR장전1,2021-08-01,S11,10.15,,,,,,,2021-08
JR장전1,2021-09-01,S11,11.338,,,,,,,2021-09
JR장전1,2021-10-01,S11,13.586,,,,,,,2021-10
JR장전1,2021-11-01,S11,13.744,,,,,,,2021-11
JR장전1,2021-12-01,S11,12.869,,,,,,,2021-12
JR장전1,2022-01-01,S11,11.496,,,,,,,2022-01
JR장전1,2022-02-01,S11,10.141,,,,,,,2022-02
JR장전1,2022-03-01,S11,8.996,,,,,,,2022-03
JR장전1,2022-04-01,S11,8.431,,,,,,,2022-04
JR장전1,2022-05-01,S11,7.996,,,,,,,2022-05
JR장전1,2022-06-01,S11,7.451,,,,,,,2022-06
JR장전1,2022-07-01,S11,7.097,,,,,,,2022-07
JR장전1,2022-08-01,S11,6.842,,,,,,,2022-08
JR장전1,2022-09-01,S11,7.548,,,,,,,2022-09
JR장전1,2022-10-01,S11,8.431,,,,,,,2022-10
JR장전1,2022-11-01,S11,8.386,,,,,,,2022-11
JR장전1,2022-12-01,S11,7.917,,,,,,,2022-12
JR장전1,2023-01-01,S11,7.273,,,,,,,2023-01
JR장전1,2023-02-01,S11,6.901,,,,,,,2023-02
JR장전1,2023-03-01,S11,6.64,,,,,,,2023-03
JR장전1,2023-04-01,S11,6.459,,,,,,,2023-04
JR장전1,2023-05-01,S11,7.56,,,,,,,2023-05
JR장전1,2023-06-01,S11,9.445,,,,,,,2023-06
JR장전1,2023-07-01,S11,11.275,,,,,,,2023-07
JR장전1,2023-08-01,S11,13.735,,,,,,,2023-08
JR장전1,2023-09-01,S11,14.993,,,,,,,2023-09
JR장전1,2023-10-01,S11,15.709,,,,,,,2023-10
JR장전1,2023-11-01,S11,15.061,,,,,,,2023-11
JR장전1,2023-12-01,S11,13.804,,,,,,,2023-12
JR장전1,2024-01-01,S11,12.382,,,,,,,2024-01
JR장전1,2024-02-01,S11,11.381,,,,,,,2024-02
JR장전1,2024-03-01,S11,10.986,,,,,,,2024-03
JR장전1,2024-04-01,S11,10.75,,,,,,,2024-04
JR장전1,2024-05-01,S11,10.383,,,,,,,2024-05
JR장전1,2024-06-01,S11,10.453,,,,,,,2024-06
JR장전1,2024-07-01,S11,11.782,,,,,,,2024-07
JR장전1,2024-08-01,S11,12.27,,,,,,,2024-08
JR장전1,2024-09-01,S11,11.967,,,,,,,2024-09
JR장전1,2024-10-01,S11,12.403,,,,,,,2024-10
JR장전1,2024-11-01,S11,13.576,,,,,,,2024-11
JR장전1,2024-12-01,S11,13.919,,,,,,,2024-12
JR장전1,2025-01-01,S11,13.067,,,,,,,2025-01
JR장전1,2025-02-01,S11,11.877,,,,,,,2025-02
JR장전1,2025-03-01,S11,10.729,,,,,,,2025-03
JR장전1,2025-04-01,S11,9.682,,,,,,,2025-04
JR장전1,2025-05-01,S11,8.914,,,,,,,2025-05
JR장전1,2025-06-01,S11,8.462,,,,,,,2025-06
JR장전1,2025-07-01,S11,8.233,,,,,,,2025-07
JR장전1,2025-08-01,S11,7.977,,,,,,,2025-08
JR장전1,2025-09-01,S11,7.955,,,,,,,2025-09
JR장전1,2025-10-01,S11,8.97,,,,,,,2025-10
JR장전1,2025-11-01,S11,8.971,,,,,,,2025-11
JR장전1,2025-12-01,S11,8.29,,,,,,,2025-12
JR장전1,2026-01-01,S11,7.408,,,,,,,2026-01
JR장전1,2026-02-01,S11,6.643,,,,,,,2026-02
JR장전1,2026-03-01,S11,6.123,,,,,,,2026-03
JR장전1,2026-04-01,S11,5.865,,,,,,,2026-04
