관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JR토평1,2005-01-01,S11,2.485,,,,,,,2005-01
JR토평1,2005-02-01,S11,2.051,,,,,,,2005-02
JR토평1,2005-03-01,S11,1.84,,,,,,,2005-03
JR토평1,2005-04-01,S11,2.191,,,,,,,2005-04
JR토평1,2005-05-01,S11,2.786,,,,,,,2005-05
JR토평1,2005-06-01,S11,3.529,,,,,,,2005-06
JR토평1,2005-07-01,S11,3.38,,,,,,,2005-07
JR토평1,2005-08-01,S11,3.28,,,,,,,2005-08
JR토평1,2005-09-01,S11,3.746,,,,,,,2005-09
JR토평1,2005-10-01,S11,3.238,,,,,,,2005-10
JR토평1,2005-11-01,S11,2.674,,,,,,,2005-11
JR토평1,2005-12-01,S11,2.201,,,,,,,2005-12
JR토평1,2006-01-01,S11,2.038,,,,,,,2006-01
JR토평1,2006-02-01,S11,1.86,,,,,,,2006-02
JR토평1,2006-03-01,S11,1.75,,,,,,,2006-03
JR토평1,2006-04-01,S11,2.39,,,,,,,2006-04
JR토평1,2006-05-01,S11,3.156,,,,,,,2006-05
JR토평1,2006-06-01,S11,3.939,,,,,,,2006-06
JR토평1,2006-07-01,S11,7.695,,,,,,,2006-07
JR토평1,2006-08-01,S11,7.525,,,,,,,2006-08
JR토평1,2006-09-01,S11,6.616,,,,,,,2006-09
JR토평1,2006-10-01,S11,5.726,,,,,,,2006-10
JR토평1,2006-11-01,S11,4.178,,,,,,,2006-11
JR토평1,2006-12-01,S11,2.96,,,,,,,2006-12
JR토평1,2007-01-01,S11,2.271,,,,,,,2007-01
JR토평1,2007-02-01,S11,1.905,,,,,,,2007-02
JR토평1,2007-03-01,S11,1.822,,,,,,,2007-03
JR토평1,2007-04-01,S11,1.706,,,,,,,2007-04
JR토평1,2007-05-01,S11,1.815,,,,,,,2007-05
JR토평1,2007-06-01,S11,2.055,,,,,,,2007-06
JR토평1,2007-07-01,S11,5.209,,,,,,,2007-07
JR토평1,2007-08-01,S11,6.69,,,,,,,2007-08
JR토평1,2007-09-01,S11,9.88,,,,,,,2007-09
JR토평1,2007-10-01,S11,9.998,,,,,,,2007-10
JR토평1,2007-11-01,S11,6.702,,,,,,,2007-11
JR토평1,2007-12-01,S11,4.808,,,,,,,2007-12
JR토평1,2008-01-01,S11,3.287,,,,,,,2008-01
JR토평1,2008-02-01,S11,2.086,,,,,,,2008-02
JR토평1,2008-03-01,S11,1.856,,,,,,,2008-03
JR토평1,2008-04-01,S11,1.804,,,,,,,2008-04
JR토평1,2008-05-01,S11,1.904,,,,,,,2008-05
JR토평1,2008-06-01,S11,3.046,,,,,,,2008-06
JR토평1,2008-07-01,S11,5.342,,,,,,,2008-07
JR토평1,2008-08-01,S11,4.61,,,,,,,2008-08
JR토평1,2008-09-01,S11,3.799,,,,,,,2008-09
JR토평1,2008-10-01,S11,3.808,,,,,,,2008-10
JR토평1,2008-11-01,S11,2.865,,,,,,,2008-11
JR토평1,2008-12-01,S11,2.238,,,,,,,2008-12
JR토평1,2009-01-01,S11,1.848,,,,,,,2009-01
JR토평1,2009-02-01,S11,1.725,,,,,,,2009-02
JR토평1,2009-03-01,S11,2.067,,,,,,,2009-03
JR토평1,2009-04-01,S11,2.596,,,,,,,2009-04
JR토평1,2009-05-01,S11,2.866,,,,,,,2009-05
JR토평1,2009-06-01,S11,2.853,,,,,,,2009-06
JR토평1,2009-07-01,S11,4.246,,,,,,,2009-07
JR토평1,2009-08-01,S11,6.21,,,,,,,2009-08
JR토평1,2009-09-01,S11,5.684,,,,,,,2009-09
JR토평1,2009-10-01,S11,4.623,,,,,,,2009-10
JR토평1,2009-11-01,S11,3.466,,,,,,,2009-11
JR토평1,2009-12-01,S11,2.677,,,,,,,2009-12
JR토평1,2010-01-01,S11,2.067,,,,,,,2010-01
JR토평1,2010-02-01,S11,1.868,,,,,,,2010-02
JR토평1,2010-03-01,S11,1.851,,,,,,,2010-03
JR토평1,2010-04-01,S11,3.217,,,,,,,2010-04
JR토평1,2010-05-01,S11,5.272,,,,,,,2010-05
JR토평1,2010-06-01,S11,5.28,,,,,,,2010-06
JR토평1,2010-07-01,S11,8.417,,,,,,,2010-07
JR토평1,2010-08-01,S11,9.604,,,,,,,2010-08
JR토평1,2010-09-01,S11,12.367,,,,,,,2010-09
JR토평1,2010-10-01,S11,8.847,,,,,,,2010-10
JR토평1,2010-11-01,S11,5.945,,,,,,,2010-11
JR토평1,2010-12-01,S11,4.033,,,,,,,2010-12
JR토평1,2011-01-01,S11,2.732,,,,,,,2011-01
JR토평1,2011-02-01,S11,2.06,,,,,,,2011-02
JR토평1,2011-03-01,S11,1.719,,,,,,,2011-03
JR토평1,2011-04-01,S11,1.602,,,,,,,2011-04
JR토평1,2011-05-01,S11,1.785,,,,,,,2011-05
JR토평1,2011-06-01,S11,2.922,,,,,,,2011-06
JR토평1,2011-07-01,S11,6.605,,,,,,,2011-07
JR토평1,2011-08-01,S11,6.636,,,,,,,2011-08
JR토평1,2011-09-01,S11,6.139,,,,,,,2011-09
JR토평1,2011-10-01,S11,5.075,,,,,,,2011-10
JR토평1,2011-11-01,S11,5.077,,,,,,,2011-11
JR토평1,2011-12-01,S11,5.339,,,,,,,2011-12
JR토평1,2012-01-01,S11,3.265,,,,,,,2012-01
JR토평1,2012-02-01,S11,2.529,,,,,,,2012-02
JR토평1,2012-03-01,S11,2.204,,,,,,,2012-03
JR토평1,2012-04-01,S11,3.002,,,,,,,2012-04
JR토평1,2012-05-01,S11,6.903,,,,,,,2012-05
JR토평1,2012-06-01,S11,6.002,,,,,,,2012-06
JR토평1,2012-07-01,S11,5.041,,,,,,,2012-07
JR토평1,2012-08-01,S11,7.078,,,,,,,2012-08
JR토평1,2012-09-01,S11,12.885,,,,,,,2012-09
JR토평1,2012-10-01,S11,8.851,,,,,,,2012-10
JR토평1,2012-11-01,S11,5.963,,,,,,,2012-11
JR토평1,2012-12-01,S11,4.036,,,,,,,2012-12
JR토평1,2013-01-01,S11,2.986,,,,,,,2013-01
JR토평1,2013-02-01,S11,2.823,,,,,,,2013-02
JR토평1,2013-03-01,S11,2.921,,,,,,,2013-03
JR토평1,2013-04-01,S11,2.841,,,,,,,2013-04
JR토평1,2013-05-01,S11,3.224,,,,,,,2013-05
JR토평1,2013-06-01,S11,4.412,,,,,,,2013-06
JR토평1,2013-07-01,S11,4.804,,,,,,,2013-07
JR토평1,2013-08-01,S11,3.599,,,,,,,2013-08
JR토평1,2013-09-01,S11,3.069,,,,,,,2013-09
JR토평1,2013-10-01,S11,2.698,,,,,,,2013-10
JR토평1,2013-11-01,S11,2.353,,,,,,,2013-11
JR토평1,2013-12-01,S11,1.778,,,,,,,2013-12
JR토평1,2014-01-01,S11,1.635,,,,,,,2014-01
JR토평1,2014-02-01,S11,1.625,,,,,,,2014-02
JR토평1,2014-03-01,S11,1.669,,,,,,,2014-03
JR토평1,2014-04-01,S11,1.98,,,,,,,2014-04
JR토평1,2014-05-01,S11,2.999,,,,,,,2014-05
JR토평1,2014-06-01,S11,6.072,,,,,,,2014-06
JR토평1,2014-07-01,S11,7.159,,,,,,,2014-07
JR토평1,2014-08-01,S11,9.709,,,,,,,2014-08
JR토평1,2014-09-01,S11,10.024,,,,,,,2014-09
JR토평1,2014-10-01,S11,7.134,,,,,,,2014-10
JR토평1,2014-11-01,S11,5.184,,,,,,,2014-11
JR토평1,2014-12-01,S11,3.697,,,,,,,2014-12
JR토평1,2015-01-01,S11,2.69,,,,,,,2015-01
JR토평1,2015-02-01,S11,2.194,,,,,,,2015-02
JR토평1,2015-03-01,S11,2.2,,,,,,,2015-03
JR토평1,2015-04-01,S11,3.268,,,,,,,2015-04
JR토평1,2015-05-01,S11,7.303,,,,,,,2015-05
JR토평1,2015-06-01,S11,7.006,,,,,,,2015-06
JR토평1,2015-07-01,S11,8.724,,,,,,,2015-07
JR토평1,2015-08-01,S11,7.84,,,,,,,2015-08
JR토평1,2015-09-01,S11,5.958,,,,,,,2015-09
JR토평1,2015-10-01,S11,5.969,,,,,,,2015-10
JR토평1,2015-11-01,S11,4.982,,,,,,,2015-11
JR토평1,2015-12-01,S11,4.441,,,,,,,2015-12
JR토평1,2016-01-01,S11,3.55,,,,,,,2016-01
JR토평1,2016-02-01,S11,3.121,,,,,,,2016-02
JR토평1,2016-03-01,S11,3.762,,,,,,,2016-03
JR토평1,2016-04-01,S11,4.134,,,,,,,2016-04
JR토평1,2016-05-01,S11,5.795,,,,,,,2016-05
JR토평1,2016-06-01,S11,5.858,,,,,,,2016-06
JR토평1,2016-07-01,S11,6.693,,,,,,,2016-07
JR토평1,2016-08-01,S11,6.232,,,,,,,2016-08
JR토평1,2016-09-01,S11,4.568,,,,,,,2016-09
