관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JR회수2,2005-01-01,S11,97.009,,,,,,,2005-01
JR회수2,2005-02-01,S11,95.674,,,,,,,2005-02
JR회수2,2005-03-01,S11,94.664,,,,,,,2005-03
JR회수2,2005-04-01,S11,94.038,,,,,,,2005-04
JR회수2,2005-05-01,S11,93.969,,,,,,,2005-05
JR회수2,2005-06-01,S11,94.716,,,,,,,2005-06
JR회수2,2005-07-01,S11,94.416,,,,,,,2005-07
JR회수2,2005-08-01,S11,94.134,,,,,,,2005-08
JR회수2,2005-09-01,S11,94.587,,,,,,,2005-09
JR회수2,2005-10-01,S11,93.989,,,,,,,2005-10
JR회수2,2005-11-01,S11,93.474,,,,,,,2005-11
JR회수2,2005-12-01,S11,91.904,,,,,,,2005-12
JR회수2,2006-01-01,S11,92.354,,,,,,,2006-01
JR회수2,2006-02-01,S11,91.912,,,,,,,2006-02
JR회수2,2006-03-01,S11,91.559,,,,,,,2006-03
JR회수2,2006-04-01,S11,91.527,,,,,,,2006-04
JR회수2,2006-05-01,S11,92.592,,,,,,,2006-05
JR회수2,2006-06-01,S11,93.48,,,,,,,2006-06
JR회수2,2006-11-01,S11,95.949,,,,,,,2006-11
JR회수2,2006-12-01,S11,94.731,,,,,,,2006-12
JR회수2,2007-01-01,S11,85.07,,,,,,,2007-01
JR회수2,2007-02-01,S11,81.328,,,,,,,2007-02
JR회수2,2007-03-01,S11,81.404,,,,,,,2007-03
JR회수2,2007-04-01,S11,81.018,,,,,,,2007-04
JR회수2,2007-05-01,S11,80.793,,,,,,,2007-05
JR회수2,2007-06-01,S11,80.652,,,,,,,2007-06
JR회수2,2007-07-01,S11,96.066,,,,,,,2007-07
JR회수2,2007-08-01,S11,89.898,,,,,,,2007-08
JR회수2,2007-09-01,S11,109.644,,,,,,,2007-09
JR회수2,2007-10-01,S11,111.812,,,,,,,2007-10
JR회수2,2007-11-01,S11,103.188,,,,,,,2007-11
JR회수2,2007-12-01,S11,93.668,,,,,,,2007-12
JR회수2,2008-01-01,S11,88.039,,,,,,,2008-01
JR회수2,2008-02-01,S11,81.659,,,,,,,2008-02
JR회수2,2008-03-01,S11,75.676,,,,,,,2008-03
JR회수2,2008-04-01,S11,74.112,,,,,,,2008-04
JR회수2,2008-05-01,S11,72.712,,,,,,,2008-05
JR회수2,2008-06-01,S11,76.92,,,,,,,2008-06
JR회수2,2008-07-01,S11,83.392,,,,,,,2008-07
JR회수2,2008-08-01,S11,74.572,,,,,,,2008-08
JR회수2,2008-09-01,S11,72.676,,,,,,,2008-09
JR회수2,2008-10-01,S11,71.086,,,,,,,2008-10
JR회수2,2008-11-01,S11,70.004,,,,,,,2008-11
JR회수2,2008-12-01,S11,69.004,,,,,,,2008-12
JR회수2,2009-01-01,S11,67.746,,,,,,,2009-01
JR회수2,2009-02-01,S11,66.664,,,,,,,2009-02
JR회수2,2009-03-01,S11,66.633,,,,,,,2009-03
JR회수2,2009-04-01,S11,67.42,,,,,,,2009-04
JR회수2,2009-05-01,S11,67.874,,,,,,,2009-05
JR회수2,2009-06-01,S11,68.104,,,,,,,2009-06
JR회수2,2009-07-01,S11,75.356,,,,,,,2009-07
JR회수2,2009-08-01,S11,87.285,,,,,,,2009-08
JR회수2,2009-09-01,S11,75.6,,,,,,,2009-09
JR회수2,2009-10-01,S11,72.318,,,,,,,2009-10
JR회수2,2009-11-01,S11,70.337,,,,,,,2009-11
JR회수2,2009-12-01,S11,68.631,,,,,,,2009-12
JR회수2,2010-01-01,S11,67.588,,,,,,,2010-01
JR회수2,2010-02-01,S11,67.046,,,,,,,2010-02
JR회수2,2010-03-01,S11,67.783,,,,,,,2010-03
JR회수2,2010-04-01,S11,73.661,,,,,,,2010-04
JR회수2,2010-05-01,S11,78.369,,,,,,,2010-05
JR회수2,2010-06-01,S11,79.654,,,,,,,2010-06
JR회수2,2010-07-01,S11,102.416,,,,,,,2010-07
JR회수2,2010-08-01,S11,103.089,,,,,,,2010-08
JR회수2,2010-09-01,S11,112.897,,,,,,,2010-09
JR회수2,2010-10-01,S11,110.639,,,,,,,2010-10
JR회수2,2010-11-01,S11,94.08,,,,,,,2010-11
JR회수2,2010-12-01,S11,81.999,,,,,,,2010-12
JR회수2,2011-01-01,S11,77.23,,,,,,,2011-01
JR회수2,2011-02-01,S11,74.241,,,,,,,2011-02
JR회수2,2011-03-01,S11,72.446,,,,,,,2011-03
JR회수2,2011-04-01,S11,71.238,,,,,,,2011-04
JR회수2,2011-05-01,S11,70.392,,,,,,,2011-05
JR회수2,2011-06-01,S11,69.866,,,,,,,2011-06
JR회수2,2011-07-01,S11,90.353,,,,,,,2011-07
JR회수2,2011-08-01,S11,88.502,,,,,,,2011-08
JR회수2,2011-09-01,S11,82.898,,,,,,,2011-09
JR회수2,2011-10-01,S11,77.402,,,,,,,2011-10
JR회수2,2011-11-01,S11,75.56,,,,,,,2011-11
JR회수2,2011-12-01,S11,77.737,,,,,,,2011-12
JR회수2,2012-02-01,S11,71.498,,,,,,,2012-02
JR회수2,2012-03-01,S11,70.246,,,,,,,2012-03
JR회수2,2012-04-01,S11,73.907,,,,,,,2012-04
JR회수2,2012-05-01,S11,89.761,,,,,,,2012-05
JR회수2,2012-06-01,S11,74.039,,,,,,,2012-06
JR회수2,2012-07-01,S11,71.465,,,,,,,2012-07
JR회수2,2012-08-01,S11,80.976,,,,,,,2012-08
JR회수2,2012-09-01,S11,111.168,,,,,,,2012-09
JR회수2,2012-10-01,S11,109.095,,,,,,,2012-10
JR회수2,2012-11-01,S11,93.978,,,,,,,2012-11
JR회수2,2013-01-01,S11,70.534,,,,,,,2013-01
JR회수2,2013-02-01,S11,68.192,,,,,,,2013-02
JR회수2,2013-03-01,S11,67.119,,,,,,,2013-03
JR회수2,2013-04-01,S11,66.481,,,,,,,2013-04
JR회수2,2013-05-01,S11,66.074,,,,,,,2013-05
JR회수2,2013-06-01,S11,75.385,,,,,,,2013-06
JR회수2,2013-07-01,S11,70.375,,,,,,,2013-07
JR회수2,2013-08-01,S11,68.488,,,,,,,2013-08
JR회수2,2013-09-01,S11,67.528,,,,,,,2013-09
JR회수2,2013-11-01,S11,65.175,,,,,,,2013-11
JR회수2,2013-12-01,S11,64.875,,,,,,,2013-12
JR회수2,2014-01-01,S11,64.446,,,,,,,2014-01
JR회수2,2014-02-01,S11,64.12,,,,,,,2014-02
JR회수2,2014-03-01,S11,63.453,,,,,,,2014-03
JR회수2,2014-04-01,S11,63.835,,,,,,,2014-04
JR회수2,2014-05-01,S11,65.243,,,,,,,2014-05
JR회수2,2014-06-01,S11,75.301,,,,,,,2014-06
JR회수2,2014-07-01,S11,81.748,,,,,,,2014-07
JR회수2,2014-08-01,S11,105.344,,,,,,,2014-08
JR회수2,2014-09-01,S11,94.381,,,,,,,2014-09
JR회수2,2014-10-01,S11,79.775,,,,,,,2014-10
JR회수2,2014-11-01,S11,72.735,,,,,,,2014-11
JR회수2,2014-12-01,S11,68.985,,,,,,,2014-12
JR회수2,2015-01-01,S11,67.062,,,,,,,2015-01
JR회수2,2015-02-01,S11,65.644,,,,,,,2015-02
JR회수2,2015-03-01,S11,65.603,,,,,,,2015-03
JR회수2,2015-04-01,S11,82.274,,,,,,,2015-04
JR회수2,2015-05-01,S11,108.636,,,,,,,2015-05
JR회수2,2015-06-01,S11,88.526,,,,,,,2015-06
JR회수2,2015-07-01,S11,98.619,,,,,,,2015-07
JR회수2,2015-08-01,S11,94.473,,,,,,,2015-08
JR회수2,2015-09-01,S11,77.693,,,,,,,2015-09
JR회수2,2015-10-01,S11,74.017,,,,,,,2015-10
JR회수2,2015-11-01,S11,71.107,,,,,,,2015-11
JR회수2,2015-12-01,S11,69.313,,,,,,,2015-12
JR회수2,2016-01-01,S11,68.035,,,,,,,2016-01
JR회수2,2016-02-01,S11,69.669,,,,,,,2016-02
JR회수2,2016-04-01,S11,77.818,,,,,,,2016-04
JR회수2,2016-05-01,S11,99.198,,,,,,,2016-05
JR회수2,2016-06-01,S11,82.763,,,,,,,2016-06
JR회수2,2016-07-01,S11,105.212,,,,,,,2016-07
JR회수2,2016-08-01,S11,90.692,,,,,,,2016-08
JR회수2,2016-09-01,S11,76.278,,,,,,,2016-09
JR회수2,2016-10-01,S11,75.276,,,,,,,2016-10
JR회수2,2016-11-01,S11,71.694,,,,,,,2016-11
JR회수2,2016-12-01,S11,68.447,,,,,,,2016-12
JR회수2,2017-01-01,S11,66.81,,,,,,,2017-01
JR회수2,2017-02-01,S11,65.716,,,,,,,2017-02
JR회수2,2017-03-01,S11,64.605,,,,,,,2017-03
JR회수2,2017-04-01,S11,64.32,,,,,,,2017-04
JR회수2,2017-05-01,S11,64.564,,,,,,,2017-05
JR회수2,2017-06-01,S11,63.483,,,,,,,2017-06
JR회수2,2017-07-01,S11,62.897,,,,,,,2017-07
JR회수2,2017-08-01,S11,62.72,,,,,,,2017-08
JR회수2,2017-09-01,S11,62.277,,,,,,,2017-09
JR회수2,2017-10-01,S11,62.863,,,,,,,2017-10
JR회수2,2017-11-01,S11,62.41,,,,,,,2017-11
