관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JW예래,2005-01-01,S11,24.957,,,,,,,2005-01
JW예래,2005-02-01,S11,24.944,,,,,,,2005-02
JW예래,2005-03-01,S11,24.981,,,,,,,2005-03
JW예래,2005-04-01,S11,24.99,,,,,,,2005-04
JW예래,2005-05-01,S11,24.975,,,,,,,2005-05
JW예래,2005-06-01,S11,24.95,,,,,,,2005-06
JW예래,2005-07-01,S11,24.928,,,,,,,2005-07
JW예래,2005-08-01,S11,24.947,,,,,,,2005-08
JW예래,2005-09-01,S11,24.974,,,,,,,2005-09
JW예래,2005-10-01,S11,24.947,,,,,,,2005-10
JW예래,2005-11-01,S11,24.918,,,,,,,2005-11
JW예래,2005-12-01,S11,24.892,,,,,,,2005-12
JW예래,2006-01-01,S11,24.915,,,,,,,2006-01
JW예래,2006-02-01,S11,24.916,,,,,,,2006-02
JW예래,2006-03-01,S11,24.923,,,,,,,2006-03
JW예래,2006-04-01,S11,24.987,,,,,,,2006-04
JW예래,2006-05-01,S11,25.03,,,,,,,2006-05
JW예래,2006-06-01,S11,25.067,,,,,,,2006-06
JW예래,2006-07-01,S11,25.197,,,,,,,2006-07
JW예래,2006-08-01,S11,25.219,,,,,,,2006-08
JW예래,2006-10-01,S11,25.047,,,,,,,2006-10
JW예래,2006-11-01,S11,24.952,,,,,,,2006-11
JW예래,2006-12-01,S11,24.947,,,,,,,2006-12
JW예래,2007-01-01,S11,24.931,,,,,,,2007-01
JW예래,2007-02-01,S11,24.845,,,,,,,2007-02
JW예래,2007-03-01,S11,24.827,,,,,,,2007-03
JW예래,2007-04-01,S11,24.795,,,,,,,2007-04
JW예래,2007-05-01,S11,24.745,,,,,,,2007-05
JW예래,2007-06-01,S11,24.727,,,,,,,2007-06
JW예래,2007-07-01,S11,24.844,,,,,,,2007-07
JW예래,2007-08-01,S11,24.974,,,,,,,2007-08
JW예래,2007-09-01,S11,24.98,,,,,,,2007-09
JW예래,2007-10-01,S11,25.058,,,,,,,2007-10
JW예래,2007-11-01,S11,25.095,,,,,,,2007-11
JW예래,2007-12-01,S11,25.007,,,,,,,2007-12
JW예래,2008-01-01,S11,24.976,,,,,,,2008-01
JW예래,2008-02-01,S11,24.913,,,,,,,2008-02
JW예래,2008-03-01,S11,24.83,,,,,,,2008-03
JW예래,2008-04-01,S11,24.8,,,,,,,2008-04
JW예래,2008-05-01,S11,24.704,,,,,,,2008-05
JW예래,2008-06-01,S11,24.722,,,,,,,2008-06
JW예래,2008-07-01,S11,24.823,,,,,,,2008-07
JW예래,2008-08-01,S11,24.737,,,,,,,2008-08
JW예래,2008-09-01,S11,24.699,,,,,,,2008-09
JW예래,2008-10-01,S11,24.77,,,,,,,2008-10
JW예래,2008-11-01,S11,24.755,,,,,,,2008-11
JW예래,2008-12-01,S11,24.736,,,,,,,2008-12
JW예래,2009-03-01,S11,24.768,,,,,,,2009-03
JW예래,2009-04-01,S11,24.802,,,,,,,2009-04
JW예래,2009-05-01,S11,24.759,,,,,,,2009-05
JW예래,2009-06-01,S11,24.698,,,,,,,2009-06
JW예래,2009-07-01,S11,24.756,,,,,,,2009-07
JW예래,2009-08-01,S11,24.79,,,,,,,2009-08
JW예래,2009-09-01,S11,24.694,,,,,,,2009-09
JW예래,2009-10-01,S11,24.585,,,,,,,2009-10
JW예래,2009-11-01,S11,24.48,,,,,,,2009-11
JW예래,2009-12-01,S11,24.405,,,,,,,2009-12
JW예래,2010-01-01,S11,24.367,,,,,,,2010-01
JW예래,2010-02-01,S11,24.403,,,,,,,2010-02
JW예래,2010-03-01,S11,24.464,,,,,,,2010-03
JW예래,2010-04-01,S11,24.608,,,,,,,2010-04
JW예래,2010-05-01,S11,24.673,,,,,,,2010-05
JW예래,2010-06-01,S11,24.688,,,,,,,2010-06
JW예래,2010-07-01,S11,24.824,,,,,,,2010-07
JW예래,2010-08-01,S11,24.933,,,,,,,2010-08
JW예래,2010-09-01,S11,25.031,,,,,,,2010-09
JW예래,2010-10-01,S11,24.982,,,,,,,2010-10
JW예래,2010-11-01,S11,24.863,,,,,,,2010-11
JW예래,2010-12-01,S11,24.769,,,,,,,2010-12
JW예래,2011-01-01,S11,24.689,,,,,,,2011-01
JW예래,2011-02-01,S11,24.709,,,,,,,2011-02
JW예래,2011-03-01,S11,24.676,,,,,,,2011-03
JW예래,2011-04-01,S11,24.679,,,,,,,2011-04
JW예래,2011-05-01,S11,24.675,,,,,,,2011-05
JW예래,2011-06-01,S11,24.715,,,,,,,2011-06
JW예래,2011-07-01,S11,24.819,,,,,,,2011-07
JW예래,2011-08-01,S11,24.865,,,,,,,2011-08
JW예래,2011-09-01,S11,24.861,,,,,,,2011-09
JW예래,2011-10-01,S11,24.822,,,,,,,2011-10
JW예래,2011-11-01,S11,24.617,,,,,,,2011-11
JW예래,2011-12-01,S11,24.58,,,,,,,2011-12
JW예래,2012-01-01,S11,24.562,,,,,,,2012-01
JW예래,2012-02-01,S11,24.531,,,,,,,2012-02
JW예래,2012-03-01,S11,24.532,,,,,,,2012-03
JW예래,2012-04-01,S11,24.606,,,,,,,2012-04
JW예래,2012-05-01,S11,24.682,,,,,,,2012-05
JW예래,2012-06-01,S11,24.694,,,,,,,2012-06
JW예래,2012-07-01,S11,24.687,,,,,,,2012-07
JW예래,2012-08-01,S11,24.697,,,,,,,2012-08
JW예래,2012-09-01,S11,24.803,,,,,,,2012-09
JW예래,2012-10-01,S11,24.842,,,,,,,2012-10
JW예래,2012-11-01,S11,24.68,,,,,,,2012-11
JW예래,2012-12-01,S11,24.656,,,,,,,2012-12
JW예래,2013-01-01,S11,24.617,,,,,,,2013-01
JW예래,2013-02-01,S11,24.635,,,,,,,2013-02
JW예래,2013-03-01,S11,24.645,,,,,,,2013-03
JW예래,2013-04-01,S11,24.634,,,,,,,2013-04
JW예래,2013-05-01,S11,24.644,,,,,,,2013-05
JW예래,2013-06-01,S11,24.645,,,,,,,2013-06
JW예래,2013-07-01,S11,24.645,,,,,,,2013-07
JW예래,2013-08-01,S11,24.556,,,,,,,2013-08
JW예래,2013-09-01,S11,24.474,,,,,,,2013-09
JW예래,2013-10-01,S11,24.442,,,,,,,2013-10
JW예래,2013-11-01,S11,24.415,,,,,,,2013-11
JW예래,2013-12-01,S11,24.394,,,,,,,2013-12
JW예래,2014-01-01,S11,24.379,,,,,,,2014-01
JW예래,2014-02-01,S11,24.384,,,,,,,2014-02
JW예래,2014-03-01,S11,24.426,,,,,,,2014-03
JW예래,2014-04-01,S11,24.476,,,,,,,2014-04
JW예래,2014-05-01,S11,24.526,,,,,,,2014-05
JW예래,2014-06-01,S11,24.575,,,,,,,2014-06
JW예래,2014-07-01,S11,24.609,,,,,,,2014-07
JW예래,2014-08-01,S11,24.661,,,,,,,2014-08
JW예래,2014-09-01,S11,24.65,,,,,,,2014-09
JW예래,2014-10-01,S11,24.591,,,,,,,2014-10
JW예래,2014-11-01,S11,24.557,,,,,,,2014-11
JW예래,2014-12-01,S11,24.593,,,,,,,2014-12
JW예래,2015-01-01,S11,24.517,,,,,,,2015-01
JW예래,2015-02-01,S11,24.491,,,,,,,2015-02
JW예래,2015-03-01,S11,24.484,,,,,,,2015-03
JW예래,2015-04-01,S11,24.558,,,,,,,2015-04
JW예래,2015-05-01,S11,24.725,,,,,,,2015-05
JW예래,2015-06-01,S11,24.776,,,,,,,2015-06
JW예래,2015-07-01,S11,24.821,,,,,,,2015-07
JW예래,2015-08-01,S11,24.876,,,,,,,2015-08
JW예래,2015-09-01,S11,24.83,,,,,,,2015-09
JW예래,2015-10-01,S11,24.817,,,,,,,2015-10
JW예래,2015-11-01,S11,24.764,,,,,,,2015-11
JW예래,2015-12-01,S11,24.728,,,,,,,2015-12
JW예래,2016-01-01,S11,24.726,,,,,,,2016-01
JW예래,2016-02-01,S11,24.739,,,,,,,2016-02
JW예래,2016-03-01,S11,24.795,,,,,,,2016-03
JW예래,2016-04-01,S11,24.832,,,,,,,2016-04
JW예래,2016-05-01,S11,24.871,,,,,,,2016-05
JW예래,2016-06-01,S11,24.885,,,,,,,2016-06
JW예래,2016-07-01,S11,24.998,,,,,,,2016-07
JW예래,2016-08-01,S11,24.991,,,,,,,2016-08
JW예래,2016-09-01,S11,24.876,,,,,,,2016-09
JW예래,2016-10-01,S11,24.854,,,,,,,2016-10
JW예래,2016-11-01,S11,24.813,,,,,,,2016-11
JW예래,2016-12-01,S11,24.749,,,,,,,2016-12
JW예래,2017-01-01,S11,24.722,,,,,,,2017-01
JW예래,2017-02-01,S11,24.7,,,,,,,2017-02
JW예래,2017-03-01,S11,24.688,,,,,,,2017-03
JW예래,2017-04-01,S11,24.71,,,,,,,2017-04
JW예래,2017-05-01,S11,24.695,,,,,,,2017-05
JW예래,2017-06-01,S11,24.683,,,,,,,2017-06
JW예래,2017-07-01,S11,24.634,,,,,,,2017-07
JW예래,2017-08-01,S11,24.575,,,,,,,2017-08
JW예래,2017-09-01,S11,24.533,,,,,,,2017-09
JW예래,2017-10-01,S11,24.538,,,,,,,2017-10
