관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
PW가시1,2021-04-01,S11,52.186,,,,,,,2021-04
PW가시1,2021-05-01,S11,52.478,,,,,,,2021-05
PW가시1,2021-07-01,S11,53.665,,,,,,,2021-07
PW가시1,2021-08-01,S11,53.635,,,,,,,2021-08
PW가시1,2021-09-01,S11,55.134,,,,,,,2021-09
PW가시1,2021-10-01,S11,59.31,,,,,,,2021-10
PW가시1,2021-11-01,S11,59.106,,,,,,,2021-11
PW가시1,2021-12-01,S11,57.062,,,,,,,2021-12
PW가시1,2022-01-01,S11,54.879,,,,,,,2022-01
PW가시1,2022-02-01,S11,53.086,,,,,,,2022-02
PW가시1,2022-03-01,S11,51.631,,,,,,,2022-03
PW가시1,2022-04-01,S11,50.511,,,,,,,2022-04
PW가시1,2022-05-01,S11,49.809,,,,,,,2022-05
PW가시1,2022-06-01,S11,49.257,,,,,,,2022-06
PW가시1,2022-07-01,S11,48.785,,,,,,,2022-07
PW가시1,2022-08-01,S11,49.371,,,,,,,2022-08
PW가시1,2022-09-01,S11,51.603,,,,,,,2022-09
PW가시1,2022-10-01,S11,54.756,,,,,,,2022-10
PW가시1,2022-11-01,S11,54.645,,,,,,,2022-11
PW가시1,2022-12-01,S11,53.552,,,,,,,2022-12
PW가시1,2023-01-01,S11,52.245,,,,,,,2023-01
PW가시1,2023-02-01,S11,51.171,,,,,,,2023-02
PW가시1,2023-03-01,S11,50.318,,,,,,,2023-03
PW가시1,2023-04-01,S11,49.881,,,,,,,2023-04
PW가시1,2023-05-01,S11,51.219,,,,,,,2023-05
PW가시1,2023-06-01,S11,53.773,,,,,,,2023-06
PW가시1,2023-07-01,S11,56.029,,,,,,,2023-07
PW가시1,2023-08-01,S11,57.724,,,,,,,2023-08
PW가시1,2023-09-01,S11,58.022,,,,,,,2023-09
PW가시1,2023-10-01,S11,57.954,,,,,,,2023-10
PW가시1,2023-11-01,S11,57.168,,,,,,,2023-11
PW가시1,2023-12-01,S11,56.012,,,,,,,2023-12
PW가시1,2024-01-01,S11,54.534,,,,,,,2024-01
PW가시1,2024-02-01,S11,53.53,,,,,,,2024-02
PW가시1,2024-03-01,S11,54.309,,,,,,,2024-03
PW가시1,2024-04-01,S11,55.573,,,,,,,2024-04
PW가시1,2024-05-01,S11,55.885,,,,,,,2024-05
PW가시1,2024-06-01,S11,56.666,,,,,,,2024-06
PW가시1,2024-07-01,S11,57.348,,,,,,,2024-07
PW가시1,2024-08-01,S11,57.46,,,,,,,2024-08
PW가시1,2024-09-01,S11,56.551,,,,,,,2024-09
PW가시1,2024-10-01,S11,55.782,,,,,,,2024-10
PW가시1,2024-11-01,S11,56.525,,,,,,,2024-11
PW가시1,2024-12-01,S11,57.073,,,,,,,2024-12
PW가시1,2025-01-01,S11,56.283,,,,,,,2025-01
PW가시1,2025-02-01,S11,55.008,,,,,,,2025-02
PW가시1,2025-03-01,S11,53.773,,,,,,,2025-03
PW가시1,2025-04-01,S11,52.89,,,,,,,2025-04
PW가시1,2025-05-01,S11,52.555,,,,,,,2025-05
PW가시1,2025-06-01,S11,52.605,,,,,,,2025-06
PW가시1,2025-07-01,S11,52.47,,,,,,,2025-07
PW가시1,2025-08-01,S11,52.017,,,,,,,2025-08
PW가시1,2025-09-01,S11,51.625,,,,,,,2025-09
PW가시1,2025-10-01,S11,52.638,,,,,,,2025-10
PW가시1,2025-11-01,S11,53.327,,,,,,,2025-11
PW가시1,2025-12-01,S11,53.174,,,,,,,2025-12
