연월,EL_평균,관측소_수
2021-01,1.599,10
2021-02,1.561,10
2021-03,1.57,10
2021-04,1.583,10
2021-05,1.621,10
2021-06,1.717,10
2021-07,1.788,10
2021-08,2.013,10
2021-09,2.673,10
2021-10,2.568,10
2021-11,2.034,10
2021-12,1.708,10
2022-01,1.535,10
2022-02,1.449,9
2022-03,1.507,10
2022-04,1.533,10
2022-05,1.557,9
2022-06,1.644,9
2022-07,1.71,10
2022-08,1.864,10
2022-09,2.292,10
2022-10,1.902,10
2022-11,1.704,10
2022-12,1.482,10
2023-01,1.465,10
2023-02,1.444,10
2023-03,1.412,10
2023-04,1.473,10
2023-05,1.883,10
2023-06,2.087,10
2023-07,2.437,10
2023-08,2.364,10
2023-09,2.279,10
2023-10,2.059,10
2023-11,1.759,10
2023-12,1.523,10
2024-01,1.493,10
2024-02,1.772,10
2024-03,2.195,10
2024-04,2.017,10
2024-05,1.989,10
2024-06,1.979,10
2024-07,2.256,10
2024-08,2.133,10
2024-09,1.899,10
2024-10,1.878,10
2024-11,2.498,10
2024-12,1.995,10
2025-01,1.753,10
2025-02,1.547,10
2025-03,1.584,10
2025-04,1.582,10
2025-05,1.598,10
2025-06,1.719,10
2025-07,1.754,10
2025-08,1.634,10
2025-09,1.774,10
2025-10,1.965,10
2025-11,1.797,10
2025-12,1.602,10
2026-01,1.47,10
