연월,EL_평균,관측소_수
2021-01,7.72,2
2021-02,6.95,2
2021-03,6.505,2
2021-04,6.53,2
2021-05,7.6,2
2021-06,8.365,2
2021-07,9.105,2
2021-08,9.425,2
2021-09,11.64,2
2021-10,12.675,2
2021-11,10.9,2
2021-12,9.495,2
2022-01,8.28,2
2022-02,7.22,2
2022-03,6.62,2
2022-04,6.33,2
2022-05,6.17,2
2022-06,6.205,2
2022-07,6.23,2
2022-08,6.625,2
2022-09,8.68,2
2022-10,9.27,2
2022-11,8.445,2
2022-12,7.535,2
2023-01,6.99,2
2023-02,7.185,2
2023-03,7.025,2
2023-04,6.695,2
2023-05,8.255,2
2023-06,10.11,2
2023-07,11.05,2
2023-08,11.465,2
2023-09,11.335,2
2023-10,10.29,2
2023-11,9.4,2
2023-12,8.45,2
2024-01,7.63,2
2024-02,7.085,2
2024-03,7.21,2
2024-04,8.495,2
2024-05,9.82,2
2024-06,10.355,2
2024-07,11.785,2
2024-08,10.94,2
2024-09,9.825,2
2024-10,9.135,2
2024-11,9.24,2
2024-12,9.05,2
2025-01,8.445,2
2025-02,7.75,2
2025-03,7.23,2
2025-04,6.84,2
2025-05,7.35,2
2025-06,8.61,2
2025-07,8.59,2
2025-08,7.96,2
2025-09,7.815,2
2025-10,8.555,2
2025-11,8.58,2
2025-12,7.86,2
2026-01,7.185,2
