연월,EL_평균,관측소_수
2007-01,5.012,4
2007-02,4.79,4
2007-03,4.768,4
2007-04,4.37,4
2007-05,4.59,4
2007-06,4.373,4
2007-07,6.262,4
2007-08,5.625,4
2007-09,5.48,4
2007-10,4.625,4
2007-11,3.603,7
2007-12,3.596,7
2008-01,3.806,7
2008-02,3.517,7
2008-03,3.48,7
2008-04,3.509,7
2008-05,3.07,7
2008-06,3.923,7
2008-07,4.134,7
2008-08,3.554,7
2008-09,2.871,7
2008-10,2.409,7
2008-11,3.063,7
2008-12,2.817,7
2009-01,2.599,7
2009-02,2.704,7
2009-03,3.063,7
2009-04,2.733,7
2009-05,2.597,7
2009-06,2.883,7
2009-07,3.663,7
2009-08,3.327,7
2009-09,2.119,7
2009-10,2.277,7
2009-11,2.95,7
2009-12,2.881,7
2010-01,2.396,7
2010-02,2.539,7
2010-03,2.813,7
2010-04,3.453,7
2010-05,3.086,7
2010-06,3.017,7
2010-07,4.196,7
2010-08,4.087,7
2010-09,5.026,7
2010-10,4.505,6
2010-11,3.684,7
2010-12,3.766,7
2011-01,3.71,7
2011-02,3.309,7
2011-03,2.99,7
2011-04,2.964,7
2011-05,2.843,7
2011-06,3.49,7
2011-07,4.029,7
2011-08,3.703,7
2011-09,1.887,7
2011-10,1.433,7
2011-11,3.453,7
2011-12,2.098,5
2012-01,3.004,7
2012-02,2.777,7
2012-03,2.986,7
2012-04,3.609,7
2012-05,3.654,7
2012-06,3.294,7
2012-07,3.627,7
2012-08,3.691,7
2012-09,4.986,7
2012-10,3.331,7
2012-11,3.791,7
2012-12,3.271,9
2013-01,2.989,10
2013-02,2.777,10
2013-03,2.673,10
2013-04,2.342,10
2013-05,2.714,10
2013-06,3.004,10
2013-07,2.717,10
2013-08,2.236,10
2013-09,1.062,10
2013-10,1.203,10
2013-11,1.648,10
2013-12,2.07,10
2014-01,1.611,10
2014-02,1.684,10
2014-03,1.665,10
2014-04,1.723,10
2014-05,2.27,10
2014-06,2.549,10
2014-07,3.327,10
2014-08,3.463,10
2014-09,2.762,10
2014-10,2.298,10
2014-11,2.27,10
2014-12,2.307,10
2015-01,2.183,10
2015-02,2.082,9
2015-03,2.339,10
2015-04,2.78,10
2015-05,3.801,10
2015-06,3.954,9
2015-07,4.408,10
2015-08,3.607,10
2015-09,2.854,10
2015-10,2.689,10
2015-11,2.995,10
2015-12,3.074,10
2016-01,2.705,10
2016-02,2.754,10
2016-03,3.936,8
2016-04,3.261,10
2016-05,3.491,10
2016-06,3.484,10
2016-07,4.233,10
2016-08,3.39,10
2016-09,2.524,10
2016-10,3.333,10
2016-11,3.013,10
2016-12,2.553,10
2017-01,2.427,10
2017-02,2.125,10
2017-03,1.759,10
2017-04,2.093,10
2017-05,1.592,10
2017-06,1.731,10
2017-07,1.597,10
2017-08,1.561,10
2017-09,0.98,10
2017-10,1.698,10
2017-11,0.647,10
2017-12,0.922,10
2018-01,1.035,10
2018-02,0.75,10
2018-03,1.348,10
2018-04,1.335,10
2018-05,2.859,10
2018-06,2.427,10
2018-07,2.31,10
2018-08,1.917,10
2018-09,2.333,10
2018-10,1.841,10
2018-11,1.702,10
2018-12,1.852,10
2019-01,1.506,10
2019-02,1.465,10
2019-03,1.245,10
2019-04,0.62,10
2019-05,0.583,10
2019-06,1.445,10
2019-07,2.404,10
2019-08,2.174,10
2019-09,4.046,10
2019-10,3.345,10
2019-11,1.599,16
2019-12,1.693,16
2020-01,1.764,16
2020-02,1.622,16
2020-03,1.593,16
2020-04,1.284,16
2020-05,1.555,16
2020-06,2.01,16
2020-07,3.074,16
2020-08,2.355,16
2020-09,3.059,16
2020-10,1.998,16
2020-11,1.771,16
2020-12,1.474,16
2021-01,1.701,16
2021-02,1.721,16
2021-03,1.683,16
2021-04,1.859,16
2021-05,1.788,16
2021-06,2.054,16
2021-07,2.134,16
2021-08,1.936,16
2021-09,2.453,16
2021-10,1.428,16
2021-11,1.381,16
2021-12,1.368,16
2022-01,1.291,16
2022-02,0.883,16
2022-03,0.788,16
2022-04,0.83,16
2022-05,0.739,16
2022-06,0.984,16
2022-07,1.447,16
2022-08,1.809,16
2022-09,1.965,16
2022-10,0.452,16
2022-11,0.431,16
2022-12,0.701,16
2023-01,0.591,16
2023-02,0.826,16
2023-03,0.629,16
2023-04,1.036,16
2023-05,2.133,16
2023-06,2.484,16
2023-07,2.926,16
2023-08,2.351,16
2023-09,2.689,16
2023-10,1.513,16
2023-11,1.797,16
2023-12,1.928,16
2024-01,1.788,16
2024-02,1.773,16
2024-03,1.552,16
2024-04,1.636,16
2024-05,1.862,16
2024-06,2.075,16
2024-07,2.939,16
2024-08,2.205,16
2024-09,1.724,16
2024-10,1.676,16
2024-11,2.491,16
2024-12,1.821,16
2025-01,1.672,16
2025-02,1.699,16
2025-03,1.608,16
2025-04,1.348,16
2025-05,1.719,16
2025-06,1.761,16
2025-07,1.388,16
2025-08,1.042,16
2025-09,0.741,16
2025-10,0.446,16
2025-11,0.252,16
2025-12,0.394,16
2026-01,0.33,16
2026-02,0.278,16
2026-03,0.774,16
