연월,EL_평균,관측소_수
2021-01,1.75,1
2021-02,1.56,1
2021-03,1.5,1
2021-04,1.62,1
2021-05,1.95,1
2021-06,2.23,1
2021-07,2.49,1
2021-08,2.64,1
2021-09,3.97,1
2021-10,3.75,1
2021-11,2.42,1
2021-12,2.1,1
2022-01,1.76,1
2022-02,1.48,1
2022-03,1.34,1
2022-04,1.23,1
2022-05,1.23,1
2022-06,1.39,1
2022-07,1.55,1
2022-08,1.93,1
2022-09,2.63,1
2022-10,2.39,1
2022-11,2.06,1
2022-12,1.68,1
2023-01,1.5,1
2023-02,1.4,1
2023-03,1.27,1
2023-04,1.43,1
2023-05,2.43,1
2023-06,2.94,1
2023-07,3.38,1
2023-08,3.3,1
2023-09,3.22,1
2023-10,2.87,1
2023-11,2.39,1
2023-12,2.04,1
2024-01,1.78,1
2024-02,1.67,1
2024-03,1.68,1
2024-04,1.98,1
2024-05,2.44,1
2024-06,2.92,1
2024-07,3.57,1
2024-08,2.95,1
2024-09,2.61,1
2024-10,2.44,1
2024-11,2.44,1
2024-12,2.09,1
2025-01,1.87,1
2025-02,1.68,1
2025-03,1.56,1
2025-04,1.46,1
2025-05,1.99,1
2025-06,2.31,1
2025-07,2.27,1
2025-08,2.0,1
2025-09,2.12,1
2025-10,2.44,1
2025-11,2.13,1
2025-12,1.81,1
2026-01,1.54,1
