연월,EL_평균,관측소_수
2007-01,3.955,2
2007-02,3.37,2
2007-03,3.345,2
2007-04,3.425,2
2007-05,3.235,2
2007-06,2.97,2
2007-07,3.885,2
2007-08,4.465,2
2007-09,10.395,2
2007-10,15.23,2
2007-11,12.185,2
2007-12,8.775,2
2008-01,6.47,2
2008-02,5.575,2
2008-03,4.48,2
2008-04,3.97,2
2008-05,3.745,2
2008-06,4.075,2
2008-07,5.425,2
2008-08,5.775,2
2008-09,5.145,2
2008-10,4.31,2
2008-11,3.79,2
2008-12,3.155,2
2009-01,2.735,2
2009-02,7.303,3
2009-03,7.53,3
2009-04,7.65,3
2009-05,7.913,3
2009-06,7.927,3
2009-07,7.89,3
2009-08,8.17,3
2009-09,8.957,3
2009-10,9.55,3
2009-11,9.13,3
2009-12,8.607,3
2010-01,7.93,3
2010-02,7.61,3
2010-03,8.027,3
2010-04,8.903,3
2010-05,9.61,3
2010-06,9.26,3
2010-07,9.943,3
2010-08,11.903,3
2010-09,16.35,3
2010-10,17.2,3
2010-11,14.51,3
2010-12,11.573,3
2011-01,9.477,3
2011-02,8.367,3
2011-03,7.743,3
2011-04,7.353,3
2011-05,7.13,3
2011-06,7.33,3
2011-07,9.837,3
2011-08,13.02,3
2011-09,14.677,3
2011-10,12.99,3
2011-11,11.143,3
2011-12,10.69,3
2012-01,9.68,3
2012-02,8.757,3
2012-03,8.73,3
2012-04,8.937,3
2012-05,11.03,3
2012-06,11.453,3
2012-07,10.55,3
2012-08,10.57,3
2012-09,17.673,3
2012-10,21.537,3
2012-11,17.627,3
2012-12,13.58,3
2013-01,11.053,3
2013-02,9.69,3
2013-03,8.967,3
2013-04,8.857,3
2013-05,8.61,3
2013-06,8.473,3
2013-07,8.68,3
2013-08,8.24,3
2013-09,7.857,3
2013-10,7.78,3
2013-11,7.58,3
2013-12,7.313,3
2014-01,7.043,3
2014-02,7.05,3
2014-03,7.627,3
2014-04,7.683,3
2014-05,7.433,3
2014-06,7.287,3
2014-07,8.123,3
2014-08,11.143,3
2014-09,14.58,3
2014-10,13.927,3
2014-11,12.487,3
2014-12,11.043,3
2015-01,9.81,3
2015-02,8.94,3
2015-03,8.27,3
2015-04,8.123,3
2015-05,8.537,3
2015-06,9.34,3
2015-07,11.977,3
2015-08,14.377,3
2015-09,13.823,3
2015-10,13.01,3
2015-11,11.913,3
2015-12,11.273,3
2016-01,10.327,3
2016-02,9.747,3
2016-03,9.643,3
2016-04,9.873,3
2016-05,9.82,3
2016-06,9.697,3
2016-07,10.093,3
2016-08,10.0,3
2016-09,9.407,3
2016-10,11.197,3
2016-11,11.713,3
2016-12,10.187,3
2017-01,8.983,3
2017-02,8.22,3
2017-03,7.663,3
2017-04,7.29,3
2017-05,6.723,3
2017-06,6.24,3
2017-07,6.01,3
2017-08,5.773,3
2017-09,5.623,3
2017-10,5.783,3
2017-11,5.413,3
2017-12,4.877,3
2018-01,4.67,3
2018-02,4.527,3
2018-03,5.413,3
2018-04,6.667,3
2018-05,7.243,3
2018-06,7.26,3
2018-07,8.24,3
2018-08,8.407,3
2018-09,11.553,3
2018-10,15.98,3
2018-11,15.807,3
2018-12,12.563,3
2019-01,9.857,3
2019-02,8.213,3
2019-03,7.46,3
2019-04,6.923,3
2019-05,6.13,3
2019-06,6.27,3
2019-07,7.837,3
2019-08,11.557,3
2019-09,15.907,3
2019-10,24.373,3
2019-11,22.653,3
2019-12,16.977,3
2020-01,12.71,3
2020-02,10.547,3
2020-03,9.3,3
2020-04,8.48,3
2020-05,7.97,3
2020-06,7.643,3
2020-07,8.103,3
2020-08,8.563,3
2020-09,14.627,3
2020-10,17.807,3
2020-11,14.647,3
2020-12,11.43,3
2021-01,9.21,3
2021-02,8.343,3
2021-03,7.963,3
2021-04,7.797,3
2021-05,7.707,3
2021-06,7.777,3
2021-07,7.75,3
2021-08,8.277,3
2021-09,12.237,3
2021-10,17.58,3
2021-11,15.637,3
2021-12,12.333,3
2022-01,9.773,3
2022-02,8.313,3
2022-03,7.593,3
2022-04,7.51,3
2022-05,7.547,3
2022-06,7.36,3
2022-07,7.04,3
2022-08,7.593,3
2022-09,10.48,3
2022-10,11.923,3
2022-11,10.41,3
2022-12,8.763,3
2023-01,7.73,3
2023-02,7.387,3
2023-03,7.397,3
2023-04,7.313,3
2023-05,8.293,3
2023-06,9.547,3
2023-07,10.747,3
2023-08,11.643,3
2023-09,12.303,3
2023-10,11.807,3
2023-11,10.237,3
2023-12,8.883,3
2024-01,8.22,3
2024-02,8.66,3
2024-03,10.1,3
2024-04,10.42,3
2024-05,9.71,3
2024-06,9.37,3
2024-07,10.087,3
2024-08,9.853,3
2024-09,9.25,3
2024-10,10.473,3
2024-11,14.253,3
2024-12,14.067,3
2025-01,11.617,3
2025-02,9.713,3
2025-03,8.713,3
2025-04,8.153,3
2025-05,7.77,3
2025-06,7.637,3
2025-07,7.747,3
2025-08,8.003,3
2025-09,7.95,3
2025-10,8.777,3
2025-11,8.41,3
2025-12,7.763,3
2026-01,6.76,3
2026-02,6.013,3
2026-03,6.32,3
2026-04,6.853,3
