연월,EL_평균,관측소_수
2021-01,12.93,1
2021-02,11.93,1
2021-03,10.3,1
2021-04,10.9,1
2021-05,11.29,1
2021-06,11.8,1
2021-07,12.55,1
2021-08,13.43,1
2021-09,16.37,1
2021-10,16.93,1
2021-11,16.58,1
2021-12,14.88,1
2022-01,12.38,1
2022-02,10.71,1
2022-03,9.42,1
2022-04,8.58,1
2022-05,7.86,1
2022-06,7.92,1
2022-07,7.53,1
2022-08,9.91,1
2022-09,13.23,1
2022-10,11.99,1
2022-11,10.67,1
2022-12,11.02,1
2023-01,9.88,1
2023-02,8.28,1
2023-03,7.06,1
2023-04,8.01,1
2023-05,12.05,1
2023-06,13.33,1
2023-07,15.82,1
2023-08,15.31,1
2023-09,15.64,1
2023-10,14.45,1
2023-11,13.86,1
2023-12,12.54,1
2024-01,10.53,1
2024-02,9.17,1
2024-03,7.81,1
2024-04,7.64,1
2024-05,9.36,1
2024-06,10.73,1
2024-07,12.0,1
2024-08,10.31,1
2024-09,10.08,1
2024-10,9.16,1
2024-11,10.36,1
2024-12,9.19,1
2025-01,7.27,1
2025-02,6.85,1
2025-03,5.12,1
2025-04,4.97,1
2025-05,6.24,1
2025-06,6.52,1
2025-07,4.0,1
2025-08,4.04,1
2025-09,6.03,1
2025-10,5.2,1
2025-11,4.62,1
2025-12,5.48,1
2026-01,5.19,1
