연월,EL_평균,관측소_수
2021-01,42.54,1
2021-02,41.26,1
2021-03,40.22,1
2021-04,39.37,1
2021-05,38.99,1
2021-06,38.62,1
2021-07,38.44,1
2021-08,39.73,1
2021-09,46.31,1
2021-10,49.94,1
2021-11,46.28,1
2021-12,44.33,1
2022-01,41.92,1
2022-02,40.5,1
2022-03,39.9,1
2022-04,39.86,1
2022-05,39.06,1
2022-06,38.52,1
2022-07,38.43,1
2022-08,39.01,1
2022-09,42.22,1
2022-10,42.72,1
2022-11,41.77,1
2022-12,41.26,1
2023-01,39.94,1
2023-02,38.86,1
2023-03,39.04,1
2023-04,39.01,1
2023-05,41.07,1
2023-06,43.0,1
2023-07,44.94,1
2023-08,46.55,1
2023-09,47.07,1
2023-10,46.24,1
2023-11,44.22,1
2023-12,42.19,1
2024-01,40.18,1
2024-02,40.84,1
2024-03,41.95,1
2024-04,41.1,1
2024-05,40.32,1
2024-06,40.63,1
2024-07,41.92,1
2024-08,41.74,1
2024-09,41.89,1
2024-10,44.38,1
2024-11,48.03,1
2024-12,46.86,1
2025-01,44.78,1
2025-02,43.07,1
2025-03,41.85,1
2025-04,41.02,1
2025-05,40.43,1
2025-06,39.32,1
2025-07,38.95,1
2025-08,38.85,1
2025-09,39.41,1
2025-10,40.79,1
2025-11,40.42,1
2025-12,39.84,1
2026-01,39.55,1
