연월,EL_평균,관측소_수
2021-01,1.357,7
2021-02,1.307,7
2021-03,1.321,7
2021-04,1.401,7
2021-05,1.493,7
2021-06,1.69,7
2021-07,1.843,7
2021-08,2.094,7
2021-09,3.103,7
2021-10,2.524,7
2021-11,1.766,7
2021-12,1.431,7
2022-01,1.28,7
2022-02,1.2,7
2022-03,1.169,7
2022-04,1.241,7
2022-05,1.366,7
2022-06,1.653,7
2022-07,1.701,7
2022-08,2.397,7
2022-09,3.391,7
2022-10,1.986,7
2022-11,1.591,7
2022-12,1.287,7
2023-01,1.284,7
2023-02,1.327,7
2023-03,1.264,7
2023-04,1.527,7
2023-05,3.38,7
2023-06,2.849,7
2023-07,3.46,7
2023-08,2.926,7
2023-09,2.41,7
2023-10,1.797,7
2023-11,1.429,7
2023-12,1.221,7
2024-01,1.171,7
2024-02,1.797,7
2024-03,2.509,7
2024-04,2.15,7
2024-05,2.159,7
2024-06,2.056,7
2024-07,2.96,7
2024-08,2.334,7
2024-09,1.833,7
2024-10,1.753,7
2024-11,2.463,7
2024-12,1.704,7
2025-01,1.454,7
2025-02,1.217,7
2025-03,1.401,7
2025-04,1.439,7
2025-05,1.734,7
2025-06,1.799,7
2025-07,1.694,7
2025-08,1.441,7
2025-09,1.834,7
2025-10,2.23,7
2025-11,1.769,7
2025-12,1.444,7
2026-01,1.297,7
