연월,EL_평균,관측소_수
2007-01,49.485,2
2007-02,49.25,2
2007-03,49.045,2
2007-04,48.86,2
2007-05,48.81,2
2007-06,48.8,2
2007-07,77.62,2
2007-08,88.085,2
2007-09,89.76,2
2007-10,90.035,2
2007-11,88.05,2
2007-12,66.353,3
2008-01,52.3,3
2008-02,51.94,3
2008-03,51.427,3
2008-04,51.18,3
2008-05,51.147,3
2008-06,56.667,3
2008-07,78.687,3
2008-08,66.627,3
2008-09,51.653,3
2008-10,51.337,3
2008-11,51.08,3
2008-12,92.872,4
2009-01,92.63,4
2009-02,56.03,2
2009-03,55.88,2
2009-04,110.09,3
2009-05,110.047,3
2009-06,109.937,3
2009-07,126.477,3
2009-08,136.447,3
2009-09,122.733,3
2009-10,110.137,3
2009-11,109.997,3
2009-12,109.93,3
2010-01,92.025,4
2010-02,91.755,4
2010-03,91.572,4
2010-04,103.048,4
2010-05,108.227,4
2010-06,106.932,4
2010-07,113.443,4
2010-08,113.855,4
2010-09,116.715,4
2010-10,113.625,4
2010-11,112.24,4
2010-12,98.658,4
2011-01,92.855,4
2011-02,92.71,4
2011-03,92.502,4
2011-04,92.302,4
2011-05,92.142,4
2011-06,92.055,4
2011-07,111.878,4
2011-08,112.488,4
2011-09,112.058,4
2011-10,99.342,4
2011-11,92.378,4
2011-12,92.332,4
2012-01,92.242,4
2012-02,92.137,4
2012-03,91.982,4
2012-04,95.035,4
2012-05,112.578,4
2012-06,102.745,4
2012-07,96.452,4
2012-08,110.775,4
2012-09,116.252,4
2012-10,113.992,4
2012-11,112.16,4
2012-12,95.9,4
2013-01,92.768,4
2013-02,92.477,4
2013-03,92.38,4
2013-04,92.215,4
2013-05,92.095,4
2013-06,111.16,4
2013-07,104.562,4
2013-08,91.738,4
2013-09,91.535,4
2013-10,91.465,4
2013-11,91.28,4
2013-12,91.07,4
2014-01,90.812,4
2014-02,90.545,4
2014-03,90.345,4
2014-04,90.55,4
2014-05,92.24,4
2014-06,110.872,4
2014-07,111.488,4
2014-08,113.138,4
2014-09,112.668,4
2014-10,111.348,4
2014-11,96.225,4
2014-12,91.888,4
2015-01,91.788,4
2015-02,91.69,4
2015-03,91.83,4
2015-04,104.565,4
2015-05,114.133,4
2015-06,112.47,4
2015-07,114.055,4
2015-08,113.137,4
2015-09,111.85,4
2015-10,110.402,4
2015-11,94.57,4
2015-12,92.638,4
2016-01,92.518,4
2016-02,99.345,4
2016-03,111.628,4
2016-04,111.648,4
2016-05,113.002,4
2016-06,112.272,4
2016-07,113.958,4
2016-08,112.73,4
2016-09,103.758,4
2016-10,103.798,4
2016-11,95.0,4
2016-12,92.735,4
2017-01,92.535,4
2017-02,92.378,4
2017-03,92.198,4
2017-04,92.002,4
2017-05,91.91,4
2017-06,91.682,4
2017-07,91.408,4
2017-08,91.143,4
2017-09,90.948,4
2017-10,90.805,4
2017-11,90.662,4
2017-12,90.495,4
2018-01,90.315,4
2018-02,90.09,4
2018-03,89.92,4
2018-04,90.262,4
2018-05,111.07,4
2018-06,111.61,4
2018-07,111.202,4
2018-08,94.58,4
2018-09,103.192,4
2018-10,111.355,4
2018-11,104.275,4
2018-12,90.86,4
2019-01,90.768,4
2019-02,90.69,4
2019-03,90.375,4
2019-04,90.102,4
2019-05,89.868,4
2019-06,89.68,4
2019-07,95.855,4
2019-08,111.182,4
2019-09,114.417,4
2019-10,113.632,4
2019-11,111.79,4
2019-12,102.46,4
2020-01,91.155,4
2020-02,90.95,4
2020-03,90.773,4
2020-04,90.618,4
2020-05,97.925,4
2020-06,97.52,4
2020-07,113.745,4
2020-08,112.362,4
2020-09,114.988,4
2020-10,113.04,4
2020-11,111.55,4
2020-12,95.498,4
2021-01,91.865,4
2021-02,91.618,4
2021-03,91.428,4
2021-04,91.29,4
2021-05,91.282,4
2021-06,91.977,4
2021-07,92.458,4
2021-08,92.315,4
2021-09,112.548,4
2021-10,112.178,4
2021-11,98.79,4
2021-12,91.388,4
2022-01,91.275,4
2022-02,91.145,4
2022-03,91.0,4
2022-04,90.65,4
2022-05,90.435,4
2022-06,90.222,4
2022-07,90.095,4
2022-08,90.78,4
2022-09,105.938,4
2022-10,98.088,4
2022-11,90.192,4
2022-12,90.07,4
2023-01,89.962,4
2023-02,89.858,4
2023-03,89.778,4
2023-04,89.725,4
2023-05,106.425,4
2023-06,111.645,4
2023-07,113.498,4
2023-08,113.45,4
2023-09,114.018,4
2023-10,111.945,4
2023-11,102.827,4
2023-12,90.992,4
2024-01,90.83,4
2024-02,90.722,4
2024-03,90.612,4
2024-04,90.54,4
2024-05,106.38,4
2024-06,111.71,4
2024-07,113.802,4
2024-08,111.785,4
2024-09,108.32,4
2024-10,99.312,4
2024-11,94.605,4
2024-12,91.35,4
2025-01,91.025,4
2025-02,90.825,4
2025-03,90.68,4
2025-04,90.477,4
2025-05,95.582,4
2025-06,95.985,4
2025-07,90.473,4
2025-08,90.205,4
2025-09,90.072,4
2025-10,89.97,4
2025-11,89.85,4
2025-12,89.71,4
2026-01,89.575,4
2026-02,89.45,4
2026-03,89.292,4
2026-04,89.195,4
