연월,EL_평균,관측소_수
2007-01,1.615,2
2007-02,1.51,2
2007-03,1.72,2
2007-04,1.59,2
2007-05,1.535,2
2007-06,1.615,2
2007-07,2.49,2
2007-08,2.5,2
2007-09,7.92,2
2007-10,6.455,2
2007-11,3.67,2
2007-12,2.565,2
2008-01,2.445,2
2008-02,2.495,2
2008-03,2.035,2
2008-04,2.055,2
2008-05,2.005,2
2008-06,2.38,2
2008-07,2.925,2
2008-08,2.845,2
2008-09,2.71,2
2008-10,2.39,2
2008-11,1.95,2
2008-12,1.415,2
2009-01,1.175,2
2009-02,1.265,2
2009-03,1.33,2
2009-04,1.405,2
2009-05,1.595,2
2009-06,1.81,2
2009-07,1.905,2
2009-08,2.29,2
2009-09,2.24,2
2009-10,2.545,2
2009-11,2.035,2
2009-12,1.72,2
2010-01,1.365,2
2010-02,1.375,2
2010-03,1.765,2
2010-04,2.105,2
2010-05,2.08,2
2010-06,1.85,2
2010-07,2.735,2
2010-08,2.545,2
2010-09,3.565,2
2010-10,2.63,2
2010-11,2.07,2
2010-12,1.74,2
2011-01,1.595,2
2011-02,1.415,2
2011-03,1.285,2
2011-04,1.275,2
2011-05,0.845,2
2011-06,1.5,2
2011-07,2.485,2
2011-08,3.2,2
2011-09,3.47,2
2011-10,2.575,2
2011-11,2.325,2
2011-12,2.17,2
2012-01,1.76,2
2012-02,1.565,2
2012-03,1.885,2
2012-04,2.09,2
2012-05,3.125,2
2012-06,2.325,2
2012-07,2.175,2
2012-08,2.605,2
2012-09,6.69,2
2012-10,5.325,2
2012-11,3.14,2
2012-12,2.335,2
2013-01,2.005,2
2013-02,1.86,2
2013-03,1.755,2
2013-04,1.9,2
2013-05,1.86,2
2013-06,1.95,2
2013-07,2.0,2
2013-08,1.745,2
2013-09,1.59,2
2013-10,1.705,2
2013-11,1.525,2
2013-12,1.34,2
2014-01,1.205,2
2014-02,1.32,2
2014-03,1.515,2
2014-04,1.44,2
2014-05,1.43,2
2014-06,1.465,2
2014-07,1.965,2
2014-08,2.95,2
2014-09,3.405,2
2014-10,2.575,2
2014-11,2.165,2
2014-12,1.89,2
2015-01,1.765,2
2015-02,1.625,2
2015-03,1.57,2
2015-04,1.755,2
2015-05,2.22,2
2015-06,2.205,2
2015-07,4.05,2
2015-08,3.25,2
2015-09,2.685,2
2015-10,2.68,2
2015-11,2.37,2
2015-12,2.5,2
2016-01,2.09,2
2016-02,2.05,2
2016-03,2.225,2
2016-04,2.355,2
2016-05,2.405,2
2016-06,2.265,2
2016-07,2.615,2
2016-08,2.145,2
2016-09,1.985,2
2016-10,3.935,2
2016-11,2.8,2
2016-12,2.11,2
2017-01,1.865,2
2017-02,1.67,2
2017-03,1.58,2
2017-04,1.55,2
2017-05,1.41,2
2017-06,1.375,2
2017-07,1.38,2
2017-08,1.425,2
2017-09,1.445,2
2017-10,1.56,2
2017-11,1.265,2
2017-12,1.045,2
2018-01,1.03,2
2018-02,1.005,2
2018-03,1.415,2
2018-04,1.605,2
2018-05,1.705,2
2018-06,1.63,2
2018-07,2.46,2
2018-08,2.225,2
2018-09,2.96,2
2018-10,4.11,2
2018-11,2.67,2
2018-12,1.935,2
2019-01,1.57,2
2019-02,1.405,2
2019-03,1.41,2
2019-04,1.335,2
2019-05,1.425,2
2019-06,1.665,2
2019-07,3.05,2
2019-08,3.36,2
2019-09,5.115,2
2019-10,7.38,2
2019-11,4.2,2
2019-12,2.71,2
2020-01,2.215,2
2020-02,2.025,2
2020-03,1.98,2
2020-04,1.725,2
2020-05,1.665,2
2020-06,1.815,2
2020-07,2.33,2
2020-08,2.37,2
2020-09,5.26,2
2020-10,3.685,2
2020-11,2.44,2
2020-12,1.87,2
2021-01,1.62,2
2021-02,1.545,2
2021-03,1.58,2
2021-04,1.55,2
2021-05,1.54,2
2021-06,1.7,2
2021-07,1.76,2
2021-08,2.375,2
2021-09,4.185,2
2021-10,4.015,2
2021-11,2.625,2
2021-12,2.005,2
2022-01,1.7,2
2022-02,1.535,2
2022-03,1.55,2
2022-04,1.605,2
2022-05,1.72,2
2022-06,1.725,2
2022-07,1.61,2
2022-08,1.92,2
2022-09,3.245,2
2022-10,2.23,2
2022-11,1.775,2
2022-12,1.49,2
2023-01,1.36,2
2023-02,1.46,2
2023-03,1.405,2
2023-04,1.43,2
2023-05,2.305,2
2023-06,2.435,2
2023-07,3.28,2
2023-08,2.895,2
2023-09,2.845,2
2023-10,2.385,2
2023-11,1.94,2
2023-12,1.625,2
2024-01,1.615,2
2024-02,2.25,2
2024-03,2.835,2
2024-04,2.3,2
2024-05,2.17,2
2024-06,2.16,2
2024-07,2.56,2
2024-08,2.2,2
2024-09,2.01,2
2024-10,2.345,2
2024-11,3.945,2
2024-12,2.555,2
2025-01,1.955,2
2025-02,1.69,2
2025-03,1.685,2
2025-04,1.595,2
2025-05,1.635,2
2025-06,1.73,2
2025-07,1.935,2
2025-08,1.725,2
2025-09,1.905,2
2025-10,2.415,2
2025-11,1.875,2
2025-12,1.55,2
2026-01,1.345,2
2026-02,1.275,2
2026-03,1.515,2
