연월,EL_평균,관측소_수
2021-01,3.15,1
2021-02,2.7,1
2021-03,2.47,1
2021-04,2.16,1
2021-05,2.13,1
2021-06,2.22,1
2021-07,2.21,1
2021-08,2.94,1
2021-09,4.35,1
2021-10,5.18,1
2021-11,4.71,1
2021-12,3.74,1
2022-01,2.91,1
2022-02,2.32,1
2022-03,2.15,1
2022-04,1.93,1
2022-05,1.85,1
2022-06,1.89,1
2022-07,1.87,1
2022-08,2.01,1
2022-09,2.94,1
2022-10,2.67,1
2022-11,2.54,1
2022-12,2.23,1
2023-01,1.9,1
2023-02,1.89,1
2023-03,1.73,1
2023-04,1.7,1
2023-05,2.47,1
2023-06,2.64,1
2023-07,3.41,1
2023-08,3.27,1
2023-09,3.64,1
2023-10,3.48,1
2023-11,3.04,1
2023-12,2.59,1
2024-01,2.34,1
2024-02,2.65,1
2024-03,2.76,1
2024-04,2.6,1
2024-05,2.44,1
2024-06,2.59,1
2024-07,3.07,1
2024-08,2.7,1
2024-09,2.55,1
2024-10,2.65,1
2024-11,4.05,1
2024-12,3.61,1
2025-01,3.0,1
2025-02,2.48,1
2025-03,2.28,1
2025-04,2.01,1
2025-05,1.94,1
2025-06,1.97,1
2025-07,1.96,1
2025-08,1.76,1
2025-09,2.11,1
2025-10,2.5,1
2025-11,2.07,1
2025-12,1.76,1
2026-01,1.51,1
