연월,EL_평균,관측소_수
2007-01,1.902,4
2007-02,1.723,4
2007-03,2.207,3
2007-04,1.77,4
2007-05,1.798,4
2007-06,1.84,4
2007-07,2.615,4
2007-08,2.545,4
2007-09,5.377,4
2007-10,3.938,4
2007-11,3.128,4
2007-12,2.677,4
2008-01,2.302,4
2008-02,2.115,4
2008-03,1.972,4
2008-04,2.027,4
2008-05,1.998,4
2008-06,2.3,4
2008-07,2.81,4
2008-08,2.588,4
2008-09,2.85,3
2008-10,2.173,4
2008-11,2.0,4
2008-12,1.82,4
2009-01,1.64,4
2009-02,1.665,4
2009-03,1.852,4
2009-04,1.948,4
2009-05,1.982,4
2009-06,1.98,4
2009-07,2.145,4
2009-08,2.592,4
2009-09,2.642,4
2009-10,2.49,4
2009-11,2.17,4
2009-12,1.958,4
2010-01,1.267,6
2010-02,1.225,6
2010-03,1.368,6
2010-04,1.817,6
2010-05,1.98,6
2010-06,1.84,6
2010-07,2.368,6
2010-08,2.258,6
2010-09,3.192,6
2010-10,2.442,6
2010-11,2.117,6
2010-12,1.838,6
2011-01,1.535,6
2011-02,1.402,6
2011-03,1.277,6
2011-04,1.257,6
2011-05,1.302,6
2011-06,1.572,6
2011-07,2.003,6
2011-08,1.94,6
2011-09,2.087,6
2011-10,1.847,6
2011-11,2.027,6
2011-12,1.89,6
2012-01,1.554,5
2012-02,1.377,6
2012-03,1.425,6
2012-04,1.66,6
2012-05,2.557,6
2012-06,2.045,6
2012-07,2.027,6
2012-08,2.39,4
2012-09,3.742,6
2012-10,3.438,5
2012-11,2.722,5
2012-12,2.266,5
2013-01,1.984,5
2013-02,1.812,5
2013-03,1.776,5
2013-04,1.736,5
2013-05,1.766,5
2013-06,1.886,5
2013-07,1.902,5
2013-08,1.748,5
2013-09,1.63,5
2013-10,1.736,5
2013-11,1.47,5
2013-12,1.368,5
2014-01,1.248,5
2014-02,1.302,5
2014-03,1.376,5
2014-04,1.514,5
2014-05,1.79,5
2014-06,2.25,5
2014-07,2.294,5
2014-08,2.666,5
2014-09,3.21,5
2014-10,2.63,5
2014-11,2.248,5
2014-12,1.944,5
2015-01,1.746,5
2015-02,1.6,5
2015-03,1.606,5
2015-04,1.906,5
2015-05,2.506,5
2015-06,2.24,5
2015-07,2.964,5
2015-08,2.668,5
2015-09,2.5,5
2015-10,2.684,5
2015-11,2.278,5
2015-12,2.224,5
2016-01,2.016,5
2016-02,1.986,5
2016-03,2.12,5
2016-04,2.314,5
2016-05,2.612,5
2016-06,2.442,5
2016-07,2.734,5
2016-08,2.434,5
2016-09,2.152,5
2016-10,2.516,5
2016-11,2.202,5
2016-12,1.942,5
2017-01,1.633,6
2017-02,1.477,6
2017-03,1.412,6
2017-04,1.37,6
2017-05,1.303,6
2017-06,1.37,6
2017-07,1.365,6
2017-08,1.683,6
2017-09,1.457,6
2017-10,1.602,6
2017-11,1.268,6
2017-12,1.067,6
2018-01,1.037,6
2018-02,0.945,6
2018-03,1.07,6
2018-04,1.237,6
2018-05,1.622,6
2018-06,1.555,6
2018-07,1.765,6
2018-08,1.528,6
2018-09,2.092,6
2018-10,2.217,6
2018-11,1.793,6
2018-12,1.602,6
2019-01,1.388,6
2019-02,1.212,6
2019-03,1.17,6
2019-04,1.132,6
2019-05,1.25,6
2019-06,1.605,6
2019-07,2.252,6
2019-08,2.37,6
2019-09,3.395,6
2019-10,4.47,6
2019-11,2.957,6
2019-12,2.235,6
2020-01,1.843,6
2020-02,1.583,6
2020-03,1.453,6
2020-04,1.358,6
2020-05,1.537,6
2020-06,1.635,6
2020-07,2.518,6
2020-08,2.038,6
2020-09,3.013,6
2020-10,2.372,6
2020-11,1.832,6
2020-12,1.52,6
2021-01,1.303,6
2021-02,1.213,6
2021-03,1.162,6
2021-04,1.203,6
2021-05,1.32,6
2021-06,1.532,6
2021-07,1.67,6
2021-08,1.775,6
2021-09,2.882,6
2021-10,2.55,6
2021-11,1.948,6
2021-12,1.557,6
2022-01,1.317,6
2022-02,1.153,6
2022-03,1.097,6
2022-04,1.007,6
2022-05,1.028,6
2022-06,1.225,6
2022-07,1.237,6
2022-08,1.33,6
2022-09,1.812,6
2022-10,1.38,6
2022-11,1.312,6
2022-12,1.09,6
2023-01,1.078,6
2023-02,1.053,6
2023-03,0.997,6
2023-04,1.137,6
2023-05,1.895,6
2023-06,1.94,6
2023-07,2.242,6
2023-08,2.227,6
2023-09,2.035,6
2023-10,1.743,6
2023-11,1.478,6
2023-12,1.277,6
2024-01,1.218,6
2024-02,1.372,6
2024-03,1.62,6
2024-04,1.793,6
2024-05,1.892,6
2024-06,1.895,6
2024-07,2.682,6
2024-08,2.182,6
2024-09,1.778,6
2024-10,1.7,6
2024-11,2.13,6
2024-12,1.695,6
2025-01,1.53,6
2025-02,1.283,6
2025-03,1.3,6
2025-04,1.295,6
2025-05,1.608,6
2025-06,1.672,6
2025-07,1.572,6
2025-08,1.305,6
2025-09,1.453,6
2025-10,1.888,6
2025-11,1.577,6
2025-12,1.318,6
2026-01,1.152,6
2026-02,1.055,6
2026-03,1.077,6
