연월,EL_평균,관측소_수
2007-01,22.13,5
2007-02,20.863,6
2007-03,20.89,6
2007-04,20.302,6
2007-05,20.082,6
2007-06,19.763,6
2007-07,21.528,6
2007-08,22.213,6
2007-09,23.623,6
2007-10,23.307,6
2007-11,17.856,8
2007-12,17.566,8
2008-01,17.462,8
2008-02,16.938,8
2008-03,16.758,8
2008-04,16.671,8
2008-05,15.971,8
2008-06,16.992,8
2008-07,17.566,8
2008-08,17.102,8
2008-09,16.7,8
2008-10,16.106,8
2008-11,16.16,8
2008-12,15.72,8
2009-01,15.069,8
2009-02,14.302,8
2009-03,14.111,8
2009-04,13.615,8
2009-05,13.795,8
2009-06,14.772,8
2009-07,17.556,7
2009-08,15.825,8
2009-09,15.316,8
2009-10,15.811,8
2009-11,15.869,8
2009-12,15.754,8
2010-01,15.225,8
2010-02,15.15,8
2010-03,15.031,8
2010-04,16.051,8
2010-05,16.61,8
2010-06,16.466,8
2010-07,18.075,8
2010-08,18.389,8
2010-09,19.271,8
2010-10,18.801,8
2010-11,18.115,8
2010-12,17.876,8
2011-01,17.366,8
2011-02,16.73,8
2011-03,16.279,8
2011-04,16.174,8
2011-05,15.848,8
2011-06,16.265,8
2011-07,17.332,8
2011-08,17.768,8
2011-09,16.832,8
2011-10,15.949,8
2011-11,17.591,8
2011-12,17.602,8
2012-01,16.888,9
2012-02,16.496,9
2012-03,16.516,9
2012-04,17.084,9
2012-05,17.846,9
2012-06,17.759,9
2012-07,18.349,9
2012-08,17.822,9
2012-09,20.026,9
2012-10,19.068,9
2012-11,19.75,9
2012-12,17.637,10
2013-01,17.3,10
2013-02,17.001,10
2013-03,16.747,10
2013-04,16.443,10
2013-05,16.132,10
2013-06,16.395,10
2013-07,16.127,10
2013-08,15.167,10
2013-09,14.279,10
2013-10,14.061,10
2013-11,13.755,10
2013-12,13.852,10
2014-01,13.575,10
2014-02,13.367,10
2014-03,12.987,10
2014-04,12.8,10
2014-05,13.593,10
2014-06,14.378,10
2014-07,15.183,10
2014-08,15.979,10
2014-09,16.206,10
2014-10,15.852,10
2014-11,15.528,10
2014-12,15.342,10
2015-01,14.941,10
2015-02,14.741,10
2015-03,14.684,10
2015-04,15.141,10
2015-05,16.163,10
2015-06,16.712,9
2015-07,17.589,10
2015-08,17.351,10
2015-09,16.966,10
2015-10,16.605,10
2015-11,16.62,10
2015-12,16.602,10
2016-01,16.178,10
2016-02,16.191,10
2016-03,16.311,10
2016-04,16.282,10
2016-05,16.597,10
2016-06,16.634,10
2016-07,17.265,10
2016-08,16.617,10
2016-09,16.169,10
2016-10,16.708,10
2016-11,16.532,10
2016-12,16.021,10
2017-01,15.748,10
2017-02,15.035,10
2017-03,14.482,10
2017-04,14.502,10
2017-05,13.856,10
2017-06,13.596,10
2017-07,13.363,10
2017-08,13.178,10
2017-09,12.938,10
2017-10,13.159,10
2017-11,12.092,10
2017-12,11.693,10
2018-01,11.11,10
2018-02,10.547,10
2018-03,11.044,10
2018-04,10.92,10
2018-05,12.944,10
2018-06,14.538,10
2018-07,14.65,10
2018-08,13.823,10
2018-09,14.815,10
2018-10,14.457,10
2018-11,14.255,10
2018-12,14.364,10
2019-01,13.851,10
2019-02,13.532,10
2019-03,13.151,10
2019-04,12.382,10
2019-05,11.635,10
2019-06,11.706,10
2019-07,12.602,10
2019-08,13.984,10
2019-09,17.219,12
2019-10,17.899,12
2019-11,17.385,12
2019-12,17.228,12
2020-01,16.755,12
2020-02,16.459,12
2020-03,16.003,12
2020-04,15.183,12
2020-05,15.042,12
2020-06,15.477,12
2020-07,17.292,12
2020-08,17.287,12
2020-09,18.77,12
2020-10,18.166,12
2020-11,18.003,12
2020-12,17.099,12
2021-01,16.705,12
2021-02,16.323,12
2021-03,16.098,12
2021-04,16.094,12
2021-05,16.035,12
2021-06,16.398,12
2021-07,16.977,12
2021-08,16.842,12
2021-09,17.392,12
2021-10,16.912,12
2021-11,16.417,12
2021-12,15.918,12
2022-01,15.281,12
2022-02,14.432,12
2022-03,13.82,12
2022-04,13.683,12
2022-05,13.521,12
2022-06,13.39,12
2022-07,13.659,12
2022-08,14.061,12
2022-09,14.923,12
2022-10,13.766,12
2022-11,13.462,12
2022-12,13.671,12
2023-01,13.359,12
2023-02,12.965,12
2023-03,11.784,12
2023-04,11.804,12
2023-05,13.676,12
2023-06,15.462,12
2023-07,16.657,12
2023-08,16.799,12
2023-09,17.397,12
2023-10,16.408,12
2023-11,16.462,12
2023-12,16.238,12
2024-01,15.697,12
2024-02,15.428,12
2024-03,15.068,12
2024-04,15.009,12
2024-05,15.468,12
2024-06,15.9,12
2024-07,17.397,12
2024-08,17.051,12
2024-09,16.663,12
2024-10,16.544,12
2024-11,17.327,12
2024-12,16.862,12
2025-01,16.212,12
2025-02,15.759,12
2025-03,15.211,12
2025-04,14.606,12
2025-05,15.073,12
2025-06,15.272,12
2025-07,14.979,12
2025-08,14.591,12
2025-09,14.441,12
2025-10,14.293,12
2025-11,13.612,12
2025-12,13.104,12
2026-01,12.626,12
2026-02,12.217,12
2026-03,12.156,12
2026-04,12.068,12
