timestamp,file,action,permit_before,well_id_before,permit_after,well_id_after,year,reason,source_sheet
2026-05-04T02:30,water_quality_semiannual.csv,permit 정정,D199540119,D-099,Y199341000,D-099,2020,well_id 우선 적용,1.5항목 수질검사(전체)
2026-05-04T02:30,water_quality_semiannual.csv,permit 정정,Y199341027,D-129,Y199341006,D-129,2020,well_id 우선 적용,1.5항목 수질검사(전체)
2026-05-04T02:30,water_quality_semiannual.csv,permit 정정,D199840118,F-335,D199840053,F-335,2020,well_id 우선 적용,1.5항목 수질검사(전체)
2026-05-04T02:30,water_quality_semiannual.csv,permit 정정,D200040041,F-341,D199840059,F-341,2020,well_id 우선 적용,1.5항목 수질검사(전체)
2026-05-04T02:30,water_quality_semiannual.csv,permit 정정,D199540119,D-099,Y199341000,D-099,2021,well_id 우선 적용,1.5항목 수질검사(414공)
2026-05-04T02:30,water_quality_semiannual.csv,permit 정정,Y199341027,D-129,Y199341006,D-129,2021,well_id 우선 적용,1.5항목 수질검사(414공)
2026-05-04T02:30,water_quality_semiannual.csv,permit 정정,D199840118,F-335,D199840053,F-335,2021,well_id 우선 적용,1.5항목 수질검사(414공)
2026-05-04T02:30,water_quality_semiannual.csv,permit 정정,D200040041,F-341,D199840059,F-341,2021,well_id 우선 적용,1.5항목 수질검사(414공)
2026-05-04T02:30,water_quality_semiannual.csv,permit 정정,D199540119,D-099,Y199341000,D-099,2023,well_id 우선 적용,1.5항목 수질검사(414공)
2026-05-04T02:30,water_quality_semiannual.csv,permit 정정,Y199341027,D-129,Y199341006,D-129,2023,well_id 우선 적용,1.5항목 수질검사(414공)
2026-05-04T02:30,water_quality_semiannual.csv,permit 정정,D199840118,F-335,D199840053,F-335,2023,well_id 우선 적용,1.5항목 수질검사(414공)
2026-05-04T02:30,water_quality_semiannual.csv,permit 정정,D200040041,F-341,D199840059,F-341,2023,well_id 우선 적용,1.5항목 수질검사(414공)
