permit_no,well_id,well_si,well_eup,well_ri,well_bunji,well_bunji_check,tank_count,tank_si,tank_eup,tank_ri,tank_bunji,coord_x,coord_y,install_date,elevation_m,drill_depth_m,casing_diameter_mm,discharge_diameter_mm,capacity_m3d,permit_m3m,natural_water_level_m,stable_water_level_m,voltage_v,motor_hp,pump_depth_m,water_management,watershed,is_active,source_file
D199520015,F-088,서귀포시,상효동,,492 - 3,,,,,,,,,,,,,,500,15000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199520016,D-291,서귀포시,회수동,,246 - 1,,,,,,,,,,,,,,500,15000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199520017,D-293,서귀포시,강정동,,1786 - 1,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199520018,D-292,서귀포시,도순동,,1230 - 1,,,,,,,,,,,,,,600,18000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199520019,D-289,서귀포시,신효동,,329 - 2,,,,,,,,,,,,,,500,15000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199520020,D-290,서귀포시,호근동,,1385 - 2,,,,,,,,,,,,,,500,15000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199540104,D-306,서귀포시,남원읍,남원리,1695,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199540105,D-307,서귀포시,성산읍,신산리,1864,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199540106,D-308,서귀포시,안덕면,화순리,7-4,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199540107,D-309,서귀포시,표선면,성읍리,2319,,,,,,,,,,,,,,900,27000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
