permit_no,well_id,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,capacity_m3d,permit_m3m,remark
D199520015,F-088,2017,21051.91,17614.41,11712.77,12807.38,12583.67,15713.8,13985.66,9310.11,9781.42,7631.49,8978.83,7670.77,500,15000,
D199520016,D-291,2017,5969.74,6907.63,7428.83,9037.81,8264.95,12609.21,13712.12,14273.2,13805.63,11429.29,10726.56,9652.53,500,15000,
D199520017,D-293,2017,5380.85,6341.93,8021.73,7613.42,6750.24,8404.97,6530.56,8909.98,8744.03,7409.26,7189.59,6276.27,700,21000,
D199520018,D-292,2017,3245.75,4613.6,10435.34,8500.77,7465.22,10669.76,7369.91,12648.12,8641.16,6848.27,8417.05,6318.91,600,18000,
D199520019,D-289,2017,3917.64,6802.9,12028.66,7942.88,10646.55,18428.02,12021.93,14039.6,12085.82,6688.57,9896.66,7640.23,500,15000,
D199520020,D-290,2017,1010.99,2093.41,2305.86,2507.33,2457.88,3126.37,2315.02,2915.75,2278.39,1957.88,2133.7,1208.79,500,15000,
D199540104,D-306,2017,7250.98,10809.8,12549.02,17552.94,16786.27,24509.8,21445.1,20401.96,17445.1,14970.59,13064.71,12766.67,800,24000,
D199540105,D-307,2017,7089.74,7027.47,9016.48,8300.37,8386.45,11408.42,6126.37,5108.06,5426.74,3771.06,3626.37,2776.56,800,24000,
D199540106,D-308,2017,758.68,1156.17,5193.7,3621.87,6547.62,10207.83,5718.32,7165.05,5415.66,3301.05,3799.44,1735.27,700,21000,
D199540107,D-309,2017,2813.44,2932.16,2952.32,5483.52,5877.76,7719.04,7004.48,5432.0,4159.68,4609.92,3924.48,4316.48,900,27000,
D199540109,F-102,2017,24417.06,24611.82,22397.99,24981.45,24166.67,26364.6,23116.06,23669.85,29337.57,28349.23,30398.78,29280.6,800,24000,
D199540110,F-103,2017,4230.31,4654.01,5677.58,8906.62,5180.29,6335.43,2383.87,838.48,582.03,13.38,13.38,15.61,700,21000,
D199540111,D-316,2017,7883.39,7075.65,7295.23,8895.04,7095.25,7573.63,5171.95,14693.38,4775.91,4662.2,4486.73,4982.75,700,21000,
D199540112,F-104,2017,1032.98,21.92,326.06,3630.5,3449.66,6318.44,4063.42,3759.28,3745.58,2479.7,2238.58,3359.24,800,24000,
D199540113,D-313,2017,4277.52,3573.18,3535.74,4031.82,3814.2,4095.0,3524.04,3718.26,3233.88,2646.54,3472.56,3067.74,700,21000,
D199540114,F-098,2017,1157.55,805.47,919.45,1187.94,762.41,2130.19,1709.73,1512.16,1707.19,2117.53,1610.94,3882.98,800,24000,
D199540115,F-097,2017,282.26,141.13,110.89,2674.73,171.37,836.69,0.0,3.36,2308.47,12610.89,12580.65,16985.89,800,24000,
D199540116,D-315,2017,2891.67,2149.26,2159.43,5386.71,2074.68,4234.11,1878.06,2030.61,3576.45,12495.54,7325.79,7624.11,700,21000,
D199540117,F-100,2017,5651.1,9879.03,13419.0,23432.22,21018.69,28074.06,26543.16,24611.58,18227.16,12734.82,10912.86,8142.12,1000,30000,
D199540118,F-101,2017,5737.89,5909.55,7735.83,8444.72,8377.96,12221.24,8708.57,10447.42,8897.71,6073.27,7284.42,5939.75,800,24000,
D199540119,F-099,2017,3883.75,0.0,1191.91,4290.16,11146.41,13705.2,4053.24,13768.99,7242.61,991.44,5130.34,5815.6,800,24000,
D199540120,D-312,2017,0.0,795.76,3021.83,147.49,2877.77,613.97,0.0,140.63,5896.17,10560.97,11315.57,4170.88,700,21000,
D199540121,D-314,2017,1881.94,2476.16,3902.58,9982.02,6793.38,9828.72,9567.38,10995.26,5504.2,4559.58,3537.58,4914.36,700,21000,
D199540122,D-310,2017,10426.59,12053.61,14235.39,19807.83,17485.29,24258.33,21368.61,23891.94,18899.1,14461.02,14610.06,10799.19,950,28500,
D199620028,F-115,2017,4102.72,3713.01,5309.15,5575.32,6914.42,10212.02,6499.01,8002.29,6094.38,5044.65,6232.02,6249.43,800,24000,
D199620033,F-113,2017,5041.75,5805.78,5956.91,6569.81,6967.27,7400.63,6428.69,7153.47,5841.68,4782.06,6456.25,5893.45,500,15000,
D199620034,F-114,2017,7715.19,8369.11,9969.17,11679.7,12267.69,16091.44,15104.32,18951.22,16305.25,12885.98,12593.76,11321.56,600,18000,
D199620035,D-319,2017,2270.15,1973.25,2943.43,3337.17,3645.94,4850.91,4001.31,3818.6,3539.97,2584.41,2383.43,3111.52,600,18000,
