permit_no,well_id,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,capacity_m3d,permit_m3m,remark,source
D199520015,F-088,2024,7461.0,8740.0,12616.0,10435.0,13237.0,12763.0,8857.0,14786.0,13498.0,9878.0,7839.0,6636.0,500,15000,,
D199520016,D-291,2024,6774.0,7656.0,6687.0,9795.0,7925.0,12264.0,8851.0,8090.0,13148.0,10476.0,10964.0,6619.0,500,15000,,
D199520017,D-293,2024,7178.0,7958.0,7411.0,8125.0,7302.0,8680.0,6791.0,8648.0,9765.0,8500.0,7731.0,7234.0,700,21000,,
D199520018,D-292,2024,5755.0,8638.0,8776.0,9766.0,9069.0,13004.0,8250.0,13221.0,13411.0,11895.0,7324.0,6370.0,600,18000,,
D199520019,D-289,2024,2336.0,2404.0,3622.0,3482.0,5328.0,5699.0,2800.0,8329.0,6536.0,3944.0,2507.0,2643.0,500,15000,,
D199520020,D-290,2024,1706.0,2280.0,2076.0,3129.0,2691.0,3720.0,1745.0,3595.0,3803.0,2396.0,2065.0,2170.0,500,15000,,
D199540104,D-306,2024,12055.0,15284.0,14829.0,17476.0,15907.0,21858.0,16208.0,23465.0,23525.0,15247.0,2675.0,3239.0,800,7890,,
D199540105,D-307,2024,5311.0,4925.0,7429.0,8858.0,12252.0,13617.0,9022.0,14724.0,13399.0,7982.0,5233.0,5453.0,800,9240,,
D199540106,D-308,2024,2563.0,2624.0,4786.0,6393.0,7173.0,8523.0,4145.0,8004.0,7083.0,5461.0,3918.0,2226.0,700,9000,,
D199540107,D-309,2024,10179.0,9641.0,8654.0,8505.0,8958.0,10317.0,9359.0,7270.0,10215.0,8734.0,7912.0,7932.0,900,4200,,
D199540109,F-102,2024,22001.0,24523.0,23011.0,23980.0,25149.0,26009.0,22950.0,27388.0,24802.0,23298.0,22663.0,21363.0,800,11910,,
D199540110,F-103,2024,0.0,0.0,205.0,75.0,261.0,311.0,11.0,25.0,27.0,105.0,117.0,132.0,700,22800,,
D199540111,D-316,2024,21685.0,16416.0,13477.0,12644.0,13138.0,13043.0,10762.0,14039.0,13993.0,11123.0,8909.0,9383.0,700,600,,
D199540112,F-104,2024,6286.0,6054.0,5186.0,8163.0,8052.0,10063.0,9119.0,9450.0,13114.0,10790.0,8518.0,5323.0,800,13170,,
D199540113,D-313,2024,4715.0,4470.0,4356.0,5623.0,5269.0,6003.0,4643.0,5131.0,5320.0,5341.0,4326.0,4130.0,700,14850,,
D199540114,F-098,2024,937.0,844.0,837.0,1788.0,1648.0,1820.0,2674.0,2785.0,9308.0,4673.0,4149.0,1035.0,800,20910,,
D199540115,F-097,2024,0.0,0.0,0.0,54.0,21.0,3.0,37.0,3.0,5449.0,8126.0,6032.0,3.0,800,19410,,
D199540116,D-315,2024,1374.0,3968.0,1991.0,3481.0,3609.0,2403.0,3027.0,804.0,1440.0,1287.0,229.0,187.0,700,9540,,
D199540117,F-100,2024,21876.0,22314.0,20551.0,29164.0,26053.0,30445.0,25550.0,30823.0,29296.0,21746.0,19343.0,20662.0,1000,12030,,
D199540118,F-101,2024,6137.0,5958.0,4704.0,7845.0,5688.0,10476.0,5936.0,6761.0,9745.0,7211.0,5880.0,7257.0,800,7950,,
D199540119,F-099,2024,3901.0,4163.0,4546.0,7443.0,7419.0,8401.0,4342.0,10394.0,10431.0,5559.0,4590.0,7681.0,800,10410,,
D199540120,D-312,2024,1020.0,858.0,789.0,356.0,813.0,1048.0,437.0,1203.0,6012.0,8926.0,1670.0,2316.0,700,19950,,
D199540121,D-314,2024,5886.0,6954.0,5513.0,8122.0,8721.0,13567.0,12528.0,12243.0,16576.0,13121.0,10183.0,10525.0,700,4380,,
D199540122,D-310,2024,18926.0,20380.0,19635.0,22981.0,25121.0,30967.0,22254.0,27052.0,34892.0,27389.0,25218.0,23061.0,950,22620,,
D199620028,F-115,2024,4385.0,4681.0,4199.0,4702.0,5027.0,6760.0,7106.0,6259.0,6689.0,5723.0,5285.0,4582.0,800,5400,,
D199620033,F-113,2024,14074.0,13894.0,14340.0,14912.0,15364.0,19851.0,16354.0,18255.0,18696.0,17035.0,16927.0,25473.0,500,6000,,
