# 샘플임. 실제 값은 tab12_ag_usage 헬퍼를 통해 런타임에 산출.
# 시뮬레이션: 평균이용량(월공) × 관정총수 × 12 = 연총량을 주이용기간 60% / 비주이용기간 40% 배분.
# 단위: m³/월 (지역 합산)
eup_dong,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
한림읍,857751.0,857751.0,857751.0,857751.0,857751.0,919019.0,919019.0,919019.0,919019.0,919019.0,919019.0,919019.0
애월읍,1139676.0,1139676.0,1139676.0,1139676.0,1139676.0,1221081.0,1221081.0,1221081.0,1221081.0,1221081.0,1221081.0,1221081.0
제주시 동지역,1437836.0,1437836.0,1437836.0,1078377.0,1078377.0,1078377.0,1078377.0,1078377.0,1078377.0,1078377.0,1078377.0,1437836.0
조천읍,1161108.0,1161108.0,1161108.0,870831.0,870831.0,870831.0,870831.0,870831.0,870831.0,870831.0,870831.0,1161108.0
한경면,1144826.0,1144826.0,1144826.0,1144826.0,1144826.0,1226599.0,1226599.0,1226599.0,1226599.0,1226599.0,1226599.0,1226599.0
구좌읍,435594.0,435594.0,435594.0,435594.0,435594.0,466708.0,466708.0,466708.0,466708.0,466708.0,466708.0,466708.0
대정읍,2766182.0,2766182.0,2766182.0,2766182.0,2766182.0,2963767.0,2963767.0,2963767.0,2963767.0,2963767.0,2963767.0,2963767.0
성산읍,670896.0,670896.0,670896.0,503172.0,503172.0,503172.0,503172.0,503172.0,503172.0,503172.0,503172.0,670896.0
안덕면,582473.0,582473.0,582473.0,436855.0,436855.0,436855.0,436855.0,436855.0,436855.0,436855.0,436855.0,582473.0
서귀포시 동지역,6415962.0,6415962.0,6415962.0,4811972.0,4811972.0,4811972.0,4811972.0,4811972.0,4811972.0,4811972.0,4811972.0,6415962.0
남원읍,9540960.0,9540960.0,9540960.0,7155720.0,7155720.0,7155720.0,7155720.0,7155720.0,7155720.0,7155720.0,7155720.0,9540960.0
표선면,1374797.0,1374797.0,1374797.0,1031098.0,1031098.0,1031098.0,1031098.0,1031098.0,1031098.0,1031098.0,1031098.0,1374797.0
