# 샘플임. 실제 값은 tab12_ag_usage 헬퍼를 통해 런타임에 산출.
# 시뮬레이션: 평균이용량(월공) × 관정총수 × 12 = 연총량을 주이용기간 60% / 비주이용기간 40% 배분.
# 단위: % (월이용량 ÷ 취수허가량_m3day × 30)
eup_dong,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
한림읍,49.01,49.01,49.01,49.01,49.01,52.51,52.51,52.51,52.51,52.51,52.51,52.51
애월읍,39.64,39.64,39.64,39.64,39.64,42.47,42.47,42.47,42.47,42.47,42.47,42.47
제주시 동지역,89.12,89.12,89.12,66.84,66.84,66.84,66.84,66.84,66.84,66.84,66.84,89.12
조천읍,94.82,94.82,94.82,71.11,71.11,71.11,71.11,71.11,71.11,71.11,71.11,94.82
한경면,34.16,34.16,34.16,34.16,34.16,36.6,36.6,36.6,36.6,36.6,36.6,36.6
구좌읍,31.85,31.85,31.85,31.85,31.85,34.12,34.12,34.12,34.12,34.12,34.12,34.12
대정읍,65.05,65.05,65.05,65.05,65.05,69.7,69.7,69.7,69.7,69.7,69.7,69.7
성산읍,90.74,90.74,90.74,68.06,68.06,68.06,68.06,68.06,68.06,68.06,68.06,90.74
안덕면,53.53,53.53,53.53,40.15,40.15,40.15,40.15,40.15,40.15,40.15,40.15,53.53
서귀포시 동지역,221.38,221.38,221.38,166.04,166.04,166.04,166.04,166.04,166.04,166.04,166.04,221.38
남원읍,346.67,346.67,346.67,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,346.67
표선면,115.65,115.65,115.65,86.74,86.74,86.74,86.74,86.74,86.74,86.74,86.74,115.65
