zone,eup_dong,cell_order,farm_area_ha,wells_total,wells_public,width_pct,color_value_default,rain_station,rain_mm,label_line1,label_line2,label_line3,label_line4
제주시,한경면,0,4136,207,118,16.0860,1972,고산,1265,한경면,4136 ha · 117 공,1924 ㎥/ha,고산 1265mm
제주시,한림읍,1,3442,113,70,13.3858,1930,고산,1265,한림읍,3442 ha · 71 공,1791 ㎥/ha,고산 1265mm
제주시,애월읍,2,5236,151,125,20.3641,2253,제주,1413,애월읍,5236 ha · 122 공,2253 ㎥/ha,제주 1413mm
제주시,제주시 동지역,3,4824,143,73,18.7616,1521,제주,1413,동지역,4824 ha · 67 공,1147 ㎥/ha,제주 1413mm
제주시,조천읍,4,3578,130,49,13.9148,1223,제주,1413,조천읍,3578 ha · 47 공,1255 ㎥/ha,제주 1413mm
제주시,구좌읍,5,4496,72,58,17.4860,975,성산,2093,구좌읍,4496 ha · 51 공,1089 ㎥/ha,성산 2093mm
서귀포시,대정읍,0,4482,552,134,17.3842,1873,고산,1265,대정읍,4482 ha · 131 공,1873 ㎥/ha,고산 1265mm
서귀포시,안덕면,1,2635,98,46,10.2203,1038,고산,1265,안덕면,2635 ha · 48 공,1191 ㎥/ha,고산 1265mm
서귀포시,서귀포시 동지역,2,6239,695,100,24.1990,1479,서귀,1953,동지역,6239 ha · 91 공,1488 ㎥/ha,서귀 1953mm
서귀포시,표선면,3,3559,144,48,13.8042,1287,성산,2093,표선면,3559 ha · 40 공,1293 ㎥/ha,성산 2093mm
서귀포시,남원읍,4,5430,695,84,21.0612,2123,서귀,1953,남원읍,5430 ha · 82 공,2123 ㎥/ha,서귀 1953mm
서귀포시,성산읍,5,3437,72,36,13.3310,976,성산,2093,성산읍,3437 ha · 34 공,1105 ㎥/ha,성산 2093mm
