zone,parent_eup,eup_order,ri_name,area_km2,width_pct_in_slot,color_value_default,label_line1,label_line2
제주시,한경면,0,저지리,14.9939,18.8386,1972,저지리,14.99km²
제주시,한경면,0,청수리,12.9379,16.2554,1972,청수리,12.94km²
제주시,한경면,0,조수리,10.8464,13.6276,1972,조수리,10.85km²
제주시,한경면,0,고산리,9.7309,12.2261,1972,고산리,9.73km²
제주시,한경면,0,용수리,8.1759,10.2723,1972,용수리,8.18km²
제주시,한경면,0,판포리,6.6284,8.3281,1972,판포리,6.63km²
제주시,한경면,0,낙천리,6.2793,7.8894,1972,낙천리,6.28km²
제주시,한경면,0,한원리,4.9743,6.2498,1972,한원리,4.97km²
제주시,한경면,0,신창리,2.0646,2.5940,1972,신창리,2.06km²
제주시,한경면,0,금등리,1.8316,2.3013,1972,금등리,1.83km²
제주시,한경면,0,두모리,1.1283,1.4176,1972,두모리,1.13km²
제주시,한림읍,1,금악리,30.4963,33.3640,1930,금악리,30.50km²
제주시,한림읍,1,상대리,11.2973,12.3596,1930,상대리,11.30km²
제주시,한림읍,1,협재리,7.9713,8.7209,1930,협재리,7.97km²
제주시,한림읍,1,금능리,5.6279,6.1571,1930,금능리,5.63km²
제주시,한림읍,1,귀덕리,5.5699,6.0937,1930,귀덕리,5.57km²
제주시,한림읍,1,명월리,5.5364,6.0570,1930,명월리,5.54km²
제주시,한림읍,1,상명리,5.4505,5.9630,1930,상명리,5.45km²
제주시,한림읍,1,월림리,4.3702,4.7812,1930,월림리,4.37km²
제주시,한림읍,1,동명리,3.7439,4.0959,1930,동명리,3.74km²
제주시,한림읍,1,월령리,3.0750,3.3642,1930,월령리,3.08km²
제주시,한림읍,1,대림리,2.9830,3.2635,1930,대림리,2.98km²
제주시,한림읍,1,한림리,2.6084,2.8536,1930,한림리,2.61km²
제주시,한림읍,1,옹포리,1.2750,1.3949,1930,옹포리,1.28km²
제주시,한림읍,1,수원리,1.2346,1.3507,1930,수원리,1.23km²
제주시,한림읍,1,한수리,0.1650,0.1805,1930,한수리,0.16km²
제주시,애월읍,2,광령리,38.5765,16.2250,2253,광령리,38.58km²
제주시,애월읍,2,봉성리,32.3567,13.6090,2253,봉성리,32.36km²
제주시,애월읍,2,수산리,29.9676,12.6041,2253,수산리,29.97km²
제주시,애월읍,2,어음리,24.2253,10.1890,2253,어음리,24.23km²
제주시,애월읍,2,고성리,22.0956,9.2932,2253,고성리,22.10km²
제주시,애월읍,2,유수암리,19.4827,8.1943,2253,유수암리,19.48km²
제주시,애월읍,2,상가리,14.2236,5.9823,2253,상가리,14.22km²
제주시,애월읍,2,소길리,13.5006,5.6783,2253,소길리,13.50km²
