# 샘플임. 실제 값은 tab12_ag_usage 헬퍼를 통해 런타임에 산출.
# 시뮬레이션: 평균이용량(월공) × 관정총수 × 12 = 연총량을 주이용기간 60% / 비주이용기간 40% 배분.
# 단위: m³/ha (월이용량 ÷ 농지면적_ha)
eup_dong,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
한림읍,249.2,249.2,249.2,249.2,249.2,267.0,267.0,267.0,267.0,267.0,267.0,267.0
애월읍,217.66,217.66,217.66,217.66,217.66,233.21,233.21,233.21,233.21,233.21,233.21,233.21
제주시 동지역,298.06,298.06,298.06,223.54,223.54,223.54,223.54,223.54,223.54,223.54,223.54,298.06
조천읍,324.51,324.51,324.51,243.38,243.38,243.38,243.38,243.38,243.38,243.38,243.38,324.51
한경면,276.8,276.8,276.8,276.8,276.8,296.57,296.57,296.57,296.57,296.57,296.57,296.57
구좌읍,96.88,96.88,96.88,96.88,96.88,103.81,103.81,103.81,103.81,103.81,103.81,103.81
대정읍,617.18,617.18,617.18,617.18,617.18,661.26,661.26,661.26,661.26,661.26,661.26,661.26
성산읍,195.2,195.2,195.2,146.4,146.4,146.4,146.4,146.4,146.4,146.4,146.4,195.2
안덕면,221.05,221.05,221.05,165.79,165.79,165.79,165.79,165.79,165.79,165.79,165.79,221.05
서귀포시 동지역,1028.36,1028.36,1028.36,771.27,771.27,771.27,771.27,771.27,771.27,771.27,771.27,1028.36
남원읍,1757.08,1757.08,1757.08,1317.81,1317.81,1317.81,1317.81,1317.81,1317.81,1317.81,1317.81,1757.08
표선면,386.29,386.29,386.29,289.72,289.72,289.72,289.72,289.72,289.72,289.72,289.72,386.29
